"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES"
"AGM00060437","1995-10-25","36.283","2.733","1036.0","MEDEA, AG",,,,,"  212",",,S",,,"  187","H,,S"
"AGM00060437","1995-10-27","36.283","2.733","1036.0","MEDEA, AG",,,,,"  230",",,S","  150",",,S","  201","H,,S"
"AGM00060437","1995-10-29","36.283","2.733","1036.0","MEDEA, AG","    0","D,,S",,,"  245",",,S","  176",",,S","  198","H,,S"
"AGM00060437","1995-11-02","36.283","2.733","1036.0","MEDEA, AG",,,,,"  173",",,S","  112",",,S","  144","H,,S"
"AGM00060437","1995-11-06","36.283","2.733","1036.0","MEDEA, AG",,,,,"  125",",,S","   62",",,S","   92","H,,S"
"AGM00060437","1995-11-08","36.283","2.733","1036.0","MEDEA, AG",,,,,"  195",",,S","  115",",,S","  156","H,,S"
"AGM00060437","1995-11-09","36.283","2.733","1036.0","MEDEA, AG",,,,,,,"  132",",,S","  169","H,,S"
"AGM00060437","1995-11-11","36.283","2.733","1036.0","MEDEA, AG",,,,,"  203",",,S","  120",",,S","  149","H,,S"
"AGM00060437","1995-11-14","36.283","2.733","1036.0","MEDEA, AG",,,,,"  103",",,S","   63",",,S","   88","H,,S"
"AGM00060437","1995-11-16","36.283","2.733","1036.0","MEDEA, AG",,,,,"  210",",,S","   75",",,S","  166","H,,S"
"AGM00060437","1995-12-04","36.283","2.733","1036.0","MEDEA, AG","  409",",,S",,,"   78",",,S","   65",",,S","   71","H,,S"
"AGM00060437","1996-01-06","36.283","2.733","1036.0","MEDEA, AG","   30",",,S",,,"  145",",,S","   82",",,S","   99","H,,S"
"AGM00060437","1996-01-09","36.283","2.733","1036.0","MEDEA, AG",,,,,"  155",",,S","   83",",,S","  113","H,,S"
"AGM00060437","1996-01-10","36.283","2.733","1036.0","MEDEA, AG",,,,,,,,,"   59","H,,S"
"AGM00060437","1996-01-12","36.283","2.733","1036.0","MEDEA, AG","   51",",,S",,,,,,,"   60","H,,S"
"AGM00060437","1996-01-13","36.283","2.733","1036.0","MEDEA, AG","  170",",,S",,,"   58",",,S","   35",",,S","   47","H,,S"
"AGM00060437","1996-02-05","36.283","2.733","1036.0","MEDEA, AG","  269",",,S",,,,,"   25",",,S","   36","H,,S"
"AGM00060437","1996-02-08","36.283","2.733","1036.0","MEDEA, AG","   61",",,S",,,,,,,"   57","H,,S"
"AGM00060437","1996-02-09","36.283","2.733","1036.0","MEDEA, AG","    0",",,S",,,,,,,"   82","H,,S"
"AGM00060437","1996-02-10","36.283","2.733","1036.0","MEDEA, AG",,,,,,,,,"   65","H,,S"
"AGM00060437","1996-02-12","36.283","2.733","1036.0","MEDEA, AG","  119",",,S",,,,,"   22",",,S","   42","H,,S"
"AGM00060437","1996-02-18","36.283","2.733","1036.0","MEDEA, AG",,,,,,,"   18",",,S","   87","H,,S"
"AGM00060437","1996-03-19","36.283","2.733","1036.0","MEDEA, AG",,,,,"  134",",,S","   60",",,S","  104","H,,S"
"AGM00060437","1996-03-20","36.283","2.733","1036.0","MEDEA, AG",,,,,,,,,"  108","H,,S"
"AGM00060437","1996-04-14","36.283","2.733","1036.0","MEDEA, AG",,,,,,,"  122",",,S","  157","H,,S"
"AGM00060437","1996-04-19","36.283","2.733","1036.0","MEDEA, AG",,,,,,,"   70",",,S","  143","H,,S"
"AGM00060437","1996-04-23","36.283","2.733","1036.0","MEDEA, AG",,,,,"  156",",,S",,,"  129","H,,S"
"AGM00060437","1996-04-24","36.283","2.733","1036.0","MEDEA, AG",,,,,,,,,"   87","H,,S"
"AGM00060437","1996-04-26","36.283","2.733","1036.0","MEDEA, AG","  231",",,S",,,"   98",",,S",,,"   87","H,,S"
"AGM00060437","1996-04-28","36.283","2.733","1036.0","MEDEA, AG","  119",",,S",,,"  121",",,S","   84",",,S","   98","H,,S"
"AGM00060437","1996-04-30","36.283","2.733","1036.0","MEDEA, AG","  140",",,S",,,,,"   82",",,S","   93","H,,S"
"AGM00060437","1996-05-07","36.283","2.733","1036.0","MEDEA, AG","  119",",,S",,,"  175",",,S","  115",",,S","  149","H,,S"
"AGM00060437","1996-05-10","36.283","2.733","1036.0","MEDEA, AG","  119",",,S",,,,,"   80",",,S","   86","H,,S"
"AGM00060437","1996-05-19","36.283","2.733","1036.0","MEDEA, AG",,,,,,,,,"  126","H,,S"
"AGM00060437","1996-05-22","36.283","2.733","1036.0","MEDEA, AG",,,,,"  170",",,S","   94",",,S","  127","H,,S"
"AGM00060437","1996-05-26","36.283","2.733","1036.0","MEDEA, AG",,,,,"  240",",,S",,,"  219","H,,S"
"AGM00060437","1996-06-05","36.283","2.733","1036.0","MEDEA, AG","   10",",,S",,,,,"  106",",,S","  199","H,,S"
"AGM00060437","1996-06-10","36.283","2.733","1036.0","MEDEA, AG",,,,,"  245",",,S","  170",",,S","  192","H,,S"
"AGM00060437","1996-06-14","36.283","2.733","1036.0","MEDEA, AG",,,,,,,"  173",",,S","  211","H,,S"
"AGM00060437","1996-06-15","36.283","2.733","1036.0","MEDEA, AG",,,,,,,"  188",",,S","  227","H,,S"
"AGM00060437","1996-08-24","36.283","2.733","1036.0","MEDEA, AG",,,,,,,"  185",",,S","  249","H,,S"
"AGM00060437","1996-08-25","36.283","2.733","1036.0","MEDEA, AG",,,,,,,"  182",",,S","  239","H,,S"
"AGM00060437","1996-08-28","36.283","2.733","1036.0","MEDEA, AG",,,,,,,"  168",",,S","  207","H,,S"
"AGM00060437","1996-08-30","36.283","2.733","1036.0","MEDEA, AG",,,,,,,"  157",",,S","  191","H,,S"
"AGM00060437","1996-09-01","36.283","2.733","1036.0","MEDEA, AG",,,,,,,"  130",",,S","  187","H,,S"
"AGM00060437","1996-09-04","36.283","2.733","1036.0","MEDEA, AG","    0",",,S",,,"  245",",,S","  152",",,S","  209","H,,S"
"AGM00060437","1996-10-05","36.283","2.733","1036.0","MEDEA, AG",,,,,"  206",",,S","  100",",,S","  151","H,,S"
"AGM00060437","1996-10-08","36.283","2.733","1036.0","MEDEA, AG",,,,,,,"   50",",,S","  105","H,,S"
"AGM00060437","1996-10-11","36.283","2.733","1036.0","MEDEA, AG",,,,,"  190",",,S","  124",",,S","  152","H,,S"
"AGM00060437","1996-10-13","36.283","2.733","1036.0","MEDEA, AG","    0",",,S",,,"  165",",,S","  110",",,S","  134","H,,S"
"AGM00060437","1996-10-26","36.283","2.733","1036.0","MEDEA, AG",,,,,"  177",",,S",,,"  127","H,,S"
"AGM00060437","1996-11-03","36.283","2.733","1036.0","MEDEA, AG",,,,,,,,,"  135","H,,S"
"AGM00060437","1996-11-09","36.283","2.733","1036.0","MEDEA, AG",,,,,,,"  122",",,S","  162","H,,S"
"AGM00060437","1996-11-15","36.283","2.733","1036.0","MEDEA, AG",,,,,,,"  103",",,S","  154","H,,S"
"AGM00060437","1996-12-02","36.283","2.733","1036.0","MEDEA, AG",,,,,,,,,"   97","H,,S"
"AGM00060437","1996-12-16","36.283","2.733","1036.0","MEDEA, AG",,,,,"   95",",,S","   72",",,S","   79","H,,S"
"AGM00060437","1997-03-01","36.283","2.733","1036.0","MEDEA, AG",,,,,,,"   93",",,S","  136","H,,S"
"AGM00060437","1997-03-06","36.283","2.733","1036.0","MEDEA, AG",,,,,"  155",",,S","   96",",,S","  116","H,,S"
"AGM00060437","1997-03-21","36.283","2.733","1036.0","MEDEA, AG",,,,,,,"   85",",,S","  147","H,,S"
"AGM00060437","1997-03-23","36.283","2.733","1036.0","MEDEA, AG",,,,,,,"   97",",,S","  122","H,,S"
"AGM00060437","1997-04-15","36.283","2.733","1036.0","MEDEA, AG",,,,,,,,,"  145","H,,S"
"AGM00060437","1997-04-19","36.283","2.733","1036.0","MEDEA, AG","   10",",,S",,,,,"   84",",,S","  124","H,,S"
"AGM00060437","1997-06-22","36.283","2.733","1036.0","MEDEA, AG",,,,,"  263",",,S","  181",",,S","  210","H,,S"
"AGM00060437","1997-07-21","36.283","2.733","1036.0","MEDEA, AG",,,,,"  355",",,S","  212",",,S","  284","H,,S"
"AGM00060437","1997-08-03","36.283","2.733","1036.0","MEDEA, AG",,,,,,,"  259",",,S","  307","H,,S"
"AGM00060437","1997-11-20","36.283","2.733","1036.0","MEDEA, AG","   89",",,S",,,"  112",",,S",,,"   87","H,,S"
"AGM00060437","2001-05-25","36.283","2.733","1036.0","MEDEA, AG",,,,,,,"  140",",,S","  181","H,,S"
"AGM00060437","2001-05-26","36.283","2.733","1036.0","MEDEA, AG",,,,,"  218",",,S","  145",",,S","  191","H,,S"
"AGM00060437","2001-05-27","36.283","2.733","1036.0","MEDEA, AG",,,,,,,"  145",",,S","  190","H,,S"
"AGM00060437","2001-05-29","36.283","2.733","1036.0","MEDEA, AG",,,,,"  286",",,S",,,"  260","H,,S"
"AGM00060437","2001-05-30","36.283","2.733","1036.0","MEDEA, AG",,,,,"  292",",,S","  212",",,S","  253","H,,S"
"AGM00060437","2001-05-31","36.283","2.733","1036.0","MEDEA, AG",,,,,"  282",",,S","  228",",,S","  251","H,,S"
"AGM00060437","2001-06-01","36.283","2.733","1036.0","MEDEA, AG",,,,,"  265",",,S","  190",",,S","  232","H,,S"
"AGM00060437","2001-06-02","36.283","2.733","1036.0","MEDEA, AG",,,,,"  284",",,S","  210",",,S","  250","H,,S"
"AGM00060437","2001-06-03","36.283","2.733","1036.0","MEDEA, AG",,,,,"  290",",,S","  192",",,S","  258","H,,S"
"AGM00060437","2001-06-05","36.283","2.733","1036.0","MEDEA, AG",,,,,"  322",",,S","  232",",,S","  290","H,,S"
"AGM00060437","2001-06-06","36.283","2.733","1036.0","MEDEA, AG",,,,,"  283",",,S","  245",",,S","  263","H,,S"
"AGM00060437","2001-06-07","36.283","2.733","1036.0","MEDEA, AG",,,,,"  298",",,S","  194",",,S","  263","H,,S"
"AGM00060437","2001-06-08","36.283","2.733","1036.0","MEDEA, AG",,,,,,,"  238",",,S","  297","H,,S"
"AGM00060437","2001-06-12","36.283","2.733","1036.0","MEDEA, AG",,,,,"  231",",,S","  125",",,S","  167","H,,S"
"AGM00060437","2001-06-13","36.283","2.733","1036.0","MEDEA, AG",,,,,"  225",",,S","  130",",,S","  189","H,,S"
"AGM00060437","2001-06-15","36.283","2.733","1036.0","MEDEA, AG",,,,,"  340",",,S",,,"  306","H,,S"
"AGM00060437","2001-06-16","36.283","2.733","1036.0","MEDEA, AG",,,,,"  267",",,S","  210",",,S","  238","H,,S"
"AGM00060437","2001-06-17","36.283","2.733","1036.0","MEDEA, AG","    0",",,S",,,"  246",",,S","  168",",,S","  217","H,,S"
"AGM00060437","2001-06-18","36.283","2.733","1036.0","MEDEA, AG","    0",",,S",,,"  225",",,S","  160",",,S","  197","H,,S"
"AGM00060437","2001-06-19","36.283","2.733","1036.0","MEDEA, AG",,,,,"  263",",,S","  124",",,S","  197","H,,S"
"AGM00060437","2001-06-20","36.283","2.733","1036.0","MEDEA, AG",,,,,"  266",",,S","  186",",,S","  239","H,,S"
"AGM00060437","2001-06-21","36.283","2.733","1036.0","MEDEA, AG",,,,,"  295",",,S","  202",",,S","  264","H,,S"
"AGM00060437","2001-06-22","36.283","2.733","1036.0","MEDEA, AG",,,,,"  325",",,S","  240",",,S","  289","H,,S"
"AGM00060437","2001-06-23","36.283","2.733","1036.0","MEDEA, AG",,,,,"  335",",,S","  243",",,S","  299","H,,S"
"AGM00060437","2001-06-24","36.283","2.733","1036.0","MEDEA, AG",,,,,"  358",",,S","  260",",,S","  317","H,,S"
"AGM00060437","2001-06-25","36.283","2.733","1036.0","MEDEA, AG",,,,,"  362",",,S","  276",",,S","  326","H,,S"
"AGM00060437","2001-06-26","36.283","2.733","1036.0","MEDEA, AG",,,,,"  353",",,S","  222",",,S","  305","H,,S"
"AGM00060437","2001-06-27","36.283","2.733","1036.0","MEDEA, AG",,,,,"  295",",,S","  232",",,S","  264","H,,S"
"AGM00060437","2001-06-28","36.283","2.733","1036.0","MEDEA, AG",,,,,"  252",",,S","  170",",,S","  219","H,,S"
"AGM00060437","2001-06-29","36.283","2.733","1036.0","MEDEA, AG",,,,,"  255",",,S","  172",",,S","  221","H,,S"
"AGM00060437","2001-06-30","36.283","2.733","1036.0","MEDEA, AG",,,,,"  281",",,S",,,"  258","H,,S"
"AGM00060437","2001-07-02","36.283","2.733","1036.0","MEDEA, AG",,,,,"  312",",,S","  230",",,S","  276","H,,S"
