"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES"
"AGM00060457","1976-04-28","35.883","0.117","138.0","MOSTAGANEM, AG",,,"  190",",,S",,,"  134","H,,S"
"AGM00060457","1976-05-24","35.883","0.117","138.0","MOSTAGANEM, AG",,,"  230",",,S","  140",",,S","  193","H,,S"
"AGM00060457","1976-05-29","35.883","0.117","138.0","MOSTAGANEM, AG",,,,,"  130",",,S","  185","H,,S"
"AGM00060457","1976-06-07","35.883","0.117","138.0","MOSTAGANEM, AG",,,,,"  100",",,S","  262","H,,S"
"AGM00060457","1976-06-17","35.883","0.117","138.0","MOSTAGANEM, AG",,,"  250",",,S","  160",",,S","  213","H,,S"
"AGM00060457","1976-06-25","35.883","0.117","138.0","MOSTAGANEM, AG",,,,,"  190",",,S","  280","H,,S"
"AGM00060457","1976-06-27","35.883","0.117","138.0","MOSTAGANEM, AG",,,"  300",",,S","  190",",,S","  238","H,,S"
"AGM00060457","1976-07-01","35.883","0.117","138.0","MOSTAGANEM, AG",,,"  300",",,S",,,"  265","H,,S"
"AGM00060457","1976-07-05","35.883","0.117","138.0","MOSTAGANEM, AG",,,"  260",",,S","  210",",,S","  236","H,,S"
"AGM00060457","1976-07-11","35.883","0.117","138.0","MOSTAGANEM, AG",,,"  280",",,S","  210",",,S","  246","H,,S"
"AGM00060457","1976-07-12","35.883","0.117","138.0","MOSTAGANEM, AG",,,"  290",",,S","  190",",,S","  244","H,,S"
"AGM00060457","1976-07-13","35.883","0.117","138.0","MOSTAGANEM, AG",,,"  290",",,S","  140",",,S","  252","H,,S"
"AGM00060457","1976-07-14","35.883","0.117","138.0","MOSTAGANEM, AG",,,"  360",",,S","  160",",,S","  270","H,,S"
"AGM00060457","1976-07-16","35.883","0.117","138.0","MOSTAGANEM, AG",,,,,"  230",",,S","  260","H,,S"
"AGM00060457","1976-07-17","35.883","0.117","138.0","MOSTAGANEM, AG",,,"  270",",,S","  220",",,S","  240","H,,S"
"AGM00060457","1976-07-20","35.883","0.117","138.0","MOSTAGANEM, AG",,,"  320",",,S","  210",",,S","  270","H,,S"
"AGM00060457","1976-07-22","35.883","0.117","138.0","MOSTAGANEM, AG",,,"  330",",,S","  190",",,S","  270","H,,S"
"AGM00060457","1976-08-01","35.883","0.117","138.0","MOSTAGANEM, AG",,,"  290",",,S",,,"  262","H,,S"
"AGM00060457","1976-08-02","35.883","0.117","138.0","MOSTAGANEM, AG",,,"  350",",,S",,,"  285","H,,S"
"AGM00060457","1976-08-06","35.883","0.117","138.0","MOSTAGANEM, AG",,,"  350",",,S",,,"  295","H,,S"
"AGM00060457","1976-08-09","35.883","0.117","138.0","MOSTAGANEM, AG",,,,,"  210",",,S","  295","H,,S"
"AGM00060457","1976-08-11","35.883","0.117","138.0","MOSTAGANEM, AG",,,"  280",",,S","  180",",,S","  243","H,,S"
"AGM00060457","1976-08-15","35.883","0.117","138.0","MOSTAGANEM, AG",,,"  380",",,S","  190",",,S","  295","H,,S"
"AGM00060457","1976-08-17","35.883","0.117","138.0","MOSTAGANEM, AG",,,"  300",",,S","  140",",,S","  248","H,,S"
"AGM00060457","1976-08-20","35.883","0.117","138.0","MOSTAGANEM, AG",,,"  370",",,S","  210",",,S","  317","H,,S"
"AGM00060457","1976-09-02","35.883","0.117","138.0","MOSTAGANEM, AG",,,"  330",",,S","  170",",,S","  240","H,,S"
"AGM00060457","1976-09-05","35.883","0.117","138.0","MOSTAGANEM, AG",,,,,"  180",",,S","  235","H,,S"
"AGM00060457","1976-09-13","35.883","0.117","138.0","MOSTAGANEM, AG",,,,,"  140",",,S","  210","H,,S"
"AGM00060457","1976-09-15","35.883","0.117","138.0","MOSTAGANEM, AG",,,"  260",",,S","   90",",,S","  198","H,,S"
"AGM00060457","1976-09-18","35.883","0.117","138.0","MOSTAGANEM, AG",,,,,"  160",",,S","  208","H,,S"
"AGM00060457","1976-09-19","35.883","0.117","138.0","MOSTAGANEM, AG",,,,,"  150",",,S","  225","H,,S"
"AGM00060457","1976-09-22","35.883","0.117","138.0","MOSTAGANEM, AG",,,,,"  120",",,S","  205","H,,S"
"AGM00060457","1976-09-26","35.883","0.117","138.0","MOSTAGANEM, AG",,,,,"  180",",,S","  273","H,,S"
"AGM00060457","1976-10-03","35.883","0.117","138.0","MOSTAGANEM, AG",,,"  230",",,S","  110",",,S","  183","H,,S"
"AGM00060457","1976-10-05","35.883","0.117","138.0","MOSTAGANEM, AG",,,"  230",",,S","  140",",,S","  214","H,,S"
"AGM00060457","1976-10-07","35.883","0.117","138.0","MOSTAGANEM, AG",,,"  290",",,S","  120",",,S","  228","H,,S"
"AGM00060457","1976-10-13","35.883","0.117","138.0","MOSTAGANEM, AG",,,"  220",",,S","  160",",,S","  202","H,,S"
"AGM00060457","1976-10-16","35.883","0.117","138.0","MOSTAGANEM, AG",,,"  200",",,S","   90",",,S","  158","H,,S"
"AGM00060457","1976-10-17","35.883","0.117","138.0","MOSTAGANEM, AG",,,"  220",",,S","  130",",,S","  182","H,,S"
"AGM00060457","1976-10-18","35.883","0.117","138.0","MOSTAGANEM, AG",,,"  220",",,S",,,"  190","H,,S"
"AGM00060457","1976-10-20","35.883","0.117","138.0","MOSTAGANEM, AG",,,"  200",",,S",,,"  176","H,,S"
"AGM00060457","1976-10-21","35.883","0.117","138.0","MOSTAGANEM, AG",,,"  190",",,S",,,"  173","H,,S"
