"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES"
"US1KYSC0027","2022-06-24","38.2614","-84.5295","276.5","GEORGETOWN 4.1 NNE, KY US","    0",",,N","    0",",,N","    0",",,N",,,,
"US1KYSC0027","2022-06-27","38.2614","-84.5295","276.5","GEORGETOWN 4.1 NNE, KY US",,,,,,,"    3",",,N","   18",",,N"
"US1KYSC0027","2022-06-28","38.2614","-84.5295","276.5","GEORGETOWN 4.1 NNE, KY US","    0",",,N","    0",",,N",,,,,,
"US1KYSC0027","2022-06-29","38.2614","-84.5295","276.5","GEORGETOWN 4.1 NNE, KY US","    0",",,N","    0",",,N",,,,,,
"US1KYSC0027","2022-06-30","38.2614","-84.5295","276.5","GEORGETOWN 4.1 NNE, KY US","    0",",,N","    0",",,N",,,,,,
"US1KYSC0027","2022-07-01","38.2614","-84.5295","276.5","GEORGETOWN 4.1 NNE, KY US","   36",",,N",,,,,,,,
"US1KYSC0027","2022-07-05","38.2614","-84.5295","276.5","GEORGETOWN 4.1 NNE, KY US",,,,,,,"    4",",,N","   76",",,N"
"US1KYSC0027","2022-07-06","38.2614","-84.5295","276.5","GEORGETOWN 4.1 NNE, KY US","    0",",,N","    0",",,N",,,,,,
"US1KYSC0027","2022-07-07","38.2614","-84.5295","276.5","GEORGETOWN 4.1 NNE, KY US","  163",",,N",,,,,,,,
"US1KYSC0027","2022-07-11","38.2614","-84.5295","276.5","GEORGETOWN 4.1 NNE, KY US",,,,,,,"    3",",,N","  345",",,N"
"US1KYSC0027","2022-07-12","38.2614","-84.5295","276.5","GEORGETOWN 4.1 NNE, KY US","    0",",,N","    0",",,N",,,,,,
"US1KYSC0027","2022-07-13","38.2614","-84.5295","276.5","GEORGETOWN 4.1 NNE, KY US","    0",",,N","    0",",,N",,,,,,
