"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WESF","WESF_ATTRIBUTES"
"US1KYSP0004","2010-06-26","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","    0",",,N","    0",",,N",,,,,,,,,,
"US1KYSP0004","2010-06-27","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","    0",",,N","    0",",,N",,,,,,,,,,
"US1KYSP0004","2010-06-28","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","   91",",,N",,,,,,,,,,,,
"US1KYSP0004","2010-06-29","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","    0",",,N","    0",",,N",,,,,,,,,,
"US1KYSP0004","2010-06-30","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","    0",",,N","    0",",,N",,,,,,,,,,
"US1KYSP0004","2010-07-01","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","    0",",,N","    0",",,N",,,,,,,,,,
"US1KYSP0004","2010-07-02","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","    0",",,N","    0",",,N",,,,,,,,,,
"US1KYSP0004","2010-07-03","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","    0",",,N","    0",",,N",,,,,,,,,,
"US1KYSP0004","2010-07-04","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","    0",",,N","    0",",,N",,,,,,,,,,
"US1KYSP0004","2010-07-05","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","    0",",,N","    0",",,N",,,,,,,,,,
"US1KYSP0004","2010-07-06","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","    0",",,N","    0",",,N",,,,,,,,,,
"US1KYSP0004","2010-07-07","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","    0",",,N","    0",",,N",,,,,,,,,,
"US1KYSP0004","2010-07-08","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","    0",",,N","    0",",,N",,,,,,,,,,
"US1KYSP0004","2010-07-09","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","    8",",,N",,,,,,,,,,,,
"US1KYSP0004","2010-07-10","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","   89",",,N",,,,,,,,,,,,
"US1KYSP0004","2010-07-11","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","    8",",,N",,,,,,,,,,,,
"US1KYSP0004","2010-07-12","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","    0",",,N","    0",",,N",,,,,,,,,,
"US1KYSP0004","2010-07-13","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","  183",",,N",,,,,,,,,,,,
"US1KYSP0004","2010-07-14","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","   51",",,N",,,,,,,,,,,,
"US1KYSP0004","2010-07-15","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","    0",",,N","    0",",,N",,,,,,,,,,
