"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ZI000067865","1951-07-01","-18.933","29.833","1215.0","KWEKWE, ZI","  253",",,Q","   63",",,Q"
"ZI000067865","1951-07-02","-18.933","29.833","1215.0","KWEKWE, ZI","  252",",,Q","   83",",,Q"
"ZI000067865","1951-07-03","-18.933","29.833","1215.0","KWEKWE, ZI","  257",",,Q","   60",",,Q"
"ZI000067865","1951-07-04","-18.933","29.833","1215.0","KWEKWE, ZI","  252",",,Q","   62",",,Q"
"ZI000067865","1951-07-05","-18.933","29.833","1215.0","KWEKWE, ZI","  240",",,Q","   77",",,Q"
"ZI000067865","1951-07-06","-18.933","29.833","1215.0","KWEKWE, ZI","  222",",,Q","   39",",,Q"
"ZI000067865","1951-07-07","-18.933","29.833","1215.0","KWEKWE, ZI","  204",",,Q","   89",",,Q"
"ZI000067865","1951-07-08","-18.933","29.833","1215.0","KWEKWE, ZI","  206",",,Q","   57",",,Q"
"ZI000067865","1951-07-09","-18.933","29.833","1215.0","KWEKWE, ZI","  203",",,Q","   92",",,Q"
"ZI000067865","1951-07-10","-18.933","29.833","1215.0","KWEKWE, ZI","  198",",,Q","   72",",,Q"
"ZI000067865","1951-07-11","-18.933","29.833","1215.0","KWEKWE, ZI","  211",",,Q","   36",",,Q"
"ZI000067865","1951-07-12","-18.933","29.833","1215.0","KWEKWE, ZI","  208",",,Q","   53",",,Q"
"ZI000067865","1951-07-13","-18.933","29.833","1215.0","KWEKWE, ZI","  220",",,Q","   52",",,Q"
"ZI000067865","1951-07-14","-18.933","29.833","1215.0","KWEKWE, ZI","  244",",,Q","   13",",,Q"
"ZI000067865","1951-07-15","-18.933","29.833","1215.0","KWEKWE, ZI","  255",",,Q","    6",",,Q"
"ZI000067865","1951-07-16","-18.933","29.833","1215.0","KWEKWE, ZI","  257",",,Q","   31",",,Q"
"ZI000067865","1951-07-17","-18.933","29.833","1215.0","KWEKWE, ZI","  232",",,Q","   72",",,Q"
"ZI000067865","1951-07-18","-18.933","29.833","1215.0","KWEKWE, ZI","  164",",,Q","   80",",,Q"
"ZI000067865","1951-07-19","-18.933","29.833","1215.0","KWEKWE, ZI","  179",",,Q","  100",",,Q"
"ZI000067865","1951-07-20","-18.933","29.833","1215.0","KWEKWE, ZI","  228",",,Q","   42",",,Q"
"ZI000067865","1951-07-21","-18.933","29.833","1215.0","KWEKWE, ZI","  232",",,Q","    6",",,Q"
"ZI000067865","1951-07-22","-18.933","29.833","1215.0","KWEKWE, ZI","  219",",,Q","   43",",,Q"
"ZI000067865","1951-07-23","-18.933","29.833","1215.0","KWEKWE, ZI","  219",",,Q","   39",",,Q"
"ZI000067865","1951-07-24","-18.933","29.833","1215.0","KWEKWE, ZI","  244",",,Q","    7",",,Q"
"ZI000067865","1951-07-25","-18.933","29.833","1215.0","KWEKWE, ZI","  271",",,Q","   22",",,Q"
"ZI000067865","1951-07-26","-18.933","29.833","1215.0","KWEKWE, ZI","  188",",,Q","   43",",,Q"
"ZI000067865","1951-07-27","-18.933","29.833","1215.0","KWEKWE, ZI","  219",",,Q","   36",",,Q"
"ZI000067865","1951-07-28","-18.933","29.833","1215.0","KWEKWE, ZI","  229",",,Q","   49",",,Q"
"ZI000067865","1951-07-29","-18.933","29.833","1215.0","KWEKWE, ZI","  235",",,Q","   44",",,Q"
"ZI000067865","1951-07-30","-18.933","29.833","1215.0","KWEKWE, ZI","  244",",,Q","   26",",,Q"
"ZI000067865","1951-07-31","-18.933","29.833","1215.0","KWEKWE, ZI","  217",",,Q","   36",",,Q"
"ZI000067865","1951-08-01","-18.933","29.833","1215.0","KWEKWE, ZI","  245",",,Q","   72",",,Q"
"ZI000067865","1951-08-02","-18.933","29.833","1215.0","KWEKWE, ZI","  251",",,Q","   44",",,Q"
"ZI000067865","1951-08-03","-18.933","29.833","1215.0","KWEKWE, ZI","  209",",,Q","   67",",,Q"
"ZI000067865","1951-08-04","-18.933","29.833","1215.0","KWEKWE, ZI","  231",",,Q","   72",",,Q"
"ZI000067865","1951-08-05","-18.933","29.833","1215.0","KWEKWE, ZI","  233",",,Q","   57",",,Q"
"ZI000067865","1951-08-06","-18.933","29.833","1215.0","KWEKWE, ZI","  167",",,Q","  116",",,Q"
"ZI000067865","1951-08-07","-18.933","29.833","1215.0","KWEKWE, ZI","  157",",,Q","   63",",,Q"
"ZI000067865","1951-08-08","-18.933","29.833","1215.0","KWEKWE, ZI","  206",",,Q","   57",",,Q"
"ZI000067865","1951-08-09","-18.933","29.833","1215.0","KWEKWE, ZI","  223",",,Q","   33",",,Q"
"ZI000067865","1951-08-10","-18.933","29.833","1215.0","KWEKWE, ZI","  247",",,Q","   73",",,Q"
"ZI000067865","1951-08-11","-18.933","29.833","1215.0","KWEKWE, ZI","  271",",,Q","   45",",,Q"
"ZI000067865","1951-08-12","-18.933","29.833","1215.0","KWEKWE, ZI","  274",",,Q","   91",",,Q"
"ZI000067865","1951-08-13","-18.933","29.833","1215.0","KWEKWE, ZI","  239",",,Q","  121",",,Q"
"ZI000067865","1951-08-14","-18.933","29.833","1215.0","KWEKWE, ZI","  233",",,Q","   88",",,Q"
"ZI000067865","1951-08-15","-18.933","29.833","1215.0","KWEKWE, ZI","  256",",,Q","   53",",,Q"
"ZI000067865","1951-08-16","-18.933","29.833","1215.0","KWEKWE, ZI","  289",",,Q","   57",",,Q"
"ZI000067865","1951-08-17","-18.933","29.833","1215.0","KWEKWE, ZI","  296",",,Q","   77",",,Q"
"ZI000067865","1951-08-18","-18.933","29.833","1215.0","KWEKWE, ZI","  292",",,Q","   83",",,Q"
"ZI000067865","1951-08-19","-18.933","29.833","1215.0","KWEKWE, ZI","  308",",,Q","  100",",,Q"
"ZI000067865","1951-08-20","-18.933","29.833","1215.0","KWEKWE, ZI","  285",",,Q","  147",",,Q"
"ZI000067865","1951-08-21","-18.933","29.833","1215.0","KWEKWE, ZI","  281",",,Q","  121",",,Q"
"ZI000067865","1951-08-22","-18.933","29.833","1215.0","KWEKWE, ZI","  264",",,Q","  111",",,Q"
"ZI000067865","1951-08-23","-18.933","29.833","1215.0","KWEKWE, ZI","  266",",,Q","   69",",,Q"
"ZI000067865","1951-08-24","-18.933","29.833","1215.0","KWEKWE, ZI","  263",",,Q","   77",",,Q"
"ZI000067865","1951-08-25","-18.933","29.833","1215.0","KWEKWE, ZI","  253",",,Q","  110",",,Q"
"ZI000067865","1951-08-26","-18.933","29.833","1215.0","KWEKWE, ZI","  230",",,Q","  106",",,Q"
"ZI000067865","1951-08-27","-18.933","29.833","1215.0","KWEKWE, ZI","  242",",,Q","  107",",,Q"
"ZI000067865","1951-08-28","-18.933","29.833","1215.0","KWEKWE, ZI","  249",",,Q","   96",",,Q"
"ZI000067865","1951-08-29","-18.933","29.833","1215.0","KWEKWE, ZI","  249",",,Q","  106",",,Q"
"ZI000067865","1951-08-30","-18.933","29.833","1215.0","KWEKWE, ZI","  269",",,Q","  103",",,Q"
"ZI000067865","1951-08-31","-18.933","29.833","1215.0","KWEKWE, ZI","  287",",,Q","  142",",,Q"
"ZI000067865","1951-09-01","-18.933","29.833","1215.0","KWEKWE, ZI","  234",",,Q","  150",",,Q"
"ZI000067865","1951-09-02","-18.933","29.833","1215.0","KWEKWE, ZI","  242",",,Q","  107",",,Q"
"ZI000067865","1951-09-03","-18.933","29.833","1215.0","KWEKWE, ZI","  271",",,Q","   97",",,Q"
"ZI000067865","1951-09-04","-18.933","29.833","1215.0","KWEKWE, ZI","  303",",,Q","   97",",,Q"
"ZI000067865","1951-09-05","-18.933","29.833","1215.0","KWEKWE, ZI","  307",",,Q","   83",",,Q"
"ZI000067865","1951-09-06","-18.933","29.833","1215.0","KWEKWE, ZI","  287",",,Q","   63",",,Q"
"ZI000067865","1951-09-07","-18.933","29.833","1215.0","KWEKWE, ZI","  267",",,Q","   94",",,Q"
"ZI000067865","1951-09-08","-18.933","29.833","1215.0","KWEKWE, ZI","  256",",,Q","   87",",,Q"
"ZI000067865","1951-09-09","-18.933","29.833","1215.0","KWEKWE, ZI","  283",",,Q","   77",",,Q"
"ZI000067865","1951-09-10","-18.933","29.833","1215.0","KWEKWE, ZI","  296",",,Q","   67",",,Q"
"ZI000067865","1951-09-11","-18.933","29.833","1215.0","KWEKWE, ZI","  304",",,Q","   89",",,Q"
"ZI000067865","1951-09-12","-18.933","29.833","1215.0","KWEKWE, ZI","  314",",,Q","   99",",,Q"
"ZI000067865","1951-09-13","-18.933","29.833","1215.0","KWEKWE, ZI","  313",",,Q","  123",",,Q"
"ZI000067865","1951-09-14","-18.933","29.833","1215.0","KWEKWE, ZI","  314",",,Q","  127",",,Q"
"ZI000067865","1951-09-15","-18.933","29.833","1215.0","KWEKWE, ZI","  319",",,Q","  131",",,Q"
"ZI000067865","1951-09-16","-18.933","29.833","1215.0","KWEKWE, ZI","  303",",,Q","  131",",,Q"
