"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES"
"ZI000067964","1962-07-01","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  250",",,I","  100",",,I","  184","H,,S"
"ZI000067964","1962-07-02","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  233",",,I","   89",",,I","  168","H,,S"
"ZI000067964","1962-07-03","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  206",",,I","   83",",,I","  154","H,,S"
"ZI000067964","1962-07-04","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI",,,"  222",",,I","   67",",,I","  152","H,,S"
"ZI000067964","1962-07-05","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  217",",,I","   72",",,I","  156","H,,S"
"ZI000067964","1962-07-06","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  233",",,I","   78",",,I","  164","H,,S"
"ZI000067964","1962-07-07","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  239",",,I","   94",",,I","  176","H,,S"
"ZI000067964","1962-07-08","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  233",",,I","  100",",,I","  171","H,,S"
"ZI000067964","1962-07-09","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI",,,"  183",",,I","   72",",,I","  136","H,,S"
"ZI000067964","1962-07-10","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI",,,"  167",",,I","   94",",,I","  125","H,,S"
"ZI000067964","1962-07-11","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  200",",,I","   72",",,I","  137","H,,S"
"ZI000067964","1962-07-12","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  217",",,I","   61",",,I","  148","H,,S"
"ZI000067964","1962-07-13","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  211",",,I","   67",",,I","  152","H,,S"
"ZI000067964","1962-07-14","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  211",",,I","   78",",,I","  156","H,,S"
"ZI000067964","1962-07-15","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  206",",,I","   83",",,I","  150","H,,S"
"ZI000067964","1962-07-16","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  194",",,I","   72",",,I","  140","H,,S"
"ZI000067964","1962-07-17","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  206",",,I","   61",",,I","  144","H,,S"
"ZI000067964","1962-07-18","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  211",",,I","   72",",,I","  151","H,,S"
"ZI000067964","1962-07-19","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  222",",,I","   83",",,I","  161","H,,S"
"ZI000067964","1962-07-20","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  189",",,I","   67",",,I","  140","H,,S"
"ZI000067964","1962-07-21","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  200",",,I","   78",",,I","  141","H,,S"
"ZI000067964","1962-07-22","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  206",",,I","   67",",,I","  146","H,,S"
"ZI000067964","1962-07-23","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  222",",,I","   61",",,I","  158","H,,S"
"ZI000067964","1962-07-24","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  244",",,I","   78",",,I","  177","H,,S"
"ZI000067964","1962-07-25","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  272",",,I","   56",",,I","  193","H,,S"
"ZI000067964","1962-07-26","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  194",",,I","   78",",,I","  142","H,,S"
"ZI000067964","1962-07-27","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  200",",,I","   78",",,I","  143","H,,S"
"ZI000067964","1962-07-28","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  239",",,I","   72",",,I","  169","H,,S"
"ZI000067964","1962-07-29","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  211",",,I","   89",",,I","  164","H,,S"
"ZI000067964","1962-07-30","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  183",",,I","   78",",,I","  128","H,,S"
"ZI000067964","1962-07-31","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  189",",,I","   67",",,I","  139","H,,S"
"ZI000067964","1962-08-01","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  211",",,I","   67",",,I","  153","H,,S"
"ZI000067964","1962-08-02","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  239",",,I","   67",",,I","  169","H,,S"
"ZI000067964","1962-08-03","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  250",",,I","   83",",,I","  182","H,,S"
"ZI000067964","1962-08-04","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  267",",,I","   72",",,I","  190","H,,S"
"ZI000067964","1962-08-05","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  167",",,I","  122",",,I","  143","H,,S"
"ZI000067964","1962-08-06","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  239",",,I","  122",",,I","  179","H,,S"
"ZI000067964","1962-08-07","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  228",",,I","  117",",,I","  177","H,,S"
"ZI000067964","1962-08-08","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  217",",,I","   78",",,I","  162","H,,S"
"ZI000067964","1962-08-09","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  228",",,I","   67",",,I","  165","H,,S"
"ZI000067964","1962-08-10","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  256",",,I","   78",",,I","  187","H,,S"
"ZI000067964","1962-08-11","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  261",",,I","  111",",,I","  201","H,,S"
"ZI000067964","1962-08-12","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  256",",,I","  117",",,I","  191","H,,S"
"ZI000067964","1962-08-13","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  244",",,I","  100",",,I","  182","H,,S"
"ZI000067964","1962-08-14","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  217",",,I","  100",",,I","  167","H,,S"
"ZI000067964","1962-08-15","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  228",",,I","   78",",,I","  163","H,,S"
