TMAX,TMIN,PRCP,SNOW,SNWD,DATE,STATION
  183,   22,   13,,,1896-06-01,USC00244558
  206,   67,    0,,,1896-06-02,USC00244558
  206,   78,    0,,,1896-06-03,USC00244558
  200,   78,    0,,,1896-06-04,USC00244558
  189,   89,   13,,,1896-06-05,USC00244558
  167,   61,    0,,,1896-06-06,USC00244558
  183,    6,    0,,,1896-06-07,USC00244558
  189,  111,   46,,,1896-06-08,USC00244558
  211,   17,    0,,,1896-06-09,USC00244558
  156,   61,   15,,,1896-06-10,USC00244558
  211,    0,    0,,,1896-06-11,USC00244558
  256,   39,    0,,,1896-06-12,USC00244558
  256,   44,    0,,,1896-06-13,USC00244558
  272,   56,    0,,,1896-06-14,USC00244558
  289,   44,    0,,,1896-06-15,USC00244558
  289,   72,    0,,,1896-06-16,USC00244558
  289,  100,    0,,,1896-06-17,USC00244558
  278,   94,    0,,,1896-06-18,USC00244558
  261,  122,    0,,,1896-06-19,USC00244558
  256,   72,    0,,,1896-06-20,USC00244558
  289,   89,    0,,,1896-06-21,USC00244558
  278,   78,    0,,,1896-06-22,USC00244558
  206,   78,    0,,,1896-06-23,USC00244558
  200,   28,    0,,,1896-06-24,USC00244558
  283,   44,    0,,,1896-06-25,USC00244558
  294,   67,    0,,,1896-06-26,USC00244558
  311,  106,    0,,,1896-06-27,USC00244558
  333,  111,    0,,,1896-06-28,USC00244558
  344,  122,    0,,,1896-06-29,USC00244558
  317,  144,    0,,,1896-06-30,USC00244558
  294,  117,    0,,,1896-07-01,USC00244558
  294,  139,   20,,,1896-07-02,USC00244558
  300,  100,    0,,,1896-07-03,USC00244558
  333,  117,    0,,,1896-07-04,USC00244558
  372,  117,    0,,,1896-07-05,USC00244558
  344,  144,  122,,,1896-07-06,USC00244558
  317,  156,   15,,,1896-07-07,USC00244558
  333,  111,    0,,,1896-07-08,USC00244558
  306,  133,    0,,,1896-07-09,USC00244558
  339,  128,    0,,,1896-07-10,USC00244558
  328,  117,    0,,,1896-07-11,USC00244558
  289,  144,    0,,,1896-07-12,USC00244558
  311,  150,    0,,,1896-07-13,USC00244558
  344,  167,    0,,,1896-07-14,USC00244558
  339,  161,    0,,,1896-07-15,USC00244558
  350,  139,    0,,,1896-07-16,USC00244558
  289,  106,    0,,,1896-07-17,USC00244558
  256,  106,    0,,,1896-07-18,USC00244558
  289,  133,    0,,,1896-07-19,USC00244558
  233,   89,    0,,,1896-07-20,USC00244558
  133,  106,    0,,,1896-07-21,USC00244558
  172,  106,    0,,,1896-07-22,USC00244558
  217,   83,   25,,,1896-07-23,USC00244558
  261,   61,    0,,,1896-07-24,USC00244558
  217,  106,    0,,,1896-07-25,USC00244558
  239,   78,    0,,,1896-07-26,USC00244558
  267,   56,    0,,,1896-07-27,USC00244558
  239,   94,    0,,,1896-07-28,USC00244558
  256,   72,    3,,,1896-07-29,USC00244558
