PRCP,DATE,STATION
   54,1964-01-01,BR047027080
    0,1964-01-02,BR047027080
    0,1964-01-03,BR047027080
    0,1964-01-04,BR047027080
    0,1964-01-05,BR047027080
    0,1964-01-06,BR047027080
    0,1964-01-07,BR047027080
   56,1964-01-08,BR047027080
    0,1964-01-09,BR047027080
   20,1964-01-10,BR047027080
   67,1964-01-11,BR047027080
  500,1964-01-12,BR047027080
    0,1964-01-13,BR047027080
  754,1964-01-14,BR047027080
  328,1964-01-15,BR047027080
   88,1964-01-16,BR047027080
    0,1964-01-17,BR047027080
  212,1964-01-18,BR047027080
   66,1964-01-19,BR047027080
  300,1964-01-20,BR047027080
  250,1964-01-21,BR047027080
  680,1964-01-22,BR047027080
    0,1964-01-23,BR047027080
    0,1964-01-24,BR047027080
   27,1964-01-25,BR047027080
    0,1964-01-26,BR047027080
   30,1964-01-27,BR047027080
   28,1964-01-28,BR047027080
    0,1964-01-29,BR047027080
   40,1964-01-30,BR047027080
  320,1964-01-31,BR047027080
    0,1964-02-01,BR047027080
    0,1964-02-02,BR047027080
    0,1964-02-03,BR047027080
    0,1964-02-04,BR047027080
    0,1964-02-05,BR047027080
    0,1964-02-06,BR047027080
  200,1964-02-07,BR047027080
  230,1964-02-08,BR047027080
  200,1964-02-09,BR047027080
  620,1964-02-10,BR047027080
   86,1964-02-11,BR047027080
  570,1964-02-12,BR047027080
    0,1964-02-13,BR047027080
   70,1964-02-14,BR047027080
    0,1964-02-15,BR047027080
   80,1964-02-16,BR047027080
    0,1964-02-17,BR047027080
    0,1964-02-18,BR047027080
    0,1964-02-19,BR047027080
   56,1964-02-20,BR047027080
  310,1964-02-21,BR047027080
    0,1964-02-22,BR047027080
  140,1964-02-23,BR047027080
   50,1964-02-24,BR047027080
  160,1964-02-25,BR047027080
   30,1964-02-26,BR047027080
    0,1964-02-27,BR047027080
    0,1964-02-28,BR047027080
    0,1964-02-29,BR047027080
    0,1964-03-01,BR047027080
    0,1964-03-02,BR047027080
    0,1964-03-03,BR047027080
    0,1964-03-04,BR047027080
    0,1964-03-05,BR047027080
    0,1964-03-06,BR047027080
    0,1964-03-07,BR047027080
    0,1964-03-08,BR047027080
    0,1964-03-09,BR047027080
    0,1964-03-10,BR047027080
    0,1964-03-11,BR047027080
    0,1964-03-12,BR047027080
    0,1964-03-13,BR047027080
    0,1964-03-14,BR047027080
    0,1964-03-15,BR047027080
    0,1964-03-16,BR047027080
  148,1964-03-17,BR047027080
   50,1964-03-18,BR047027080
    0,1964-03-19,BR047027080
    0,1964-03-20,BR047027080
    0,1964-03-21,BR047027080
    0,1964-03-22,BR047027080
    0,1964-03-23,BR047027080
    0,1964-03-24,BR047027080
    0,1964-03-25,BR047027080
    0,1964-03-26,BR047027080
    0,1964-03-27,BR047027080
    0,1964-03-28,BR047027080
  320,1964-03-29,BR047027080
    0,1964-03-30,BR047027080
    0,1964-03-31,BR047027080
  222,1964-04-01,BR047027080
    0,1964-04-02,BR047027080
    0,1964-04-03,BR047027080
    0,1964-04-04,BR047027080
   80,1964-04-05,BR047027080
    0,1964-04-06,BR047027080
    0,1964-04-07,BR047027080
    0,1964-04-08,BR047027080
    0,1964-04-09,BR047027080
    0,1964-04-10,BR047027080
    0,1964-04-11,BR047027080
    0,1964-04-12,BR047027080
    0,1964-04-13,BR047027080
    0,1964-04-14,BR047027080
  320,1964-04-15,BR047027080
    0,1964-04-16,BR047027080
    0,1964-04-17,BR047027080
    0,1964-04-18,BR047027080
    0,1964-04-19,BR047027080
    0,1964-04-20,BR047027080
    0,1964-04-21,BR047027080
    0,1964-04-22,BR047027080
    0,1964-04-23,BR047027080
    0,1964-04-24,BR047027080
    0,1964-04-25,BR047027080
    0,1964-04-26,BR047027080
    0,1964-04-27,BR047027080
    0,1964-04-28,BR047027080
    0,1964-04-29,BR047027080
    0,1964-04-30,BR047027080
    0,1964-05-01,BR047027080
    0,1964-05-02,BR047027080
    0,1964-05-03,BR047027080
    0,1964-05-04,BR047027080
    0,1964-05-05,BR047027080
    0,1964-05-06,BR047027080
    0,1964-05-07,BR047027080
    0,1964-05-08,BR047027080
    0,1964-05-09,BR047027080
    0,1964-05-10,BR047027080
    0,1964-05-11,BR047027080
    0,1964-05-12,BR047027080
    0,1964-05-13,BR047027080
    0,1964-05-14,BR047027080
    0,1964-05-15,BR047027080
    0,1964-05-16,BR047027080
    0,1964-05-17,BR047027080
    0,1964-05-18,BR047027080
    0,1964-05-19,BR047027080
    0,1964-05-20,BR047027080
    0,1964-05-21,BR047027080
    0,1964-05-22,BR047027080
    0,1964-05-23,BR047027080
    0,1964-05-24,BR047027080
    0,1964-05-25,BR047027080
    0,1964-05-26,BR047027080
    0,1964-05-27,BR047027080
    0,1964-05-28,BR047027080
    0,1964-05-29,BR047027080
    0,1964-05-30,BR047027080
    0,1964-05-31,BR047027080
    0,1964-06-01,BR047027080
    0,1964-06-02,BR047027080
    0,1964-06-03,BR047027080
    0,1964-06-04,BR047027080
    0,1964-06-05,BR047027080
    0,1964-06-06,BR047027080
    0,1964-06-07,BR047027080
    0,1964-06-08,BR047027080
    0,1964-06-09,BR047027080
    0,1964-06-10,BR047027080
    0,1964-06-11,BR047027080
    0,1964-06-12,BR047027080
    0,1964-06-13,BR047027080
    0,1964-06-14,BR047027080
    0,1964-06-15,BR047027080
    0,1964-06-16,BR047027080
    0,1964-06-17,BR047027080
    0,1964-06-18,BR047027080
    0,1964-06-19,BR047027080
    0,1964-06-20,BR047027080
    0,1964-06-21,BR047027080
    0,1964-06-22,BR047027080
    0,1964-06-23,BR047027080
    0,1964-06-24,BR047027080
    0,1964-06-25,BR047027080
    0,1964-06-26,BR047027080
    0,1964-06-27,BR047027080
    0,1964-06-28,BR047027080
    0,1964-06-29,BR047027080
    0,1964-06-30,BR047027080
    0,1964-07-01,BR047027080
    0,1964-07-02,BR047027080
    0,1964-07-03,BR047027080
    0,1964-07-04,BR047027080
    0,1964-07-05,BR047027080
    0,1964-07-06,BR047027080
    0,1964-07-07,BR047027080
    0,1964-07-08,BR047027080
    0,1964-07-09,BR047027080
    0,1964-07-10,BR047027080
    0,1964-07-11,BR047027080
    0,1964-07-12,BR047027080
    0,1964-07-13,BR047027080
    0,1964-07-14,BR047027080
    0,1964-07-15,BR047027080
    0,1964-07-16,BR047027080
    0,1964-07-17,BR047027080
    0,1964-07-18,BR047027080
    0,1964-07-19,BR047027080
    0,1964-07-20,BR047027080
    0,1964-07-21,BR047027080
    0,1964-07-22,BR047027080
    0,1964-07-23,BR047027080
    0,1964-07-24,BR047027080
    0,1964-07-25,BR047027080
    0,1964-07-26,BR047027080
    0,1964-07-27,BR047027080
    0,1964-07-28,BR047027080
    0,1964-07-29,BR047027080
    0,1964-07-30,BR047027080
    0,1964-07-31,BR047027080
    0,1964-08-01,BR047027080
    0,1964-08-02,BR047027080
    0,1964-08-03,BR047027080
    0,1964-08-04,BR047027080
    0,1964-08-05,BR047027080
    0,1964-08-06,BR047027080
    0,1964-08-07,BR047027080
    0,1964-08-08,BR047027080
    0,1964-08-09,BR047027080
    0,1964-08-10,BR047027080
    0,1964-08-11,BR047027080
    0,1964-08-12,BR047027080
    0,1964-08-13,BR047027080
    0,1964-08-14,BR047027080
    0,1964-08-15,BR047027080
    0,1964-08-16,BR047027080
    0,1964-08-17,BR047027080
    0,1964-08-18,BR047027080
    0,1964-08-19,BR047027080
    0,1964-08-20,BR047027080
    0,1964-08-21,BR047027080
    0,1964-08-22,BR047027080
    0,1964-08-23,BR047027080
    0,1964-08-24,BR047027080
    0,1964-08-25,BR047027080
    0,1964-08-26,BR047027080
    0,1964-08-27,BR047027080
    0,1964-08-28,BR047027080
    0,1964-08-29,BR047027080
    0,1964-08-30,BR047027080
    0,1964-08-31,BR047027080
    0,1964-09-01,BR047027080
    0,1964-09-02,BR047027080
    0,1964-09-03,BR047027080
    0,1964-09-04,BR047027080
    0,1964-09-05,BR047027080
    0,1964-09-06,BR047027080
    0,1964-09-07,BR047027080
    0,1964-09-08,BR047027080
    0,1964-09-09,BR047027080
    0,1964-09-10,BR047027080
    0,1964-09-11,BR047027080
    0,1964-09-12,BR047027080
    0,1964-09-13,BR047027080
    0,1964-09-14,BR047027080
    0,1964-09-15,BR047027080
    0,1964-09-16,BR047027080
    0,1964-09-17,BR047027080
    0,1964-09-18,BR047027080
    0,1964-09-19,BR047027080
    0,1964-09-20,BR047027080
    0,1964-09-21,BR047027080
    0,1964-09-22,BR047027080
    0,1964-09-23,BR047027080
    0,1964-09-24,BR047027080
    0,1964-09-25,BR047027080
    0,1964-09-26,BR047027080
    0,1964-09-27,BR047027080
    0,1964-09-28,BR047027080
    0,1964-09-29,BR047027080
    0,1964-09-30,BR047027080
    0,1964-10-01,BR047027080
    0,1964-10-02,BR047027080
    0,1964-10-03,BR047027080
    0,1964-10-04,BR047027080
    0,1964-10-05,BR047027080
    0,1964-10-06,BR047027080
    0,1964-10-07,BR047027080
    0,1964-10-08,BR047027080
    0,1964-10-09,BR047027080
    0,1964-10-10,BR047027080
    0,1964-10-11,BR047027080
  734,1964-10-12,BR047027080
    0,1964-10-13,BR047027080
  239,1964-10-14,BR047027080
   12,1964-10-15,BR047027080
  888,1964-10-16,BR047027080
    0,1964-10-17,BR047027080
    0,1964-10-18,BR047027080
    0,1964-10-19,BR047027080
    0,1964-10-20,BR047027080
    0,1964-10-21,BR047027080
  224,1964-10-22,BR047027080
    0,1964-10-23,BR047027080
    0,1964-10-24,BR047027080
    0,1964-10-25,BR047027080
    0,1964-10-26,BR047027080
    0,1964-10-27,BR047027080
    0,1964-10-28,BR047027080
    0,1964-10-29,BR047027080
    0,1964-10-30,BR047027080
    0,1964-10-31,BR047027080
    0,1964-11-01,BR047027080
   96,1964-11-02,BR047027080
    0,1964-11-03,BR047027080
    4,1964-11-04,BR047027080
    0,1964-11-05,BR047027080
   56,1964-11-06,BR047027080
   50,1964-11-07,BR047027080
  140,1964-11-08,BR047027080
   40,1964-11-09,BR047027080
    0,1964-11-10,BR047027080
   43,1964-11-11,BR047027080
    0,1964-11-12,BR047027080
    0,1964-11-13,BR047027080
    0,1964-11-14,BR047027080
    0,1964-11-15,BR047027080
    0,1964-11-16,BR047027080
    0,1964-11-17,BR047027080
    0,1964-11-18,BR047027080
    0,1964-11-19,BR047027080
    0,1964-11-20,BR047027080
    0,1964-11-21,BR047027080
  576,1964-11-22,BR047027080
    0,1964-11-23,BR047027080
  468,1964-11-24,BR047027080
   82,1964-11-25,BR047027080
    1,1964-11-26,BR047027080
    0,1964-11-27,BR047027080
    0,1964-11-28,BR047027080
    0,1964-11-29,BR047027080
    0,1964-11-30,BR047027080
    0,1964-12-01,BR047027080
    0,1964-12-02,BR047027080
    0,1964-12-03,BR047027080
    0,1964-12-04,BR047027080
    0,1964-12-05,BR047027080
  580,1964-12-06,BR047027080
    0,1964-12-07,BR047027080
   21,1964-12-08,BR047027080
    0,1964-12-09,BR047027080
    0,1964-12-10,BR047027080
    0,1964-12-11,BR047027080
    0,1964-12-12,BR047027080
    0,1964-12-13,BR047027080
    0,1964-12-14,BR047027080
    0,1964-12-15,BR047027080
    0,1964-12-16,BR047027080
    0,1964-12-17,BR047027080
    0,1964-12-18,BR047027080
    0,1964-12-19,BR047027080
   80,1964-12-20,BR047027080
    0,1964-12-21,BR047027080
    0,1964-12-22,BR047027080
    0,1964-12-23,BR047027080
    0,1964-12-24,BR047027080
    0,1964-12-25,BR047027080
    0,1964-12-26,BR047027080
    0,1964-12-27,BR047027080
    0,1964-12-28,BR047027080
   80,1964-12-29,BR047027080
    0,1964-12-30,BR047027080
    0,1964-12-31,BR047027080
   60,1965-01-01,BR047027080
    0,1965-01-02,BR047027080
    0,1965-01-03,BR047027080
