PRCP,SNOW,SNWD,DATE,STATION
    0,    0,    0,2022-06-24,US1KYSC0027
,,,2022-06-27,US1KYSC0027
    0,    0,,2022-06-28,US1KYSC0027
    0,    0,,2022-06-29,US1KYSC0027
    0,    0,,2022-06-30,US1KYSC0027
   36,,,2022-07-01,US1KYSC0027
,,,2022-07-05,US1KYSC0027
    0,    0,,2022-07-06,US1KYSC0027
  163,,,2022-07-07,US1KYSC0027
,,,2022-07-11,US1KYSC0027
    0,    0,,2022-07-12,US1KYSC0027
    0,    0,,2022-07-13,US1KYSC0027
    0,    0,,2022-07-14,US1KYSC0027
    0,    0,,2022-07-15,US1KYSC0027
,,,2022-07-25,US1KYSC0027
    3,,,2022-07-26,US1KYSC0027
  269,,,2022-07-27,US1KYSC0027
   33,,,2022-07-28,US1KYSC0027
  155,,,2022-07-29,US1KYSC0027
,,,2022-08-01,US1KYSC0027
   23,,,2022-08-02,US1KYSC0027
    0,    0,,2022-08-04,US1KYSC0027
    0,,,2022-08-05,US1KYSC0027
,,,2022-08-08,US1KYSC0027
    3,,,2022-08-09,US1KYSC0027
   79,,,2022-08-10,US1KYSC0027
   38,,,2022-08-11,US1KYSC0027
    0,    0,,2022-08-12,US1KYSC0027
,,,2022-08-15,US1KYSC0027
    0,    0,,2022-08-16,US1KYSC0027
    0,    0,,2022-08-17,US1KYSC0027
    0,    0,,2022-08-18,US1KYSC0027
    0,    0,,2022-08-19,US1KYSC0027
    5,,,2022-08-22,US1KYSC0027
    0,    0,,2022-08-23,US1KYSC0027
    0,    0,,2022-08-24,US1KYSC0027
    0,    0,,2022-08-25,US1KYSC0027
    0,    0,,2022-08-26,US1KYSC0027
,,,2022-08-29,US1KYSC0027
  216,,,2022-08-30,US1KYSC0027
   28,,,2022-08-31,US1KYSC0027
    0,    0,,2022-09-01,US1KYSC0027
    0,    0,,2022-09-02,US1KYSC0027
,,,2022-09-06,US1KYSC0027
  196,,,2022-09-07,US1KYSC0027
,,,2022-09-13,US1KYSC0027
,,,2022-09-16,US1KYSC0027
,,,2022-09-19,US1KYSC0027
    0,    0,,2022-09-20,US1KYSC0027
    0,    0,,2022-09-21,US1KYSC0027
    0,    0,,2022-09-22,US1KYSC0027
,,,2022-09-26,US1KYSC0027
    0,    0,,2022-09-27,US1KYSC0027
    0,    0,,2022-09-28,US1KYSC0027
    0,    0,,2022-09-29,US1KYSC0027
    0,    0,,2022-09-30,US1KYSC0027
,,,2022-10-03,US1KYSC0027
    0,    0,,2022-10-04,US1KYSC0027
    0,    0,,2022-10-05,US1KYSC0027
    0,    0,,2022-10-06,US1KYSC0027
    0,    0,,2022-10-07,US1KYSC0027
,,,2022-10-17,US1KYSC0027
    0,    0,,2022-10-18,US1KYSC0027
    0,    0,,2022-10-19,US1KYSC0027
    0,    0,,2022-10-20,US1KYSC0027
    0,    0,,2022-10-21,US1KYSC0027
    0,    0,,2022-10-22,US1KYSC0027
,,,2022-10-24,US1KYSC0027
    0,    0,,2022-10-25,US1KYSC0027
   46,,,2022-10-26,US1KYSC0027
    0,,,2022-10-27,US1KYSC0027
    0,    0,,2022-10-28,US1KYSC0027
   79,,,2022-10-31,US1KYSC0027
   10,,,2022-11-01,US1KYSC0027
    0,    0,,2022-11-02,US1KYSC0027
