PRCP,SNOW,SNWD,DATE,STATION
   61,    0,,2008-02-18,US1KYSH0002
    0,    0,,2008-02-19,US1KYSH0002
    0,    0,,2008-02-20,US1KYSH0002
    0,    0,,2008-02-21,US1KYSH0002
  175,    0,,2008-02-22,US1KYSH0002
   23,    0,,2008-02-23,US1KYSH0002
    0,    0,,2008-02-24,US1KYSH0002
    0,    0,,2008-02-25,US1KYSH0002
   51,    0,,2008-02-26,US1KYSH0002
   10,   10,   10,2008-02-27,US1KYSH0002
    0,    0,,2008-02-28,US1KYSH0002
    0,    0,,2008-02-29,US1KYSH0002
   20,    0,,2008-03-01,US1KYSH0002
    0,    0,,2008-03-02,US1KYSH0002
   13,    0,,2008-03-03,US1KYSH0002
  495,    0,,2008-03-04,US1KYSH0002
  124,    0,,2008-03-05,US1KYSH0002
    0,    0,,2008-03-06,US1KYSH0002
    0,    0,,2008-03-07,US1KYSH0002
  254,  229,  229,2008-03-08,US1KYSH0002
   15,   71,  300,2008-03-09,US1KYSH0002
    0,    0,   81,2008-03-10,US1KYSH0002
    3,    0,   38,2008-03-11,US1KYSH0002
    0,    0,,2008-03-12,US1KYSH0002
    0,    0,,2008-03-13,US1KYSH0002
    0,    0,,2008-03-14,US1KYSH0002
   81,    0,,2008-03-15,US1KYSH0002
   33,    0,,2008-03-16,US1KYSH0002
    0,    0,,2008-03-17,US1KYSH0002
    0,    0,,2008-03-18,US1KYSH0002
  226,    0,,2008-03-19,US1KYSH0002
  343,    0,,2008-03-20,US1KYSH0002
    0,    0,,2008-03-21,US1KYSH0002
    0,    0,,2008-03-22,US1KYSH0002
    0,    0,,2008-03-23,US1KYSH0002
    0,    0,,2008-03-24,US1KYSH0002
    0,    0,,2008-03-25,US1KYSH0002
    0,    0,,2008-03-26,US1KYSH0002
  234,    0,,2008-03-27,US1KYSH0002
  254,    0,,2008-03-28,US1KYSH0002
   25,    0,,2008-03-29,US1KYSH0002
    0,    0,,2008-03-30,US1KYSH0002
   15,    0,,2008-03-31,US1KYSH0002
  102,    0,,2008-04-01,US1KYSH0002
    0,    0,,2008-04-02,US1KYSH0002
    0,    0,,2008-04-03,US1KYSH0002
  988,    0,,2008-04-04,US1KYSH0002
   61,    0,,2008-04-05,US1KYSH0002
    0,    0,,2008-04-06,US1KYSH0002
    0,    0,,2008-04-07,US1KYSH0002
    0,    0,,2008-04-08,US1KYSH0002
    0,    0,,2008-04-09,US1KYSH0002
    5,    0,,2008-04-10,US1KYSH0002
  142,    0,,2008-04-11,US1KYSH0002
   25,    0,,2008-04-12,US1KYSH0002
    5,    0,,2008-04-13,US1KYSH0002
   23,    0,,2008-04-14,US1KYSH0002
    0,    0,,2008-04-15,US1KYSH0002
    0,    0,,2008-04-16,US1KYSH0002
    0,    0,,2008-04-17,US1KYSH0002
    0,    0,,2008-04-18,US1KYSH0002
    8,    0,,2008-04-19,US1KYSH0002
   10,    0,,2008-04-20,US1KYSH0002
   25,    0,,2008-04-21,US1KYSH0002
    0,    0,,2008-04-22,US1KYSH0002
    0,    0,,2008-04-23,US1KYSH0002
