PRCP,SNOW,DATE,STATION
  290,,2018-09-23,US1KYSH0012
  257,,2018-09-24,US1KYSH0012
  445,,2018-09-25,US1KYSH0012
  246,,2018-09-26,US1KYSH0012
    0,    0,2018-09-27,US1KYSH0012
    5,,2018-09-28,US1KYSH0012
    0,    0,2018-09-29,US1KYSH0012
    0,    0,2018-09-30,US1KYSH0012
    0,    0,2018-10-01,US1KYSH0012
    0,    0,2018-10-02,US1KYSH0012
    0,    0,2018-10-03,US1KYSH0012
    0,    0,2018-10-04,US1KYSH0012
   46,,2018-10-05,US1KYSH0012
    3,,2018-10-06,US1KYSH0012
    0,    0,2018-10-07,US1KYSH0012
    0,    0,2018-10-08,US1KYSH0012
    0,    0,2018-10-09,US1KYSH0012
    0,    0,2018-10-10,US1KYSH0012
  102,,2018-10-11,US1KYSH0012
    0,,2018-10-12,US1KYSH0012
   43,,2018-10-13,US1KYSH0012
   43,,2018-10-14,US1KYSH0012
   48,,2018-10-15,US1KYSH0012
  231,,2018-10-16,US1KYSH0012
    0,    0,2018-10-17,US1KYSH0012
    0,    0,2018-10-18,US1KYSH0012
    0,    0,2018-10-19,US1KYSH0012
   53,,2018-10-20,US1KYSH0012
    0,,2018-10-21,US1KYSH0012
    0,    0,2018-10-22,US1KYSH0012
    0,    0,2018-10-23,US1KYSH0012
    0,    0,2018-10-24,US1KYSH0012
,,2018-10-28,US1KYSH0012
    5,,2018-10-29,US1KYSH0012
    0,    0,2018-10-30,US1KYSH0012
    0,    0,2018-10-31,US1KYSH0012
  452,,2018-11-01,US1KYSH0012
  259,,2018-11-02,US1KYSH0012
    3,,2018-11-03,US1KYSH0012
    0,    0,2018-11-04,US1KYSH0012
   76,,2018-11-05,US1KYSH0012
  457,,2018-11-06,US1KYSH0012
    3,,2018-11-07,US1KYSH0012
    0,    0,2018-11-08,US1KYSH0012
   15,,2018-11-09,US1KYSH0012
   41,,2018-11-10,US1KYSH0012
    0,    0,2018-11-11,US1KYSH0012
    0,    0,2018-11-12,US1KYSH0012
   48,,2018-11-13,US1KYSH0012
    0,,2018-11-14,US1KYSH0012
  170,,2018-11-15,US1KYSH0012
,,2018-11-17,US1KYSH0012
    0,    0,2018-11-18,US1KYSH0012
    0,    0,2018-11-19,US1KYSH0012
   10,,2018-11-20,US1KYSH0012
    0,    0,2018-11-21,US1KYSH0012
    0,    0,2018-11-22,US1KYSH0012
    0,    0,2018-11-23,US1KYSH0012
  102,,2018-11-24,US1KYSH0012
    0,    0,2018-11-25,US1KYSH0012
   28,,2018-11-26,US1KYSH0012
    0,,2018-11-27,US1KYSH0012
    0,,2018-11-28,US1KYSH0012
    0,,2018-11-29,US1KYSH0012
   51,,2018-11-30,US1KYSH0012
,,2018-12-02,US1KYSH0012
    3,,2018-12-03,US1KYSH0012
    5,,2018-12-04,US1KYSH0012
    0,,2018-12-05,US1KYSH0012
    0,    0,2018-12-06,US1KYSH0012
    0,    0,2018-12-07,US1KYSH0012
    0,    0,2018-12-08,US1KYSH0012
    0,    0,2018-12-09,US1KYSH0012
    0,    0,2018-12-10,US1KYSH0012
    0,    0,2018-12-11,US1KYSH0012
    0,    0,2018-12-12,US1KYSH0012
    0,    0,2018-12-13,US1KYSH0012
    0,,2018-12-14,US1KYSH0012
  234,,2018-12-15,US1KYSH0012
   74,,2018-12-16,US1KYSH0012
    0,    0,2018-12-17,US1KYSH0012
    0,    0,2018-12-18,US1KYSH0012
    0,    0,2018-12-19,US1KYSH0012
    8,,2018-12-20,US1KYSH0012
  185,,2018-12-21,US1KYSH0012
    0,    0,2018-12-22,US1KYSH0012
    0,    0,2018-12-23,US1KYSH0012
    0,,2018-12-24,US1KYSH0012
    0,    0,2018-12-25,US1KYSH0012
    0,    0,2018-12-26,US1KYSH0012
    0,    0,2018-12-27,US1KYSH0012
  102,,2018-12-28,US1KYSH0012
    8,,2018-12-29,US1KYSH0012
    0,    0,2018-12-30,US1KYSH0012
  107,,2018-12-31,US1KYSH0012
  175,,2019-01-01,US1KYSH0012
    0,    0,2019-01-02,US1KYSH0012
    0,    0,2019-01-03,US1KYSH0012
    0,    0,2019-01-04,US1KYSH0012
  147,,2019-01-05,US1KYSH0012
    0,    0,2019-01-06,US1KYSH0012
    0,    0,2019-01-07,US1KYSH0012
    0,,2019-01-08,US1KYSH0012
    0,,2019-01-09,US1KYSH0012
    0,    0,2019-01-10,US1KYSH0012
    0,    0,2019-01-11,US1KYSH0012
   43,,2019-01-12,US1KYSH0012
   74,,2019-01-13,US1KYSH0012
    0,    0,2019-01-14,US1KYSH0012
,,2019-01-19,US1KYSH0012
  216,,2019-01-20,US1KYSH0012
    0,    0,2019-01-21,US1KYSH0012
    0,    0,2019-01-22,US1KYSH0012
,,2019-01-24,US1KYSH0012
    0,    0,2019-01-25,US1KYSH0012
    0,    0,2019-01-26,US1KYSH0012
    0,,2019-01-27,US1KYSH0012
    0,    0,2019-02-04,US1KYSH0012
,,2019-02-06,US1KYSH0012
   99,,2019-02-07,US1KYSH0012
  277,,2019-02-08,US1KYSH0012
