PRCP,SNOW,SNWD,DATE,STATION
    0,    0,,2010-03-19,US1KYSM0002
    0,    0,,2010-03-20,US1KYSM0002
    0,    0,,2010-03-21,US1KYSM0002
  257,,,2010-03-22,US1KYSM0002
    0,    0,,2010-03-23,US1KYSM0002
    0,    0,,2010-03-24,US1KYSM0002
,,,2010-03-26,US1KYSM0002
    0,    0,,2010-03-27,US1KYSM0002
   97,,,2010-03-28,US1KYSM0002
    8,,,2010-03-29,US1KYSM0002
    0,    0,,2010-03-30,US1KYSM0002
    0,    0,,2010-03-31,US1KYSM0002
    0,    0,,2010-04-01,US1KYSM0002
    0,    0,,2010-04-02,US1KYSM0002
   64,,,2010-04-03,US1KYSM0002
    0,    0,,2010-04-04,US1KYSM0002
    0,    0,,2010-04-05,US1KYSM0002
    0,    0,,2010-04-06,US1KYSM0002
    0,    0,,2010-04-07,US1KYSM0002
  114,,,2010-04-08,US1KYSM0002
    0,    0,,2010-04-09,US1KYSM0002
    0,    0,,2010-04-10,US1KYSM0002
    0,    0,,2010-04-11,US1KYSM0002
    0,    0,,2010-04-12,US1KYSM0002
    0,    0,,2010-04-13,US1KYSM0002
    0,    0,,2010-04-14,US1KYSM0002
    0,    0,,2010-04-15,US1KYSM0002
    0,    0,,2010-04-16,US1KYSM0002
   25,,,2010-04-17,US1KYSM0002
    0,    0,,2010-04-18,US1KYSM0002
    0,    0,,2010-04-19,US1KYSM0002
    0,    0,,2010-04-20,US1KYSM0002
    0,    0,,2010-04-21,US1KYSM0002
    0,    0,,2010-04-22,US1KYSM0002
    0,    0,,2010-04-23,US1KYSM0002
,,,2010-04-25,US1KYSM0002
   58,,,2010-04-26,US1KYSM0002
   43,,,2010-04-27,US1KYSM0002
    0,    0,,2010-04-28,US1KYSM0002
    0,    0,,2010-04-29,US1KYSM0002
    0,    0,,2010-04-30,US1KYSM0002
  236,,,2010-05-01,US1KYSM0002
 1316,,,2010-05-02,US1KYSM0002
  699,,,2010-05-03,US1KYSM0002
    0,    0,,2010-05-04,US1KYSM0002
    0,    0,,2010-05-05,US1KYSM0002
    0,    0,,2010-05-06,US1KYSM0002
    0,    0,,2010-05-07,US1KYSM0002
    8,,,2010-05-08,US1KYSM0002
    0,    0,,2010-05-09,US1KYSM0002
    0,    0,,2010-05-10,US1KYSM0002
   10,,,2010-05-11,US1KYSM0002
    0,    0,,2010-05-12,US1KYSM0002
    0,    0,,2010-05-13,US1KYSM0002
    0,    0,,2010-05-14,US1KYSM0002
   20,,,2010-05-15,US1KYSM0002
  249,,,2010-05-16,US1KYSM0002
    3,,,2010-05-17,US1KYSM0002
   15,,,2010-05-18,US1KYSM0002
    0,    0,,2010-05-19,US1KYSM0002
    0,    0,,2010-05-20,US1KYSM0002
,,,2010-05-22,US1KYSM0002
    0,    0,,2010-05-23,US1KYSM0002
    0,    0,,2010-05-24,US1KYSM0002
    0,    0,,2010-05-25,US1KYSM0002
    0,    0,,2010-05-26,US1KYSM0002
   51,,,2010-05-27,US1KYSM0002
    0,    0,,2010-05-28,US1KYSM0002
   86,,,2010-05-29,US1KYSM0002
    0,    0,,2010-05-30,US1KYSM0002
