PRCP,SNOW,SNWD,DATE,STATION
    0,    0,,2020-08-26,US1KYSP0008
    0,    0,,2020-08-27,US1KYSP0008
,,,2020-08-29,US1KYSP0008
    0,,,2020-09-01,US1KYSP0008
  142,,,2020-09-02,US1KYSP0008
  221,,,2020-09-03,US1KYSP0008
   53,,,2020-09-04,US1KYSP0008
    0,,,2020-09-06,US1KYSP0008
    0,,,2020-09-08,US1KYSP0008
    0,,,2020-09-11,US1KYSP0008
    0,,,2020-09-12,US1KYSP0008
   10,,,2020-09-13,US1KYSP0008
    0,,,2020-09-14,US1KYSP0008
    0,,,2020-09-15,US1KYSP0008
    0,,,2020-09-16,US1KYSP0008
    0,,,2020-09-17,US1KYSP0008
    0,,,2020-09-18,US1KYSP0008
    0,,,2020-09-20,US1KYSP0008
    0,,,2020-09-21,US1KYSP0008
    0,,,2020-09-22,US1KYSP0008
    0,,,2020-09-23,US1KYSP0008
    3,,,2020-09-24,US1KYSP0008
    0,,,2020-09-25,US1KYSP0008
    0,,,2020-09-26,US1KYSP0008
    0,,,2020-09-27,US1KYSP0008
    0,,,2020-09-28,US1KYSP0008
   99,,,2020-09-29,US1KYSP0008
   30,,,2020-09-30,US1KYSP0008
    0,,,2020-10-01,US1KYSP0008
    0,,,2020-10-02,US1KYSP0008
    0,,,2020-10-03,US1KYSP0008
    5,,,2020-10-04,US1KYSP0008
    0,,,2020-10-05,US1KYSP0008
    0,,,2020-10-06,US1KYSP0008
    0,,,2020-10-07,US1KYSP0008
    0,,,2020-10-08,US1KYSP0008
    0,,,2020-10-10,US1KYSP0008
    8,,,2020-10-11,US1KYSP0008
    0,,,2020-10-12,US1KYSP0008
    5,,,2020-10-13,US1KYSP0008
    0,,,2020-10-14,US1KYSP0008
    0,,,2020-10-15,US1KYSP0008
   15,,,2020-10-16,US1KYSP0008
    0,,,2020-10-17,US1KYSP0008
    0,,,2020-10-18,US1KYSP0008
   61,,,2020-10-19,US1KYSP0008
  673,,,2020-10-20,US1KYSP0008
    3,,,2020-10-21,US1KYSP0008
    0,,,2020-10-22,US1KYSP0008
    0,,,2020-10-23,US1KYSP0008
  307,,,2020-10-24,US1KYSP0008
   10,,,2020-10-25,US1KYSP0008
    0,,,2020-10-26,US1KYSP0008
    3,,,2020-10-27,US1KYSP0008
    0,,,2020-10-28,US1KYSP0008
  267,,,2020-10-29,US1KYSP0008
  218,,,2020-10-30,US1KYSP0008
    0,,,2020-10-31,US1KYSP0008
    0,,,2020-11-01,US1KYSP0008
    0,,,2020-11-02,US1KYSP0008
    0,,,2020-11-03,US1KYSP0008
    0,,,2020-11-04,US1KYSP0008
    0,,,2020-11-05,US1KYSP0008
    0,,,2020-11-06,US1KYSP0008
    0,,,2020-11-07,US1KYSP0008
    0,,,2020-11-08,US1KYSP0008
    0,,,2020-11-09,US1KYSP0008
    0,,,2020-11-10,US1KYSP0008
   94,,,2020-11-11,US1KYSP0008
    0,,,2020-11-12,US1KYSP0008
    0,,,2020-11-13,US1KYSP0008
    0,,,2020-11-14,US1KYSP0008
  109,,,2020-11-15,US1KYSP0008
    3,,,2020-11-16,US1KYSP0008
    0,,,2020-11-17,US1KYSP0008
    0,,,2020-11-18,US1KYSP0008
    0,,,2020-11-19,US1KYSP0008
    0,,,2020-11-20,US1KYSP0008
    0,,,2020-11-21,US1KYSP0008
    3,,,2020-11-22,US1KYSP0008
   25,,,2020-11-23,US1KYSP0008
    0,,,2020-11-24,US1KYSP0008
   79,,,2020-11-25,US1KYSP0008
   30,,,2020-11-26,US1KYSP0008
    0,,,2020-11-27,US1KYSP0008
    0,,,2020-11-28,US1KYSP0008
    0,,,2020-11-29,US1KYSP0008
  198,,,2020-11-30,US1KYSP0008
   48,   13,   25,2020-12-01,US1KYSP0008
    0,,,2020-12-02,US1KYSP0008
    0,,,2020-12-03,US1KYSP0008
    5,,,2020-12-04,US1KYSP0008
    5,,,2020-12-05,US1KYSP0008
    0,,,2020-12-06,US1KYSP0008
    0,,,2020-12-07,US1KYSP0008
    0,,,2020-12-08,US1KYSP0008
    0,,,2020-12-09,US1KYSP0008
    0,,,2020-12-10,US1KYSP0008
    0,,,2020-12-11,US1KYSP0008
   15,,,2020-12-12,US1KYSP0008
   23,,,2020-12-13,US1KYSP0008
   53,,,2020-12-14,US1KYSP0008
    0,,,2020-12-15,US1KYSP0008
   51,,,2020-12-16,US1KYSP0008
   25,    0,    0,2020-12-17,US1KYSP0008
    0,    0,,2020-12-18,US1KYSP0008
    0,,,2020-12-19,US1KYSP0008
    0,,,2020-12-20,US1KYSP0008
    0,,,2020-12-21,US1KYSP0008
    0,,,2020-12-22,US1KYSP0008
    0,,,2020-12-23,US1KYSP0008
   97,,,2020-12-24,US1KYSP0008
    0,    3,    0,2020-12-25,US1KYSP0008
    0,    0,    0,2020-12-26,US1KYSP0008
    0,,,2020-12-27,US1KYSP0008
    3,,,2020-12-28,US1KYSP0008
    0,,,2020-12-29,US1KYSP0008
    0,,,2020-12-30,US1KYSP0008
  267,,,2020-12-31,US1KYSP0008
  231,,,2021-01-01,US1KYSP0008
   41,,,2021-01-02,US1KYSP0008
   18,,,2021-01-03,US1KYSP0008
    8,,,2021-01-05,US1KYSP0008
    0,,,2021-01-06,US1KYSP0008
    0,,,2021-01-07,US1KYSP0008
   18,   18,   25,2021-01-08,US1KYSP0008
    0,,,2021-01-09,US1KYSP0008
