Year,Month,TMAX,TMIN,PRCP,SNOW,SNWD
1956,4,,,5.7304,,
1956,5,,,0.6158,,
1956,6,,,12.9941,,
1956,7,,,1.8588,,
1956,8,,,1.432,,
1956,9,,,1.7591,,
1956,10,,,2.6227,,
1956,11,,,9.9353,,
1956,12,,,3.0059,,
1957,1,,,6.1381,,
1957,2,,,13.1,,
1957,3,,,4.9581,,
1957,4,,,9.17,,
1957,5,29.8714,24.181,8.7065,,
1957,6,29.5867,23.7533,9.29,,
1957,7,28.2226,23.7645,5.4323,,
1957,8,28.2645,24.1226,1.6871,,
1957,9,28.6,23.94,4.2667,,
1957,10,28.6806,24.2742,9.3645,,
1957,11,29.2833,24.5033,10.4433,,
1957,12,29.2567,25.1033,9.9129,,
1958,1,30.8742,25.0258,5.3323,,
1958,2,30.7679,24.4929,14.3321,0.0,0.0
1958,3,30.9065,24.5613,7.9097,0.0,0.0
1958,4,31.1179,24.7821,6.3767,0.0,0.0
1958,5,30.4375,24.7667,6.2778,0.0,0.0
1958,6,,,15.5,0.0,0.0
1958,7,,,3.3097,0.0,0.0
1958,8,,,4.2129,0.0,0.0
1958,9,,,3.88,0.0,0.0
1958,10,,,10.6903,0.0,0.0
1958,11,,,9.8467,0.0,0.0
1958,12,,,6.8194,0.0,0.0
1959,1,,,13.0097,0.0,0.0
1959,2,,,21.4107,0.0,0.0
1959,3,,,4.7419,0.0,0.0
1959,4,,,7.5933,0.0,0.0
1959,5,,,10.1355,0.0,0.0
1959,6,,,3.26,0.0,0.0
1959,7,,,6.0194,0.0,0.0
1959,8,,,9.5097,0.0,0.0
1959,9,28.4533,22.15,13.2767,0.0,0.0
1959,10,29.1806,22.729,8.1194,0.0,0.0
1959,11,30.0167,21.3,11.2733,0.0,0.0
1959,12,30.171,22.4581,26.2161,0.0,0.0
1960,1,30.3067,23.8433,12.92,0.0,0.0
1960,2,30.1207,23.0103,10.0517,0.0,0.0
1960,3,30.6355,22.9194,8.4903,0.0,0.0
1960,4,31.0586,23.6345,7.3586,0.0,0.0
1960,5,29.6967,24.0,8.0759,0.0,0.0
1960,6,29.2533,23.9767,7.9,0.0,0.0
1960,7,28.2226,22.5742,11.771,0.0,0.0
1960,8,28.3258,22.7903,8.3226,0.0,0.0
1960,9,29.2767,23.0567,2.2233,0.0,0.0
1960,10,28.829,23.4419,8.2613,0.0,0.0
1960,11,30.5433,24.22,10.17,0.0,0.0
1960,12,30.8967,23.6367,11.5759,0.0,0.0
1961,1,31.1935,24.6903,6.8323,0.0,0.0
1961,2,30.9607,23.8679,6.8143,0.0,0.0
1961,3,29.229,23.4645,26.0903,0.0,0.0
1961,4,30.3533,24.79,4.01,0.0,0.0
1961,5,29.6433,24.2,5.1355,0.0,0.0
1961,6,28.5833,23.8067,10.86,0.0,0.0
1961,7,28.6161,23.1355,2.6065,0.0,0.0
1961,8,28.9194,23.1839,3.7258,0.0,0.0
1961,9,29.3167,24.0033,2.5267,0.0,0.0
1961,10,28.8452,22.9161,11.7903,0.0,0.0
1961,11,29.7567,23.4767,10.7133,0.0,0.0
1961,12,30.5774,23.4129,7.0548,0.0,0.0
1962,1,30.9871,22.6323,9.4516,0.0,0.0
1962,2,30.4214,23.5893,17.7571,0.0,0.0
1962,3,31.0871,23.0774,6.6065,0.0,0.0
1962,4,30.9333,22.72,12.4517,0.0,0.0
1962,5,30.0774,22.5774,9.1806,0.0,0.0
1962,6,29.5333,22.57,7.9107,0.0,0.0
1962,7,29.0548,23.471,16.0484,0.0,0.0
1962,8,28.4065,22.7516,9.8613,0.0,0.0
1962,9,30.0933,23.4567,4.3467,0.0,0.0
1962,10,29.4839,23.8323,5.2968,0.0,0.0
1962,11,29.91,23.7567,11.8333,0.0,0.0
1962,12,30.0323,23.4839,19.6806,0.0,0.0
1963,1,31.0645,23.5032,13.9065,0.0,0.0
1963,2,31.2607,23.5857,13.05,0.0,0.0
1963,3,30.8839,23.3742,12.7065,0.0,0.0
1963,4,31.13,24.2133,14.5407,0.0,0.0
1963,5,30.4903,23.6903,9.2226,0.0,0.0
1963,6,29.67,23.8467,4.6633,0.0,0.0
1963,7,29.8129,23.8419,1.6548,0.0,0.0
1963,8,29.3871,23.6065,6.6032,0.0,0.0
1963,9,29.4567,22.8967,4.02,0.0,0.0
1963,10,29.5129,23.7677,13.3065,0.0,0.0
1963,11,30.5621,24.0828,8.125,0.0,0.0
1963,12,30.571,24.6419,4.9161,0.0,0.0
1964,1,30.91,24.52,12.9828,0.0,0.0
1964,2,31.0893,24.4464,9.6036,0.0,0.0
1964,3,31.471,24.5548,8.9677,0.0,0.0
1964,4,31.01,24.0833,9.9333,0.0,0.0
1964,5,29.7903,22.6774,8.6258,0.0,0.0
1964,6,29.2367,21.5833,8.02,0.0,0.0
1964,7,28.8323,21.471,8.4806,0.0,0.0
1964,8,29.2032,21.6323,6.3032,0.0,0.0
1964,9,29.4233,21.04,12.6333,0.0,0.0
1964,10,30.5,21.5839,6.1806,0.0,0.0
1964,11,30.0833,21.71,14.1267,0.0,0.0
