Year,Month,TMAX,TMIN,PRCP,SNOW,SNWD
1969,11,5.0536,-1.4714,1.56,2.5333,
1969,12,-0.4484,-6.6226,1.1387,9.9032,
1970,1,-10.2161,-18.0484,1.1581,11.5806,
1970,2,1.6679,-9.3143,0.6679,6.6786,
1970,3,5.6419,-6.6258,0.5355,3.4516,
1970,4,10.26,-2.78,0.1867,0.0,
1970,5,14.5161,2.6484,1.0742,0.0,
1970,6,22.4967,5.67,0.7967,0.0,
1970,7,21.4548,6.5613,2.1323,0.0,
1970,8,21.5065,6.5258,0.5581,0.0,
1970,9,14.8867,2.8933,1.8033,0.0,
1970,10,10.3935,-0.2613,0.3548,0.2581,
1970,11,-1.9267,-9.55,2.69,21.3333,
1970,12,-7.629,-19.5323,1.3903,13.9032,
1971,1,-7.8129,-17.7581,2.4,23.8387,
1971,2,-1.5429,-13.3357,1.0929,10.75,
1971,3,2.5548,-12.3806,1.4935,14.9355,
1971,4,10.45,-3.47,0.2767,0.8333,
1971,5,17.171,1.1258,0.5097,0.0,
1971,6,18.81,5.8133,1.93,0.0,
1971,7,24.0032,8.5613,2.4548,0.0,
1971,8,22.3935,7.9129,1.2581,0.0,
1971,9,14.2033,2.7467,0.8033,0.0,
1971,10,8.7226,-1.8452,1.6613,9.0323,
1971,11,1.6067,-4.64,1.8,13.8,
1971,12,-11.9677,-21.2323,3.9742,39.7419,
1972,1,-13.4903,-25.0871,1.9161,19.1613,
1972,2,-6.2759,-16.4517,2.7069,27.069,
1972,3,4.8935,-6.7516,1.6258,9.2903,
1972,4,6.5933,-4.29,0.64,3.2,
1972,5,18.0258,1.2097,0.0323,0.0,
1972,6,18.2067,5.67,3.8567,0.0,
1972,7,20.9484,7.3065,1.7645,0.0,
1972,8,22.0581,7.1548,0.2258,0.0,
1972,9,14.05,2.7167,1.6533,0.0,
1972,10,9.5806,-1.5065,1.7677,1.2903,
1972,11,1.9533,-2.5933,1.3567,4.8333,
1972,12,-6.4839,-16.6097,1.8323,17.0968,
1973,1,-6.8806,-16.5226,0.9548,9.2258,
1973,2,-3.1786,-15.5286,0.4964,4.9643,
1973,3,5.1032,-7.1484,0.7581,6.6774,
1973,4,10.2433,-2.4567,0.2933,1.6667,
1973,5,15.5581,1.9484,1.0032,0.0,
1973,6,17.4333,3.91,1.3167,0.0,
1973,7,21.6097,5.9161,0.6645,0.0,
1973,8,20.2742,4.9226,0.5645,0.0,
1973,9,15.57,3.0967,1.6067,0.0,
1973,10,7.8968,-0.5032,1.0241,0.2581,
1973,11,-6.3833,-14.02,2.1964,21.9643,
1973,12,-4.1645,-12.5903,1.3387,13.3871,
1974,1,-11.2677,-22.3903,3.4613,34.6129,
1974,2,0.4036,-12.2464,1.1417,11.4167,
1974,3,3.1484,-9.4,1.7484,16.6452,
1974,4,10.2,-2.0167,0.9633,1.0,
1974,5,13.5677,0.8581,0.5387,0.0,
1974,6,18.5567,3.89,0.3167,0.0,
1974,7,19.4806,5.8161,1.3194,0.0,
1974,8,23.5839,7.4097,0.3,0.0,
1974,9,18.9733,4.5633,0.99,0.0,
1974,10,10.1226,0.9,1.2645,0.0,
1974,11,0.2933,-6.7967,1.2367,12.3667,
1974,12,-0.2161,-8.4548,1.2645,12.0,
1975,1,-6.771,-17.2,0.9226,9.2258,
1975,2,-7.5786,-19.9107,0.1,1.0,
1975,3,1.929,-10.1355,0.6677,6.0968,
1975,4,8.8867,-4.7433,0.1867,1.8667,
1975,5,15.6742,0.8903,0.8355,0.1613,
1975,6,17.71,5.1867,1.9867,0.0,
1975,7,23.5645,9.0484,1.4258,0.0,
1975,8,17.9323,6.8516,2.9194,0.0,
1975,9,16.99,2.6433,0.6933,0.0,
1975,10,8.2226,0.2516,1.7968,1.6452,
1975,11,-0.74,-7.76,2.7667,23.0,
1975,12,-4.5548,-14.6161,2.5226,25.2258,
1976,1,-4.9742,-13.9742,2.4548,24.5484,
1976,2,-2.7379,-13.9172,1.4345,14.3448,
1976,3,2.3677,-9.6548,1.1194,10.2903,
1976,4,9.5,-3.2933,0.2633,0.0,
1976,5,13.7258,1.4387,1.4903,0.0,
1976,6,15.9733,4.5533,3.0433,0.0,
1976,7,18.4548,7.3613,2.4355,0.0,
1976,8,18.6258,8.4161,2.8355,0.0,
1976,9,16.5267,4.3467,1.3733,0.0,
1976,10,8.7452,-0.4,1.0452,0.0,
1976,11,2.3933,-3.81,0.74,3.8,
1976,12,-1.3806,-8.2226,2.0484,15.5484,
1977,1,-4.7387,-12.4387,1.8032,16.5484,
1977,2,2.5821,-7.3393,0.7464,1.9286,
1977,3,3.8,-6.5806,1.2516,11.1935,
1977,4,11.6733,-1.5967,0.4767,1.6333,
1977,5,14.7194,1.4194,0.7258,0.0,
1977,6,18.8333,4.7167,0.67,0.0,
1977,7,19.9129,6.8387,2.3452,0.0,
1977,8,23.1419,7.9677,1.1,0.0,
1977,9,13.9233,3.3367,2.7333,0.0,
1977,10,8.9355,-0.5968,0.9645,0.0,
1977,11,-0.6533,-9.3933,1.23,10.7667,
1977,12,-13.1484,-20.8935,1.671,16.7097,
1978,1,-9.4581,-16.0323,0.8516,8.5161,
1978,2,-1.4429,-12.8964,0.45,4.5,
1978,3,3.3484,-7.3806,0.7032,3.0968,
1978,4,10.3433,-1.2433,0.77,2.7,
1978,5,14.4516,-0.3871,1.2645,0.0,
1978,6,21.85,6.1333,0.9933,0.0,
1978,7,24.4839,8.0161,1.4774,0.0,
1978,8,20.5806,7.4355,2.3742,0.0,
1978,9,14.9655,3.3793,2.1933,0.0,
1978,10,11.0968,0.1935,1.2968,0.0,
1978,11,-2.2,-10.3,2.6067,19.4,
1978,12,-7.2258,-17.5833,2.0581,20.5806,
1979,1,-14.5645,-25.5645,1.8935,18.9355,
1979,2,-8.6071,-19.9821,1.825,18.25,
1979,3,5.7097,-6.129,0.5548,2.2581,
1979,4,9.4833,-2.7833,0.7267,4.4667,
1979,5,13.871,2.2258,1.4645,3.4839,
1979,6,18.5833,3.95,1.0133,0.0,
1979,7,22.7419,7.8226,1.2968,0.0,
1979,8,24.4516,7.1774,0.3806,0.0,
1979,9,18.3667,4.3333,1.86,0.0,
1979,10,10.9677,0.7258,1.0129,0.129,
1979,11,0.65,-7.7167,0.1933,1.5333,
1979,12,-2.5968,-13.1774,1.8903,18.5161,
1980,1,-10.4355,-22.5806,1.2258,11.7419,
1980,2,-2.0345,-13.3621,1.0897,6.069,
1980,3,2.4032,-9.5161,0.9677,7.2903,
1980,4,12.3,-2.4333,0.1867,0.3333,
1980,5,16.7903,2.7903,1.1419,0.0,
1980,6,20.3167,6.2333,1.6067,0.0,
1980,7,20.4516,7.8387,1.2516,0.0,
1980,8,19.629,6.1935,2.4871,0.0,0.0
1980,9,15.5,4.1333,2.0667,0.0,
1980,10,10.6129,0.5484,0.5452,1.2903,0.0
1980,11,3.8833,-3.6333,1.0933,2.9333,16.0
1980,12,-5.3065,-13.371,2.5355,19.2903,98.0645
1981,1,-0.5645,-7.5645,0.3419,2.4516,137.0968
1981,2,-0.75,-9.1607,0.7357,5.0714,52.3529
1981,3,6.5484,-4.5968,0.3484,0.129,
1981,4,8.25,-2.7167,1.69,6.2,
1981,5,16.7581,3.0968,1.3548,0.0,0.0
1981,6,17.0167,3.1667,1.7967,0.0,0.0
1981,7,23.8226,8.0,0.3194,0.0,0.0
1981,8,25.4355,7.2419,0.3452,0.0,0.0
1981,9,17.2167,3.9167,1.66,0.0,0.0
1981,10,10.1452,-0.2581,1.1548,0.5161,0.0
1981,11,2.7167,-3.3167,1.7,4.3333,
1981,12,-5.7581,-13.4032,1.2968,12.3226,
1982,1,-13.1774,-22.6774,4.0,40.0,573.3333
1982,2,-6.0893,-16.6607,2.5,24.7143,806.6667
1982,3,2.5161,-11.129,0.4258,4.0645,733.3333
1982,4,6.7667,-6.85,0.5133,2.8,545.0
1982,5,14.9355,1.3548,0.6903,0.0,0.0
1982,6,24.2667,7.25,0.9333,0.0,0.0
1982,7,22.2581,9.4032,2.9903,0.0,0.0
1982,8,19.7742,6.9032,1.3387,0.0,0.0
1982,9,17.5667,4.9167,2.07,0.0,0.0
1982,10,9.5323,0.1935,1.4032,0.129,0.0
1982,11,-2.1,-9.25,1.25,10.4667,
1982,12,-5.371,-12.6452,1.0065,10.0645,321.9355
1983,1,-3.629,-12.629,1.1484,11.4839,396.4516
1983,2,0.4464,-8.1429,0.7,6.3571,448.2143
1983,3,4.2097,-9.4355,0.2387,2.2581,331.2903
1983,4,12.3667,-2.7,0.2533,0.0,25.3333
1983,5,18.8226,3.3871,1.6452,0.0,0.0
1983,6,16.9333,6.95,4.0567,0.0,0.0
1983,7,19.371,8.3065,4.5613,0.0,0.0
1983,8,20.8548,6.0968,0.8129,0.0,0.0
1983,9,14.3833,2.1,1.7296,0.0,0.0
1983,10,9.5484,-1.4677,0.629,1.0323,0.0
1983,11,2.7167,-3.525,1.234,6.2437,23.587
1983,12,-11.7358,-21.1452,1.3242,13.2419,173.0645
1984,1,-1.4597,-9.2339,2.0016,15.4116,342.6277
1984,2,4.3598,-5.3755,0.3831,3.0345,244.1118
1984,3,7.2331,-5.0084,0.5626,2.8968,126.25
1984,4,11.4819,-2.6753,0.5767,0.5,0.0
1984,5,13.8226,0.2097,1.8469,0.0,0.0
1984,6,18.3667,4.8673,1.9419,0.0,0.0
1984,7,23.0158,5.7358,1.0319,0.0,0.0
1984,8,21.2976,6.3132,1.7297,0.0,0.0
1984,9,13.9417,1.125,2.4167,0.0,0.0
1984,10,6.25,-3.1048,2.4229,4.5968,7.4
1984,11,-1.0667,-8.446,1.5497,14.8915,220.3205
1984,12,-9.8968,-20.7823,2.4383,24.3828,390.9259
1985,1,-2.7821,-9.5959,0.9415,4.2262,507.4074
1985,2,-1.6548,-13.3426,1.1545,7.0863,547.1053
1985,3,4.9061,-6.9113,0.8629,8.5,460.0833
1985,4,9.35,-3.9333,0.3433,0.2667,3.7931
1985,5,17.4032,1.4839,0.8613,0.0,0.0
1985,6,18.6167,3.7333,1.14,0.0,0.0
1985,7,24.9032,6.2258,0.3968,0.0,0.0
1985,8,21.3387,6.5161,0.94,0.0,0.0
1985,9,14.8667,2.0333,1.7867,0.0,0.0
1985,10,7.3226,-1.5484,2.1933,4.5333,0.3226
1985,11,-9.7667,-18.8667,1.0133,10.1333,116.0
1985,12,-6.0968,-14.0484,0.3161,3.0323,140.0
1986,1,-1.1452,-8.6774,1.3138,12.2759,288.3871
1986,2,-5.9821,-17.6071,1.2071,9.8571,379.6429
1986,3,5.9032,-6.0806,1.0097,8.0,329.3548
1986,4,8.45,-3.25,0.7933,0.0,15.0
1986,5,14.4032,0.9355,1.0161,0.6774,0.0
1986,6,19.9417,5.0121,2.798,0.0,0.0
1986,7,20.3629,8.1855,2.321,0.0,0.0
1986,8,23.6452,6.379,0.9952,0.0,0.0
1986,9,14.669,2.4324,2.6383,0.0,0.0
1986,10,12.5081,0.8387,1.379,0.3226,0.0
1986,11,0.0083,-8.0917,3.3883,30.4143,174.6154
1986,12,-4.9498,-13.7612,0.7355,7.3548,309.3548
1987,1,-2.5484,-11.0323,0.5517,5.5172,361.9355
1987,2,3.1696,-5.6786,0.8056,3.7963,215.25
1987,3,5.5,-5.2177,1.2353,5.9839,181.2903
1987,4,12.0833,-1.0833,1.1363,1.0345,17.5
1987,5,16.4194,1.3306,1.229,0.1613,0.0
1987,6,21.4917,5.4333,1.1683,0.0,0.0
1987,7,23.6989,7.7016,2.1436,0.0,0.0
1987,8,20.5403,5.3898,1.4048,0.0,0.0
1987,9,20.4917,3.4333,0.3672,0.0,0.0
1987,10,12.8087,-2.2177,0.6581,0.0,0.0
1987,11,4.4417,-3.0917,1.4043,5.137,15.3
1987,12,-2.5219,-11.0455,0.5903,5.4839,95.4704
1988,1,-5.5323,-15.75,0.7376,7.3763,181.2097
1988,2,0.3879,-11.4828,1.3224,12.7586,344.4828
1988,3,5.9919,-5.1694,0.4935,2.629,137.5968
1988,4,12.5172,-2.0023,0.4909,0.8753,19.5
1988,5,16.0968,1.621,1.8026,0.0,0.0
1988,6,18.9417,4.7333,1.465,0.0,0.0
1988,7,22.1691,6.2737,1.2154,0.0,0.0
1988,8,22.1129,6.121,1.7242,0.0,0.0
1988,9,16.8423,1.2375,1.1805,0.0,0.0
1988,10,13.5366,-0.3579,1.0395,0.1613,0.0
1988,11,3.3917,-3.725,1.1138,4.5609,16.8606
1988,12,-3.1129,-11.0806,1.4976,14.7505,127.9516
1989,1,-2.9274,-14.8468,1.1612,10.9664,329.0323
1989,2,-5.9911,-20.4286,0.3595,3.1488,320.8929
1989,3,2.9597,-10.5161,0.8027,7.7688,302.2581
1989,4,12.85,-2.9,0.56,4.1667,53.25
1989,5,16.6532,1.7419,1.2097,0.0,0.0
1989,6,21.4422,6.1333,1.2083,0.0,0.0
1989,7,22.9435,7.0081,2.729,0.0,0.0
1989,8,21.9597,7.8065,3.2903,0.0,0.0
1989,9,19.2417,3.1135,0.4164,0.0,0.0
1989,10,10.7161,0.4005,1.2821,0.1613,0.0
1989,11,2.7278,-4.6889,1.5038,7.2175,30.3333
1989,12,-0.5215,-6.8656,2.4877,21.6581,176.1216
