Year,TMAX,TMIN,PRCP,SNOW,SNWD
1969,2.1627,-4.178,1.3459,6.2787,
1970,8.6134,-3.4644,1.1132,4.7452,
1971,8.2627,-4.011,1.6471,9.463,
1972,7.5508,-4.0842,1.606,6.7705,
1973,7.8307,-4.006,1.0122,4.7383,
1974,8.9397,-3.1145,1.2172,7.3019,
1975,7.6962,-4.0271,1.4126,5.7178,
1976,8.1281,-2.229,1.6954,5.7158,
1977,8.2655,-2.8668,1.3148,4.9425,
1978,8.4313,-3.3215,1.4255,4.8959,
1979,8.3548,-4.0014,1.1732,5.5726,
1980,8.6872,-3.0861,1.3525,4.1038,45.8824
1981,10.1452,-1.2521,1.0575,2.5644,22.2511
1982,7.6411,-4.0301,1.5904,7.5945,77.0354
1983,2.5086,-7.3678,1.3691,6.3284,114.1989
1984,8.9415,-2.9478,1.5917,5.4181,92.0873
1985,4.6798,-6.6102,1.0135,4.7321,360.7959
1986,11.5213,-0.5903,2.0445,5.4806,61.4404
1987,13.6511,0.1578,1.1464,1.7659,37.5622
1988,10.2545,-2.4695,1.173,3.5686,69.2955
1989,7.0721,-3.674,1.6166,7.7359,104.3765
1990,10.1857,-2.6458,1.5647,6.6907,134.2145
1991,10.3158,-1.8284,1.3399,4.1158,93.6022
1992,10.7864,-0.9373,1.1841,4.5583,72.8928
1993,9.5875,-2.2295,1.3236,2.7213,93.1013
1994,10.9035,-1.1532,1.4294,5.945,108.0129
1995,10.3318,-1.6833,1.5015,4.7322,86.3953
1996,7.9367,-4.0227,1.4344,5.005,137.4771
1997,10.8993,-0.5044,1.4206,3.53,86.0288
1998,12.1271,-0.2998,1.2061,3.317,41.1716
1999,10.8272,-0.8549,1.4167,4.5173,87.3015
2000,9.3186,-2.321,1.2764,3.352,57.3164
2001,10.2055,-1.8582,1.1643,3.2581,59.8672
2002,9.8578,-2.0159,1.1265,3.9375,77.1216
2003,10.7059,-1.436,1.1467,4.1525,46.8085
2004,10.9793,-0.7363,1.5584,4.551,63.3675
2005,10.9326,-1.0312,1.462,2.5386,32.4469
2006,12.1947,-1.3263,1.1242,4.655,49.4683
2007,10.8129,-1.5539,1.3886,4.4607,68.8603
2008,10.2596,-2.2191,1.2187,5.0205,78.756
2009,10.8519,-1.7456,1.1525,4.3217,84.7729
2010,12.3498,0.3832,0.8549,1.955,24.1107
2011,12.1615,0.0106,1.4847,3.4868,77.8612
2012,12.1248,-0.2991,1.1483,4.3524,72.1058
2013,12.6947,0.1717,1.532,4.5111,108.8064
2014,9.8124,-1.6526,1.23,3.7476,187.3001
2015,12.6128,0.071,1.3667,5.0964,80.3039
2016,11.8223,0.634,1.2331,3.736,95.4179
2017,11.3134,-0.5387,0.923,5.3501,114.1408
2018,11.0449,-0.8469,1.2268,5.6438,176.9444
2019,13.0846,1.417,1.2411,1.3308,19.3846
2020,11.6446,-0.7585,1.9692,7.2,151.7901
