Year,TMAX,TMIN,PRCP,SNOW,SNWD
1896,16.9074,4.2226,1.6968,0.0,0.0
1897,25.1217,14.087,2.1626,0.2099,0.0
1898,15.1737,4.8658,1.9556,0.5033,0.0
1900,23.6298,13.4256,4.0777,0.1839,0.157
1901,24.5634,13.1614,1.5115,0.0,0.0
1902,24.5235,12.4278,2.3744,0.0041,0.0
1903,24.3763,11.2584,2.2689,0.0,0.0
1904,24.7534,12.0386,1.899,0.0,0.0
1905,24.1431,11.8007,2.4821,0.0,0.0
1906,27.1165,13.8989,2.2336,0.0,0.0
1907,26.8361,13.4841,2.6341,0.0,0.0
1908,26.8499,12.8925,1.3545,0.0,0.0
1909,26.9836,12.5179,1.4087,0.0274,0.0
1910,27.048,12.3022,1.4574,0.1041,0.0
1911,26.555,12.8401,1.8796,0.0,0.0
1912,25.6248,11.8007,1.9305,0.0,0.0
1913,24.7884,12.2575,2.8988,0.0,0.0
1914,24.4866,12.2936,2.613,0.0,0.0
1915,24.294,11.5103,2.0326,0.1456,0.0
1916,26.4548,11.2623,1.7625,0.0,0.0
1917,26.9701,9.9865,0.8679,0.0228,0.0
1918,27.1959,12.2339,2.265,0.2526,0.0
1919,25.8668,13.327,4.2001,0.0,0.0
1920,24.9861,11.8052,2.7358,0.0,0.0
1921,26.6749,14.0559,2.2498,0.0,0.0
1922,26.0107,12.6384,2.0127,0.0,0.0
1923,25.6551,13.0962,2.4518,0.1479,0.0
1924,25.2352,11.5978,1.6134,0.3818,0.0
1925,27.474,11.1949,1.3194,0.0,0.0
1926,,,1.8969,2.2648,1.435
1927,29.2225,15.951,2.0149,0.0364,0.0455
1928,26.9547,13.2705,1.8688,0.0,0.0
1929,,,3.1047,0.0,0.0
1930,,,1.8044,0.0,0.0
1931,,,2.6146,0.0,0.0
1932,,,2.4477,0.0411,0.0
1933,,,2.2044,0.0,0.0
1934,,,2.9184,0.0,0.0
1935,26.6205,14.65,2.8799,0.0,0.0
1936,27.2861,12.6085,2.6263,0.0164,0.0
1937,29.0499,14.8724,1.997,0.116,0.0466
1938,28.2591,14.4657,2.41,0.0,0.0
1939,28.7665,14.2054,1.7857,0.0091,0.0
1940,27.0224,13.3855,2.689,0.3702,0.1908
1941,26.2441,14.4775,2.6398,0.0,0.0
1942,27.5898,14.2053,2.4537,0.0022,0.0
1943,29.0057,14.7794,1.7172,0.0,0.0
1944,27.1454,14.4051,2.5289,0.2138,0.3128
1945,27.519,14.8442,2.2822,0.0,0.0
1946,28.1073,16.3712,2.9336,0.2161,0.2095
1947,27.265,13.6889,2.079,0.1299,0.111
1948,28.1821,14.0985,1.9971,0.0,0.0
1949,28.4209,15.6466,2.6314,0.3721,0.5633
1950,27.9298,14.6703,1.8617,0.0142,0.0285
1951,27.2842,13.792,2.0246,0.1087,0.4729
1952,27.3594,13.6782,2.1563,0.0071,0.0
1953,27.2322,12.8192,2.2721,0.0,0.028
1954,28.5163,14.3065,1.2506,0.0073,0.0
1955,27.0566,13.956,2.2193,0.0284,0.0
1956,28.108,13.7256,1.5095,0.0486,0.0274
1957,26.0183,14.0639,3.4361,0.0696,0.0
1958,25.427,13.3603,2.4942,0.1107,0.0559
1959,26.1999,13.5969,2.6172,0.0,0.0
1960,23.8155,11.6038,2.8055,0.0,0.0813
1961,25.4688,12.6757,2.5676,0.1452,0.0808
1962,27.0934,13.4042,2.0499,0.0639,0.0465
1963,24.7846,10.6603,1.382,0.4098,0.0792
1964,26.7618,13.1218,2.2856,0.1141,0.2508
1965,26.4823,13.2737,2.5791,0.1473,0.0522
1966,25.3406,11.464,2.2182,0.3152,0.105
1967,26.5808,12.0529,2.2223,0.0288,0.0
1968,24.7559,11.1409,2.7033,0.1428,0.0346
1969,25.5093,11.6034,2.4582,0.0861,0.0
1970,25.2834,11.2737,1.9658,0.0,0.0
1971,24.1606,9.5111,1.9747,0.0086,0.0
1972,26.5864,12.5748,2.4081,0.0051,0.0098
1973,26.0273,12.7466,3.1599,0.1958,0.2592
1974,26.5199,12.7245,2.6404,0.0,0.0
1975,25.3303,11.5168,2.2931,0.0798,0.04
1976,25.0806,11.6282,2.9065,0.0796,0.0593
1977,26.9631,13.0612,1.9121,0.0694,0.0347
1978,26.11,12.5087,1.9214,0.1967,0.1968
1979,25.26,11.9847,2.723,0.0196,0.0689
1980,27.1119,12.7606,2.0202,0.0173,0.0114
1981,26.5622,13.3642,2.7186,0.0,0.0
1982,26.4527,13.1699,2.1261,0.0329,0.1311
1983,24.2518,10.4109,1.817,33.9875,0.6821
1984,27.0165,12.9773,2.0099,0.0,0.0
1985,26.1357,13.0295,2.4197,0.1047,0.1473
1986,25.4088,12.3382,2.536,0.0406,0.0114
1987,26.117,12.6426,2.5386,0.0031,0.0
1988,26.7241,12.0227,1.5625,0.0827,0.1901
1989,25.214,11.6145,2.3333,0.0877,0.1197
1990,26.4158,13.089,2.6208,0.0098,0.0098
1991,25.3603,12.9098,3.2209,0.0051,0.0
1992,25.1737,12.3706,3.0816,0.0899,0.0602
1993,24.9917,11.7461,2.3844,0.011,0.0099
1994,25.686,12.6731,2.7432,0.0078,0.0
1995,25.7172,12.2579,2.3502,0.0551,0.0
1996,26.3464,12.2237,2.2239,0.1102,0.0102
1997,24.6403,12.3177,3.1853,0.092,0.0
1998,26.3134,13.731,2.8384,0.0299,0.0453
1999,27.2207,12.319,1.7044,0.0,0.0
2000,26.4813,11.7925,2.6197,0.0,0.0109
2001,25.5388,13.463,2.6724,0.0,0.0
2002,25.4626,13.1578,2.6863,0.0014,0.0233
2003,25.6961,13.0497,1.8995,0.0,0.0
2004,26.0133,14.066,3.1097,0.2188,0.0
2005,27.0154,13.9191,1.6189,0.0,0.0
2006,27.0921,13.4802,2.0385,0.0,0.0
2007,21.8989,10.1225,3.3193,0.0,0.0
2008,26.8642,13.0581,1.6312,0.1109,0.0
2009,25.5588,13.0132,3.1052,0.0,0.0
