TMAX,TMIN,PRCP,SNOW,SNWD,DATE,STATION
  311,  278,    0,    0,    0,1968-12-01,AQC00914822
  322,  256,   20,    0,    0,1968-12-02,AQC00914822
  328,  256,   25,    0,    0,1968-12-03,AQC00914822
  328,  250,   36,    0,    0,1968-12-04,AQC00914822
  322,  239,   99,    0,    0,1968-12-05,AQC00914822
  317,  244,   25,    0,    0,1968-12-06,AQC00914822
  311,  244,  284,    0,    0,1968-12-07,AQC00914822
  311,  244,  259,    0,    0,1968-12-08,AQC00914822
  317,  244,   97,    0,    0,1968-12-09,AQC00914822
  317,  256,   23,    0,    0,1968-12-10,AQC00914822
  322,  244,   13,    0,    0,1968-12-11,AQC00914822
  322,  256,    0,    0,    0,1968-12-12,AQC00914822
  322,  250,  191,    0,    0,1968-12-13,AQC00914822
  322,  244,   51,    0,    0,1968-12-14,AQC00914822
  328,  244,    0,    0,    0,1968-12-15,AQC00914822
  328,  250,    0,    0,    0,1968-12-16,AQC00914822
  317,  256,    0,    0,    0,1968-12-17,AQC00914822
  317,  239,    0,    0,    0,1968-12-18,AQC00914822
  311,  256,   15,    0,    0,1968-12-19,AQC00914822
  306,  250,    0,    0,    0,1968-12-20,AQC00914822
  317,  239,,    0,    0,1968-12-21,AQC00914822
  317,  244,    0,    0,    0,1968-12-22,AQC00914822
  317,  239,,    0,    0,1968-12-23,AQC00914822
  322,  256,   25,    0,    0,1968-12-24,AQC00914822
  317,  250,    0,    0,    0,1968-12-25,AQC00914822
  317,  233,   30,    0,    0,1968-12-26,AQC00914822
  322,  244,,    0,    0,1968-12-27,AQC00914822
  322,  256,   25,    0,    0,1968-12-28,AQC00914822
  322,  244,  142,    0,    0,1968-12-29,AQC00914822
  311,  239,    0,    0,    0,1968-12-30,AQC00914822
  306,  250,,    0,    0,1968-12-31,AQC00914822
  322,  244,    0,    0,    0,1969-01-01,AQC00914822
  322,  250,   13,    0,    0,1969-01-02,AQC00914822
  322,  250,   25,    0,    0,1969-01-03,AQC00914822
  317,  244,   71,    0,    0,1969-01-04,AQC00914822
  322,  250,   30,    0,    0,1969-01-05,AQC00914822
  322,  244,    0,    0,    0,1969-01-06,AQC00914822
  322,  256,    0,    0,    0,1969-01-07,AQC00914822
  322,  250,    8,    0,    0,1969-01-08,AQC00914822
