TMAX,TMIN,PRCP,SNOW,SNWD,DATE,STATION
,,    0,    0,    0,1991-04-01,CA00109A4NG
,,    0,    0,    0,1991-04-02,CA00109A4NG
,,    0,    0,    0,1991-04-03,CA00109A4NG
,,    0,    0,    0,1991-04-04,CA00109A4NG
,,    0,    0,    0,1991-04-05,CA00109A4NG
,,    0,    0,    0,1991-04-06,CA00109A4NG
,,    0,    0,    0,1991-04-07,CA00109A4NG
,,    0,    0,    0,1991-04-08,CA00109A4NG
,,   14,    0,    0,1991-04-09,CA00109A4NG
,,    0,    0,    0,1991-04-10,CA00109A4NG
,,    0,    0,    0,1991-04-11,CA00109A4NG
,,    0,    0,    0,1991-04-12,CA00109A4NG
,,    0,    0,    0,1991-04-13,CA00109A4NG
,,    0,    0,    0,1991-04-14,CA00109A4NG
,,    0,    0,    0,1991-04-15,CA00109A4NG
,,    0,    0,    0,1991-04-16,CA00109A4NG
,,    0,    0,    0,1991-04-17,CA00109A4NG
,,    0,    0,    0,1991-04-18,CA00109A4NG
,,    0,    0,    0,1991-04-19,CA00109A4NG
,,    0,    0,    0,1991-04-20,CA00109A4NG
,,    0,    0,    0,1991-04-21,CA00109A4NG
,,    0,    0,    0,1991-04-22,CA00109A4NG
,,   30,    0,    0,1991-04-23,CA00109A4NG
,,    2,    0,    0,1991-04-24,CA00109A4NG
,,    0,    0,    0,1991-04-25,CA00109A4NG
,,    0,    0,    0,1991-04-26,CA00109A4NG
,,    0,    0,    0,1991-04-27,CA00109A4NG
,,    0,    0,    0,1991-04-28,CA00109A4NG
,,    0,    0,    0,1991-04-29,CA00109A4NG
,,    0,    0,    0,1991-04-30,CA00109A4NG
,,    0,    0,    0,1991-05-01,CA00109A4NG
,,    0,    0,    0,1991-05-02,CA00109A4NG
,,    0,    0,    0,1991-05-03,CA00109A4NG
,,    0,    0,    0,1991-05-04,CA00109A4NG
,,    6,    0,    0,1991-05-05,CA00109A4NG
,,    6,    0,    0,1991-05-06,CA00109A4NG
,,   80,    0,    0,1991-05-07,CA00109A4NG
,,   12,    0,    0,1991-05-08,CA00109A4NG
,,    0,    0,    0,1991-05-09,CA00109A4NG
,,    0,    0,    0,1991-05-10,CA00109A4NG
,,    0,    0,    0,1991-05-11,CA00109A4NG
,,   18,    0,    0,1991-05-12,CA00109A4NG
,,    2,    0,    0,1991-05-13,CA00109A4NG
,,    0,    0,    0,1991-05-14,CA00109A4NG
,,    0,    0,    0,1991-05-15,CA00109A4NG
,,   16,    0,    0,1991-05-16,CA00109A4NG
,,    2,    0,    0,1991-05-17,CA00109A4NG
,,    0,    0,    0,1991-05-18,CA00109A4NG
,,    0,    0,    0,1991-05-19,CA00109A4NG
,,    0,    0,    0,1991-05-20,CA00109A4NG
,,    0,    0,    0,1991-05-21,CA00109A4NG
,,    0,    0,    0,1991-05-22,CA00109A4NG
,,    8,    0,    0,1991-05-23,CA00109A4NG
,,    6,    0,    0,1991-05-24,CA00109A4NG
,,    0,    0,    0,1991-05-25,CA00109A4NG
,,    0,    0,    0,1991-05-26,CA00109A4NG
,,    0,    0,    0,1991-05-27,CA00109A4NG
,,    0,    0,    0,1991-05-28,CA00109A4NG
,,    0,    0,    0,1991-05-29,CA00109A4NG
,,    6,    0,    0,1991-05-30,CA00109A4NG
,,    0,    0,    0,1991-05-31,CA00109A4NG
,,    0,    0,    0,1991-06-01,CA00109A4NG
,,   88,    0,    0,1991-06-02,CA00109A4NG
,,   34,    0,    0,1991-06-03,CA00109A4NG
,,   40,    0,    0,1991-06-04,CA00109A4NG
,,    0,    0,    0,1991-06-05,CA00109A4NG
,,    0,    0,    0,1991-06-06,CA00109A4NG
,,   46,    0,    0,1991-06-07,CA00109A4NG
,,    6,    0,    0,1991-06-08,CA00109A4NG
,,    4,    0,    0,1991-06-09,CA00109A4NG
,,   26,    0,    0,1991-06-10,CA00109A4NG
,,   22,    0,    0,1991-06-11,CA00109A4NG
,,   14,    0,    0,1991-06-12,CA00109A4NG
,,   62,    0,    0,1991-06-13,CA00109A4NG
,,,    0,    0,1991-06-14,CA00109A4NG
,,,    0,    0,1991-06-15,CA00109A4NG
,,   18,    0,    0,1991-06-16,CA00109A4NG
,,   58,    0,    0,1991-06-17,CA00109A4NG
,,    0,    0,    0,1991-06-18,CA00109A4NG
,,   98,    0,    0,1991-06-19,CA00109A4NG
,,    4,    0,    0,1991-06-20,CA00109A4NG
,,   42,    0,    0,1991-06-21,CA00109A4NG
,,    5,    0,    0,1991-06-22,CA00109A4NG
,,   76,    0,    0,1991-06-23,CA00109A4NG
,,  110,    0,    0,1991-06-24,CA00109A4NG
,,    2,    0,    0,1991-06-25,CA00109A4NG
,,   24,    0,    0,1991-06-26,CA00109A4NG
,,    0,    0,    0,1991-06-27,CA00109A4NG
,,    2,    0,    0,1991-06-28,CA00109A4NG
,,   66,    0,    0,1991-06-29,CA00109A4NG
,,    0,    0,    0,1991-06-30,CA00109A4NG
,,    0,    0,    0,1991-07-01,CA00109A4NG
,,    0,    0,    0,1991-07-02,CA00109A4NG
,,    0,    0,    0,1991-07-03,CA00109A4NG
,,    0,    0,    0,1991-07-04,CA00109A4NG
,,   66,    0,    0,1991-07-05,CA00109A4NG
,,    0,    0,    0,1991-07-06,CA00109A4NG
,,    0,    0,    0,1991-07-07,CA00109A4NG
,,    0,    0,    0,1991-07-08,CA00109A4NG
,,    0,    0,    0,1991-07-09,CA00109A4NG
,,,    0,    0,1991-07-10,CA00109A4NG
,,,    0,    0,1991-07-11,CA00109A4NG
,,    2,    0,    0,1991-07-12,CA00109A4NG
,,   88,    0,    0,1991-07-13,CA00109A4NG
,,   10,    0,    0,1991-07-14,CA00109A4NG
,,   34,    0,    0,1991-07-15,CA00109A4NG
,,   57,    0,    0,1991-07-16,CA00109A4NG
,,    0,    0,    0,1991-07-17,CA00109A4NG
,,    0,    0,    0,1991-07-18,CA00109A4NG
,,    0,    0,    0,1991-07-19,CA00109A4NG
,,   16,    0,    0,1991-07-20,CA00109A4NG
,,    0,    0,    0,1991-07-21,CA00109A4NG
,,    0,    0,    0,1991-07-22,CA00109A4NG
,,    0,    0,    0,1991-07-23,CA00109A4NG
,,   98,    0,    0,1991-07-24,CA00109A4NG
,,   22,    0,    0,1991-07-25,CA00109A4NG
,,   32,    0,    0,1991-07-26,CA00109A4NG
,,    0,    0,    0,1991-07-27,CA00109A4NG
,,   28,    0,    0,1991-07-28,CA00109A4NG
,,   24,    0,    0,1991-07-29,CA00109A4NG
,,    0,    0,    0,1991-07-30,CA00109A4NG
,,    0,    0,    0,1991-07-31,CA00109A4NG
,,    0,    0,    0,1991-08-01,CA00109A4NG
,,    0,    0,    0,1991-08-02,CA00109A4NG
,,    0,    0,    0,1991-08-03,CA00109A4NG
,,    0,    0,    0,1991-08-04,CA00109A4NG
,,    2,    0,    0,1991-08-05,CA00109A4NG
,,    0,    0,    0,1991-08-06,CA00109A4NG
,,    0,    0,    0,1991-08-07,CA00109A4NG
,,    0,    0,    0,1991-08-08,CA00109A4NG
,,   30,    0,    0,1991-08-09,CA00109A4NG
,,   28,    0,    0,1991-08-10,CA00109A4NG
,,    8,    0,    0,1991-08-11,CA00109A4NG
,,  110,    0,    0,1991-08-12,CA00109A4NG
,,   64,    0,    0,1991-08-13,CA00109A4NG
,,    0,    0,    0,1991-08-14,CA00109A4NG
,,    0,    0,    0,1991-08-15,CA00109A4NG
,,    0,    0,    0,1991-08-16,CA00109A4NG
,,    0,    0,    0,1991-08-17,CA00109A4NG
,,    0,    0,    0,1991-08-18,CA00109A4NG
,,    0,    0,    0,1991-08-19,CA00109A4NG
,,    0,    0,    0,1991-08-20,CA00109A4NG
,,    0,    0,    0,1991-08-21,CA00109A4NG
,,    0,    0,    0,1991-08-22,CA00109A4NG
,,   14,    0,    0,1991-08-23,CA00109A4NG
,,   80,    0,    0,1991-08-24,CA00109A4NG
,,    8,    0,    0,1991-08-25,CA00109A4NG
,,    0,    0,    0,1991-08-26,CA00109A4NG
,,   12,    0,    0,1991-08-27,CA00109A4NG
,,    0,    0,    0,1991-08-28,CA00109A4NG
,,    4,    0,    0,1991-08-29,CA00109A4NG
,,    0,    0,    0,1991-08-30,CA00109A4NG
,,  176,    0,    0,1991-08-31,CA00109A4NG
,,   42,    0,    0,1991-09-01,CA00109A4NG
,,    0,    0,    0,1991-09-02,CA00109A4NG
,,    0,    0,    0,1991-09-03,CA00109A4NG
,,    0,    0,    0,1991-09-04,CA00109A4NG
,,    0,    0,    0,1991-09-05,CA00109A4NG
,,  104,    0,    0,1991-09-06,CA00109A4NG
,,    0,    0,    0,1991-09-07,CA00109A4NG
,,    0,    0,    0,1991-09-08,CA00109A4NG
