TMAX,TMIN,PRCP,SNOW,SNWD,DATE,STATION
,,,    0,,1973-09-01,CA00109QR57
,,,    0,,1973-09-02,CA00109QR57
,,,    0,,1973-09-03,CA00109QR57
,,,    0,,1973-09-04,CA00109QR57
,,,    0,,1973-09-05,CA00109QR57
,,,    0,,1973-09-06,CA00109QR57
,,,    0,,1973-09-07,CA00109QR57
,,,    0,,1973-09-08,CA00109QR57
,,,    0,,1973-09-09,CA00109QR57
,,,    0,,1973-09-10,CA00109QR57
,,,    0,,1973-09-11,CA00109QR57
,,,    0,,1973-09-12,CA00109QR57
  200,   33,    0,    0,,1973-09-13,CA00109QR57
  200,   22,    0,    0,,1973-09-14,CA00109QR57
  239,  -28,    0,    0,,1973-09-15,CA00109QR57
  222,  -11,    0,    0,,1973-09-16,CA00109QR57
  183,    6,    0,    0,,1973-09-17,CA00109QR57
  156,   28,   18,    0,,1973-09-18,CA00109QR57
  183,   67,    5,    0,,1973-09-19,CA00109QR57
  194,   83,   10,    0,,1973-09-20,CA00109QR57
  133,   22,    0,    0,,1973-09-21,CA00109QR57
  189,   33,    0,    0,,1973-09-22,CA00109QR57
  172,   39,   23,    0,,1973-09-23,CA00109QR57
  150,    6,   33,    0,,1973-09-24,CA00109QR57
  178,   11,    0,    0,,1973-09-25,CA00109QR57
  211,   61,    0,    0,,1973-09-26,CA00109QR57
  244,  111,    0,    0,,1973-09-27,CA00109QR57
  183,   94,    0,    0,,1973-09-28,CA00109QR57
  111,   11,   28,    0,,1973-09-29,CA00109QR57
  117,   22,    0,    0,,1973-09-30,CA00109QR57
  133,  -33,    0,    0,,1973-10-01,CA00109QR57
  133,  -17,    0,    0,,1973-10-02,CA00109QR57
  111,   -6,    0,    0,,1973-10-03,CA00109QR57
  106,  -11,    0,    0,,1973-10-04,CA00109QR57
  106,    6,   61,    0,,1973-10-05,CA00109QR57
  122,  -22,    0,    0,,1973-10-06,CA00109QR57
  150,  -28,    0,    0,,1973-10-07,CA00109QR57
  139,  -17,    0,    0,,1973-10-08,CA00109QR57
  161,    6,    0,    0,,1973-10-09,CA00109QR57
  161,   33,    3,    0,,1973-10-10,CA00109QR57
  122,  -17,    0,    0,,1973-10-11,CA00109QR57
   94,    0,    5,    0,,1973-10-12,CA00109QR57
  128,  -22,   18,    0,,1973-10-13,CA00109QR57
   94,  -22,    0,    0,,1973-10-14,CA00109QR57
  139,  -28,    0,    0,,1973-10-15,CA00109QR57
  172,  -67,    0,    0,,1973-10-16,CA00109QR57
  178,   -6,    0,    0,,1973-10-17,CA00109QR57
  111,   22,    0,    0,,1973-10-18,CA00109QR57
   78,   39,   53,    0,,1973-10-19,CA00109QR57
  122,   39,    5,    0,,1973-10-20,CA00109QR57
   94,  -17,    0,    0,,1973-10-21,CA00109QR57
   83,  -17,    0,    0,,1973-10-22,CA00109QR57
  128,  -11,    0,    0,,1973-10-23,CA00109QR57
  139,  -11,    0,    0,,1973-10-24,CA00109QR57
   83,  -22,    0,    0,,1973-10-25,CA00109QR57
  133,    0,   28,    0,,1973-10-26,CA00109QR57
  128,   50,   51,    0,,1973-10-27,CA00109QR57
  139,  -17,    0,    0,,1973-10-28,CA00109QR57
