TMAX,TMIN,PRCP,SNOW,SNWD,DATE,STATION
   94,   -6,    0,    0,    0,1896-12-01,USC00413506
  111,  -89,    0,    0,    0,1896-12-02,USC00413506
  133,  -56,    0,    0,    0,1896-12-03,USC00413506
  183,  -22,    0,    0,    0,1896-12-04,USC00413506
  200,   22,    0,    0,    0,1896-12-05,USC00413506
  222,   89,    0,    0,    0,1896-12-06,USC00413506
  233,  144,    0,    0,    0,1896-12-07,USC00413506
  144,   78,    0,    0,    0,1896-12-08,USC00413506
,   44,    0,    0,    0,1896-12-09,USC00413506
  222,   17,    0,    0,    0,1896-12-10,USC00413506
,   44,    0,    0,    0,1896-12-11,USC00413506
,  128,    0,    0,    0,1896-12-12,USC00413506
  250,   67,    0,    0,    0,1896-12-13,USC00413506
,  122,    0,    0,    0,1896-12-14,USC00413506
  189,   44,    0,    0,    0,1896-12-15,USC00413506
  200,   11,    0,    0,    0,1896-12-16,USC00413506
  189,   94,    0,    0,    0,1896-12-17,USC00413506
  111,    0,    0,    0,    0,1896-12-18,USC00413506
   72,  -11,    0,    0,    0,1896-12-19,USC00413506
  133,   44,    0,    0,    0,1896-12-20,USC00413506
  161,  -22,    0,    0,    0,1896-12-21,USC00413506
  239,   22,    0,    0,    0,1896-12-22,USC00413506
  256,   33,    0,    0,    0,1896-12-23,USC00413506
   78,   22,    0,    0,    0,1896-12-24,USC00413506
  111,  -33,    0,    0,    0,1896-12-25,USC00413506
  156,   33,    0,    0,    0,1896-12-26,USC00413506
  200,   67,   28,    0,    0,1896-12-27,USC00413506
  178,  106,   36,    0,    0,1896-12-28,USC00413506
  144,  111,  462,    0,    0,1896-12-29,USC00413506
  167,  139,    0,    0,    0,1896-12-30,USC00413506
  189,   67,    0,    0,    0,1896-12-31,USC00413506
  222,  133,   28,    0,    0,1897-01-01,USC00413506
  144,  189,    0,    0,    0,1897-01-02,USC00413506
   89,   11,    0,    0,    0,1897-01-03,USC00413506
   78,  -33,    0,    0,    0,1897-01-04,USC00413506
  111,  -39,    0,    0,    0,1897-01-05,USC00413506
  111,  -72,    0,    0,    0,1897-01-06,USC00413506
  156,  -28,    0,    0,    0,1897-01-07,USC00413506
  178,   11,    0,    0,    0,1897-01-08,USC00413506
,   33,    0,    0,    0,1897-01-09,USC00413506
