TMAX,TMIN,PRCP,SNOW,SNWD,DATE,STATION
  230,,    0,    0,    0,1986-06-01,CA00109AMEP
  190,   15,    0,    0,    0,1986-06-02,CA00109AMEP
  235,   15,    0,    0,    0,1986-06-03,CA00109AMEP
  260,   20,    0,    0,    0,1986-06-04,CA00109AMEP
  245,   50,   70,    0,    0,1986-06-05,CA00109AMEP
  175,  110,   14,    0,    0,1986-06-06,CA00109AMEP
  180,   85,   72,    0,    0,1986-06-07,CA00109AMEP
  185,   70,    0,    0,    0,1986-06-08,CA00109AMEP
  170,   30,    0,    0,    0,1986-06-09,CA00109AMEP
  155,   80,  267,    0,    0,1986-06-10,CA00109AMEP
  130,   60,   22,    0,    0,1986-06-11,CA00109AMEP
  205,   15,    0,    0,    0,1986-06-12,CA00109AMEP
  245,   10,    0,    0,    0,1986-06-13,CA00109AMEP
  275,   55,  295,    0,    0,1986-06-14,CA00109AMEP
  145,   90,   44,    0,    0,1986-06-15,CA00109AMEP
  200,   50,    2,    0,    0,1986-06-16,CA00109AMEP
  185,   80,    8,    0,    0,1986-06-17,CA00109AMEP
  160,   80,   11,    0,    0,1986-06-18,CA00109AMEP
  185,   65,    0,    0,    0,1986-06-19,CA00109AMEP
  180,   20,   19,    0,    0,1986-06-20,CA00109AMEP
  205,   75,  129,    0,    0,1986-06-21,CA00109AMEP
  180,   75,   96,    0,    0,1986-06-22,CA00109AMEP
  180,   75,    0,    0,    0,1986-06-23,CA00109AMEP
  175,   50,    0,    0,    0,1986-06-24,CA00109AMEP
  195,   10,    0,    0,    0,1986-06-25,CA00109AMEP
  235,   30,    0,    0,    0,1986-06-26,CA00109AMEP
  255,   70,    0,    0,    0,1986-06-27,CA00109AMEP
  285,   60,    0,    0,    0,1986-06-28,CA00109AMEP
  260,   75,    0,    0,    0,1986-06-29,CA00109AMEP
  225,  140,    3,    0,    0,1986-06-30,CA00109AMEP
  175,  160,   91,    0,    0,1986-07-01,CA00109AMEP
  165,   80,  103,    0,    0,1986-07-02,CA00109AMEP
  125,   85,   39,    0,    0,1986-07-03,CA00109AMEP
  130,   60,   28,    0,    0,1986-07-04,CA00109AMEP
  195,   95,   35,    0,    0,1986-07-05,CA00109AMEP
  195,   90,   32,    0,    0,1986-07-06,CA00109AMEP
  220,   75,   13,    0,    0,1986-07-07,CA00109AMEP
  225,   90,   37,    0,    0,1986-07-08,CA00109AMEP
  225,  115,   12,    0,    0,1986-07-09,CA00109AMEP
  195,  115,    9,    0,    0,1986-07-10,CA00109AMEP
  195,  105,   22,    0,    0,1986-07-11,CA00109AMEP
  190,  105,   46,    0,    0,1986-07-12,CA00109AMEP
  180,  115,   26,    0,    0,1986-07-13,CA00109AMEP
  195,   95,   14,    0,    0,1986-07-14,CA00109AMEP
  130,   55,   62,    0,    0,1986-07-15,CA00109AMEP
  195,   75,    2,    0,    0,1986-07-16,CA00109AMEP
  135,   55,   29,    0,    0,1986-07-17,CA00109AMEP
  235,  105,    0,    0,    0,1986-07-18,CA00109AMEP
  265,   60,    0,    0,    0,1986-07-19,CA00109AMEP
  270,   60,    0,    0,    0,1986-07-20,CA00109AMEP
  280,   70,   20,    0,    0,1986-07-21,CA00109AMEP
  240,  105,  102,    0,    0,1986-07-22,CA00109AMEP
  200,  115,   43,    0,    0,1986-07-23,CA00109AMEP
  200,  120,    7,    0,    0,1986-07-24,CA00109AMEP
  175,  105,   43,    0,    0,1986-07-25,CA00109AMEP
  210,   95,    5,    0,    0,1986-07-26,CA00109AMEP
  185,   70,  100,    0,    0,1986-07-27,CA00109AMEP
  160,   80,   29,    0,    0,1986-07-28,CA00109AMEP
  140,   60,   34,    0,    0,1986-07-29,CA00109AMEP
  195,   80,    2,    0,    0,1986-07-30,CA00109AMEP
  245,   40,    0,    0,    0,1986-07-31,CA00109AMEP
  245,   85,   21,    0,    0,1986-08-01,CA00109AMEP
  280,   90,   18,    0,    0,1986-08-02,CA00109AMEP
  215,  115,   19,    0,    0,1986-08-03,CA00109AMEP
  215,  105,   30,    0,    0,1986-08-04,CA00109AMEP
  205,  105,    0,    0,    0,1986-08-05,CA00109AMEP
  255,   60,    0,    0,    0,1986-08-06,CA00109AMEP
  235,   70,    0,    0,    0,1986-08-07,CA00109AMEP
  255,   85,    0,    0,    0,1986-08-08,CA00109AMEP
  275,   65,    0,    0,    0,1986-08-09,CA00109AMEP
  300,   65,    0,    0,    0,1986-08-10,CA00109AMEP
  280,   65,    0,    0,    0,1986-08-11,CA00109AMEP
  235,  100,    0,    0,    0,1986-08-12,CA00109AMEP
  235,  105,    0,    0,    0,1986-08-13,CA00109AMEP
  205,   65,    0,    0,    0,1986-08-14,CA00109AMEP
  185,   -5,    0,    0,    0,1986-08-15,CA00109AMEP
  235,   -5,    0,    0,    0,1986-08-16,CA00109AMEP
  245,   20,    0,    0,    0,1986-08-17,CA00109AMEP
  240,   60,   96,    0,    0,1986-08-18,CA00109AMEP
  190,   55,    3,    0,    0,1986-08-19,CA00109AMEP
  235,    5,    0,    0,    0,1986-08-20,CA00109AMEP
  220,    0,    0,    0,    0,1986-08-21,CA00109AMEP
  260,   -5,    0,    0,    0,1986-08-22,CA00109AMEP
  225,   75,   38,    0,    0,1986-08-23,CA00109AMEP
  170,  100,   60,    0,    0,1986-08-24,CA00109AMEP
  205,   90,    5,    0,    0,1986-08-25,CA00109AMEP
  255,   30,    0,    0,    0,1986-08-26,CA00109AMEP
  290,   25,    0,    0,    0,1986-08-27,CA00109AMEP
  275,   60,  152,    0,    0,1986-08-28,CA00109AMEP
  225,  150,   10,    0,    0,1986-08-29,CA00109AMEP
