TMAX,TMIN,PRCP,SNOW,SNWD,DATE,STATION
  330,  115,    0,    0,    0,1987-07-01,CA00109E7R6
  310,  130,    0,    0,    0,1987-07-02,CA00109E7R6
  175,  170,    7,    0,    0,1987-07-03,CA00109E7R6
  220,  100,  185,    0,    0,1987-07-04,CA00109E7R6
  130,   95,   40,    0,    0,1987-07-05,CA00109E7R6
  200,   95,   30,    0,    0,1987-07-06,CA00109E7R6
  210,  100,    0,    0,    0,1987-07-07,CA00109E7R6
  150,   75,   24,    0,    0,1987-07-08,CA00109E7R6
  190,   60,   54,    0,    0,1987-07-09,CA00109E7R6
  240,   45,    0,    0,    0,1987-07-10,CA00109E7R6
  260,   55,    0,    0,    0,1987-07-11,CA00109E7R6
  265,   85,    0,    0,    0,1987-07-12,CA00109E7R6
  295,   85,    0,    0,    0,1987-07-13,CA00109E7R6
  240,   50,    0,    0,    0,1987-07-14,CA00109E7R6
  180,   70,    0,    0,    0,1987-07-15,CA00109E7R6
  205,    5,    0,    0,    0,1987-07-16,CA00109E7R6
  240,   55,    0,    0,    0,1987-07-17,CA00109E7R6
  235,   45,    0,    0,    0,1987-07-18,CA00109E7R6
  245,,    0,    0,    0,1987-07-19,CA00109E7R6
  235,   50,   24,    0,    0,1987-07-20,CA00109E7R6
  235,   70,    8,    0,    0,1987-07-21,CA00109E7R6
  240,   45,    0,    0,    0,1987-07-22,CA00109E7R6
  275,   45,    0,    0,    0,1987-07-23,CA00109E7R6
  275,   45,  510,    0,    0,1987-07-24,CA00109E7R6
  255,   70,    0,    0,    0,1987-07-25,CA00109E7R6
  275,   90,   20,    0,    0,1987-07-26,CA00109E7R6
  255,   85,    0,    0,    0,1987-07-27,CA00109E7R6
  280,   60,    0,    0,    0,1987-07-28,CA00109E7R6
  275,   80,    0,    0,    0,1987-07-29,CA00109E7R6
  225,   50,   70,    0,    0,1987-07-30,CA00109E7R6
  160,   50,   60,    0,    0,1987-07-31,CA00109E7R6
  130,   70,    0,    0,    0,1987-08-01,CA00109E7R6
  170,   80,    0,    0,    0,1987-08-02,CA00109E7R6
  225,   15,    0,    0,    0,1987-08-03,CA00109E7R6
  185,   95,   38,    0,    0,1987-08-04,CA00109E7R6
  220,   30,    0,    0,    0,1987-08-05,CA00109E7R6
  250,   30,    0,    0,    0,1987-08-06,CA00109E7R6
  270,   45,    0,    0,    0,1987-08-07,CA00109E7R6
  270,   60,    0,    0,    0,1987-08-08,CA00109E7R6
  270,   70,    0,    0,    0,1987-08-09,CA00109E7R6
  195,   75,    0,    0,    0,1987-08-10,CA00109E7R6
  205,   10,    0,    0,    0,1987-08-11,CA00109E7R6
  170,   25,   28,    0,    0,1987-08-12,CA00109E7R6
  145,   95,  100,    0,    0,1987-08-13,CA00109E7R6
  185,   55,    0,    0,    0,1987-08-14,CA00109E7R6
  205,    5,   10,    0,    0,1987-08-15,CA00109E7R6
  160,   65,    0,    0,    0,1987-08-16,CA00109E7R6
  190,   40,    0,    0,    0,1987-08-17,CA00109E7R6
  200,   50,    0,    0,    0,1987-08-18,CA00109E7R6
  175,   35,   30,    0,    0,1987-08-19,CA00109E7R6
  160,   15,   20,    0,    0,1987-08-20,CA00109E7R6
  205,   10,    0,    0,    0,1987-08-21,CA00109E7R6
  230,  -15,    0,    0,    0,1987-08-22,CA00109E7R6
  230,,    0,    0,    0,1987-08-23,CA00109E7R6
  225,   45,    0,    0,    0,1987-08-24,CA00109E7R6
  230,   15,    0,    0,    0,1987-08-25,CA00109E7R6
  240,   20,    0,    0,    0,1987-08-26,CA00109E7R6
  255,   60,    0,    0,    0,1987-08-27,CA00109E7R6
  175,  115,   10,    0,    0,1987-08-28,CA00109E7R6
  215,  -15,    0,    0,    0,1987-08-29,CA00109E7R6
  235,   25,    0,    0,    0,1987-08-30,CA00109E7R6
  295,   25,    0,    0,    0,1987-08-31,CA00109E7R6
  210,   30,    0,    0,    0,1987-09-01,CA00109E7R6
  155,   90,    0,    0,    0,1987-09-02,CA00109E7R6
  190,   -5,    0,    0,    0,1987-09-03,CA00109E7R6
  215,   65,    0,    0,    0,1987-09-04,CA00109E7R6
  250,   70,    0,    0,    0,1987-09-05,CA00109E7R6
  225,   75,    0,    0,    0,1987-09-06,CA00109E7R6
  240,   50,    0,    0,    0,1987-09-07,CA00109E7R6
  250,   10,    0,    0,    0,1987-09-08,CA00109E7R6
  240,   35,    0,    0,    0,1987-09-09,CA00109E7R6
  285,   10,    0,    0,    0,1987-09-10,CA00109E7R6
  295,   20,    0,    0,    0,1987-09-11,CA00109E7R6
  235,  100,    0,    0,    0,1987-09-12,CA00109E7R6
  190,   50,    0,    0,    0,1987-09-13,CA00109E7R6
  195,  105,    0,    0,    0,1987-09-14,CA00109E7R6
  150,    0,    0,    0,    0,1987-09-15,CA00109E7R6
  145,  -20,    0,    0,    0,1987-09-16,CA00109E7R6
  175,   10,    0,    0,    0,1987-09-17,CA00109E7R6
  205,  -25,    0,    0,    0,1987-09-18,CA00109E7R6
  200,   65,    0,    0,    0,1987-09-19,CA00109E7R6
  185,  150,    0,    0,    0,1987-09-20,CA00109E7R6
  295,   55,    0,    0,    0,1987-09-21,CA00109E7R6
  315,  -10,    0,    0,    0,1987-09-22,CA00109E7R6
  270,  -25,    0,    0,    0,1987-09-23,CA00109E7R6
  300,  -25,    0,    0,    0,1987-09-24,CA00109E7R6
  175,    5,    0,    0,    0,1987-09-25,CA00109E7R6
  140,   35,    0,    0,    0,1987-09-26,CA00109E7R6
  175,  -25,    0,    0,    0,1987-09-27,CA00109E7R6
  210,  -15,    0,    0,    0,1987-09-28,CA00109E7R6
  240,  -20,    0,    0,    0,1987-09-29,CA00109E7R6
  260,  -20,    0,    0,    0,1987-09-30,CA00109E7R6
  280,  -25,    0,    0,    0,1987-10-01,CA00109E7R6
  255,   75,    0,    0,    0,1987-10-02,CA00109E7R6
  200,  130,    4,    0,    0,1987-10-03,CA00109E7R6
  130,  -60,    3,    0,    0,1987-10-04,CA00109E7R6
  170,   35,    0,    0,    0,1987-10-05,CA00109E7R6
  195,  -45,    0,    0,    0,1987-10-06,CA00109E7R6
  135,  -10,    0,    0,    0,1987-10-07,CA00109E7R6
  110,  -75,    0,    0,    0,1987-10-08,CA00109E7R6
,  -85,    0,    0,    0,1987-10-09,CA00109E7R6
,  -85,    0,    0,    0,1987-10-10,CA00109E7R6
  225,  -75,    0,    0,    0,1987-10-11,CA00109E7R6
  130,  -50,    0,    0,    0,1987-10-12,CA00109E7R6
  150, -100,    0,    0,    0,1987-10-13,CA00109E7R6
  100,  -10,    0,    0,    0,1987-10-14,CA00109E7R6
  130, -100,    0,    0,    0,1987-10-15,CA00109E7R6
   85,   30,   20,    0,    0,1987-10-16,CA00109E7R6
   55, -105,    0,    0,    0,1987-10-17,CA00109E7R6
  100,  -95,    0,    0,    0,1987-10-18,CA00109E7R6
  120,  -90,    0,    0,    0,1987-10-19,CA00109E7R6
  150,  -90,    0,    0,    0,1987-10-20,CA00109E7R6
  120,  -65,    0,    0,    0,1987-10-21,CA00109E7R6
  140, -100,    0,    0,    0,1987-10-22,CA00109E7R6
   90,  -75,    0,    0,    0,1987-10-23,CA00109E7R6
  130,  -75,   31,    0,    0,1987-10-24,CA00109E7R6
  110,   30,    0,    0,    0,1987-10-25,CA00109E7R6
  100,  -80,    0,    0,    0,1987-10-26,CA00109E7R6
  125,   -5,    0,    0,    0,1987-10-27,CA00109E7R6
  175,   55,    0,    0,    0,1987-10-28,CA00109E7R6
  120,   90,   10,    0,    0,1987-10-29,CA00109E7R6
  120,   45,    0,    0,    0,1987-10-30,CA00109E7R6
  130,   80,    0,    0,    0,1987-10-31,CA00109E7R6
   50,  -20,    0,    0,    0,1987-11-01,CA00109E7R6
   80,  -90,    0,    0,    0,1987-11-02,CA00109E7R6
   65,    0,   66,    0,    0,1987-11-03,CA00109E7R6
   50,    0,    0,    0,    0,1987-11-04,CA00109E7R6
   65,  -10,    0,    0,    0,1987-11-05,CA00109E7R6
  100,  -20,    0,    0,    0,1987-11-06,CA00109E7R6
  105,  -45,    0,    0,    0,1987-11-07,CA00109E7R6
   80,   15,    0,    0,    0,1987-11-08,CA00109E7R6
   85,   25,    0,    0,    0,1987-11-09,CA00109E7R6
  100,   20,    0,    0,    0,1987-11-10,CA00109E7R6
  125,   -5,    0,    0,    0,1987-11-11,CA00109E7R6
   55,  -60,    0,    0,    0,1987-11-12,CA00109E7R6
   75,    5,,,    0,1987-11-13,CA00109E7R6
   50,  -55,    0,    0,,1987-11-14,CA00109E7R6
   20,  -40,    0,    0,,1987-11-15,CA00109E7R6
  -30, -100,    0,    0,    0,1987-11-16,CA00109E7R6
  -10, -165,    2,    2,    0,1987-11-17,CA00109E7R6
   15,  -25,   14,   14,,1987-11-18,CA00109E7R6
   45,  -25,    0,    0,,1987-11-19,CA00109E7R6
  110,   20,,,    0,1987-11-20,CA00109E7R6
   65,    0,,,    0,1987-11-21,CA00109E7R6
   50,   -5,    0,    0,    0,1987-11-22,CA00109E7R6
   40,  -55,    0,    0,    0,1987-11-23,CA00109E7R6
   50,    0,   40,   40,,1987-11-24,CA00109E7R6
   10, -105,    0,    0,   40,1987-11-25,CA00109E7R6
   15,  -20,    0,    0,   40,1987-11-26,CA00109E7R6
   35,  -25,    0,    0,   40,1987-11-27,CA00109E7R6
  -10,  -85,    0,    0,   40,1987-11-28,CA00109E7R6
   35, -150,    0,    0,   40,1987-11-29,CA00109E7R6
   10,  -70,    0,    0,   40,1987-11-30,CA00109E7R6
   50,   -5,    0,    0,   40,1987-12-01,CA00109E7R6
,  -25,    0,    0,,1987-12-02,CA00109E7R6
,,    0,    0,,1987-12-03,CA00109E7R6
,,    0,    0,,1987-12-04,CA00109E7R6
,,    0,    0,,1987-12-05,CA00109E7R6
,,    0,    0,,1987-12-06,CA00109E7R6
,,    0,    0,,1987-12-07,CA00109E7R6
,,    0,    0,,1987-12-08,CA00109E7R6
,,    0,    0,,1987-12-09,CA00109E7R6
,,    0,    0,,1987-12-11,CA00109E7R6
,,    0,    0,,1987-12-12,CA00109E7R6
,,    0,    0,,1987-12-13,CA00109E7R6
,,    0,    0,,1987-12-14,CA00109E7R6
,,    0,    0,,1987-12-15,CA00109E7R6
,,    0,    0,,1987-12-16,CA00109E7R6
,,    0,    0,,1987-12-18,CA00109E7R6
    5,,   10,   10,,1987-12-19,CA00109E7R6
  -20,  -65,   22,   22,   90,1987-12-20,CA00109E7R6
  -20, -205,   20,   20,  100,1987-12-21,CA00109E7R6
  -70, -235,    0,    0,  100,1987-12-22,CA00109E7R6
  -70, -215,    0,    0,  100,1987-12-23,CA00109E7R6
  -30, -200,    0,    0,  100,1987-12-24,CA00109E7R6
  -45, -130,    0,    0,  100,1987-12-25,CA00109E7R6
  -20,  -90,    0,    0,  100,1987-12-26,CA00109E7R6
  -20,  -40,    0,    0,  100,1987-12-27,CA00109E7R6
  -15,  -85,   30,   30,  100,1987-12-28,CA00109E7R6
  -45, -125,   34,   34,,1987-12-29,CA00109E7R6
 -110, -155,    0,    0,  160,1987-12-30,CA00109E7R6
 -120, -190,    0,    0,  160,1987-12-31,CA00109E7R6
  -90, -315,    0,    0,  160,1988-01-01,CA00109E7R6
 -150, -305,    0,    0,  160,1988-01-02,CA00109E7R6
 -160, -250,    0,    0,  160,1988-01-03,CA00109E7R6
 -150, -215,    0,    0,  160,1988-01-04,CA00109E7R6
 -160, -255,    0,    0,  160,1988-01-05,CA00109E7R6
 -120, -235,    0,    0,  160,1988-01-06,CA00109E7R6
 -130, -205,    0,    0,  160,1988-01-07,CA00109E7R6
  -90, -160,    0,    0,  160,1988-01-08,CA00109E7R6
  -30, -200,    0,    0,  160,1988-01-09,CA00109E7R6
    0, -100,    0,    0,  160,1988-01-10,CA00109E7R6
  -30, -175,   40,   40,,1988-01-11,CA00109E7R6
  -30, -170,    0,    0,  200,1988-01-12,CA00109E7R6
   15,  -55,    0,    0,  200,1988-01-13,CA00109E7R6
   45,  -60,    0,    0,  180,1988-01-14,CA00109E7R6
   45,  -45,    0,    0,  170,1988-01-15,CA00109E7R6
   10,  -70,    0,    0,  170,1988-01-16,CA00109E7R6
  -10, -215,    0,    0,  170,1988-01-17,CA00109E7R6
    0,  -75,    0,    0,  170,1988-01-18,CA00109E7R6
    0,  -70,    0,    0,  170,1988-01-19,CA00109E7R6
   40,  -50,    0,    0,  150,1988-01-20,CA00109E7R6
   20, -130,    0,    0,  140,1988-01-21,CA00109E7R6
   55,  -20,    0,    0,  140,1988-01-22,CA00109E7R6
   40, -140,    0,    0,  140,1988-01-23,CA00109E7R6
   40, -150,    0,    0,  140,1988-01-24,CA00109E7R6
   20, -150,    0,    0,  130,1988-01-25,CA00109E7R6
  -10, -140,    0,    0,  130,1988-01-26,CA00109E7R6
   65,  -70,    0,    0,  130,1988-01-27,CA00109E7R6
   80,  -25,    0,    0,  130,1988-01-28,CA00109E7R6
 -110, -160,,,  130,1988-01-29,CA00109E7R6
 -170, -255,    0,    0,  130,1988-01-30,CA00109E7R6
 -185, -345,    0,    0,  130,1988-01-31,CA00109E7R6
 -150, -350,   62,   62,  130,1988-02-01,CA00109E7R6
 -110, -240,  110,  110,  190,1988-02-02,CA00109E7R6
 -140, -215,    0,    0,  300,1988-02-03,CA00109E7R6
  -75, -195,    0,    0,  300,1988-02-04,CA00109E7R6
  -40, -230,   40,   40,  300,1988-02-05,CA00109E7R6
   10,  -60,   40,   40,  340,1988-02-06,CA00109E7R6
  -20,  -60,    0,    0,  380,1988-02-07,CA00109E7R6
  -30, -220,   30,   30,  380,1988-02-08,CA00109E7R6
  -75, -140,    0,    0,  410,1988-02-09,CA00109E7R6
    0, -150,    0,    0,  410,1988-02-10,CA00109E7R6
   45,  -80,    0,    0,  390,1988-02-11,CA00109E7R6
   80,  -25,    0,    0,  360,1988-02-12,CA00109E7R6
   30,   -5,    0,    0,  360,1988-02-13,CA00109E7R6
   55,  -40,    0,    0,  350,1988-02-14,CA00109E7R6
   30,  -65,    0,    0,  350,1988-02-15,CA00109E7R6
   30, -100,   10,   10,  340,1988-02-16,CA00109E7R6
   60,  -15,    0,    0,  330,1988-02-17,CA00109E7R6
   30,  -70,   10,   10,  330,1988-02-18,CA00109E7R6
  110,  -50,    0,    0,  300,1988-02-19,CA00109E7R6
   65, -120,    0,    0,  290,1988-02-20,CA00109E7R6
   50,  -80,    0,    0,  270,1988-02-21,CA00109E7R6
  -15, -140,    0,    0,  270,1988-02-22,CA00109E7R6
   40, -175,    0,    0,  240,1988-02-23,CA00109E7R6
  110, -150,    0,    0,  220,1988-02-24,CA00109E7R6
  100,  -40,    0,    0,  180,1988-02-25,CA00109E7R6
  120,  -30,   10,    0,  160,1988-02-26,CA00109E7R6
