TMAX,TMIN,PRCP,SNOW,SNWD,DATE,STATION
,,    0,    0,    0,1912-09-01,USC00413618
,,    0,    0,    0,1912-09-02,USC00413618
,,    0,    0,    0,1912-09-03,USC00413618
,,    0,    0,    0,1912-09-04,USC00413618
,,    0,    0,    0,1912-09-05,USC00413618
,,    0,    0,    0,1912-09-06,USC00413618
,,    0,    0,    0,1912-09-07,USC00413618
,,    0,    0,    0,1912-09-08,USC00413618
,,    0,    0,    0,1912-09-09,USC00413618
,,    0,    0,    0,1912-09-10,USC00413618
,,    0,    0,    0,1912-09-11,USC00413618
,,    0,    0,    0,1912-09-12,USC00413618
,,    0,    0,    0,1912-09-13,USC00413618
,,    0,    0,    0,1912-09-14,USC00413618
,,    0,    0,    0,1912-09-15,USC00413618
,,   25,    0,    0,1912-09-16,USC00413618
,,    0,    0,    0,1912-09-17,USC00413618
,,    0,    0,    0,1912-09-18,USC00413618
,,    0,    0,    0,1912-09-19,USC00413618
,,    0,    0,    0,1912-09-20,USC00413618
,,    0,    0,    0,1912-09-21,USC00413618
,,    0,    0,    0,1912-09-22,USC00413618
,,    0,    0,    0,1912-09-23,USC00413618
,,    0,    0,    0,1912-09-24,USC00413618
,,  290,    0,    0,1912-09-25,USC00413618
,,    0,    0,    0,1912-09-26,USC00413618
,,    0,    0,    0,1912-09-27,USC00413618
,,    0,    0,    0,1912-09-28,USC00413618
,,    0,    0,    0,1912-09-29,USC00413618
,,  119,    0,    0,1912-09-30,USC00413618
,,    0,    0,    0,1912-10-01,USC00413618
,,    0,    0,    0,1912-10-02,USC00413618
,,    0,    0,    0,1912-10-03,USC00413618
,,    0,    0,    0,1912-10-04,USC00413618
,,    0,    0,    0,1912-10-05,USC00413618
,,    0,    0,    0,1912-10-06,USC00413618
,,    0,    0,    0,1912-10-07,USC00413618
,,    0,    0,    0,1912-10-08,USC00413618
,,    0,    0,    0,1912-10-09,USC00413618
,,    0,    0,    0,1912-10-10,USC00413618
