TMAX,TMIN,PRCP,SNOW,SNWD,DATE,STATION
  239,  206,   15,    0,    0,1972-01-01,VQC00671348
  228,  194,   48,    0,    0,1972-01-02,VQC00671348
  261,  206,    0,    0,    0,1972-01-03,VQC00671348
  250,  200,   23,    0,    0,1972-01-04,VQC00671348
  250,  194,   41,    0,    0,1972-01-05,VQC00671348
  256,  189,    0,    0,    0,1972-01-06,VQC00671348
  261,  206,    0,    0,    0,1972-01-07,VQC00671348
  267,  200,    0,    0,    0,1972-01-08,VQC00671348
  244,  194,   20,    0,    0,1972-01-09,VQC00671348
  250,  200,    0,    0,    0,1972-01-10,VQC00671348
  239,  206,    0,    0,    0,1972-01-11,VQC00671348
  244,  206,   15,    0,    0,1972-01-12,VQC00671348
  256,  194,  132,    0,    0,1972-01-13,VQC00671348
  233,  189,   10,    0,    0,1972-01-14,VQC00671348
  233,  183,   91,    0,    0,1972-01-15,VQC00671348
  256,  206,    0,    0,    0,1972-01-16,VQC00671348
,  206,   30,    0,    0,1972-01-17,VQC00671348
,  200,   41,    0,    0,1972-01-18,VQC00671348
,  194,   15,    0,    0,1972-01-19,VQC00671348
,  194,   18,    0,    0,1972-01-20,VQC00671348
,  200,    0,    0,    0,1972-01-21,VQC00671348
,  194,    0,    0,    0,1972-01-22,VQC00671348
  250,  194,    8,    0,    0,1972-01-23,VQC00671348
  256,  206,    0,    0,    0,1972-01-24,VQC00671348
  244,  194,    5,    0,    0,1972-01-25,VQC00671348
  244,  194,    0,    0,    0,1972-01-26,VQC00671348
  244,  194,    0,    0,    0,1972-01-27,VQC00671348
  239,  189,    0,    0,    0,1972-01-28,VQC00671348
,,,    0,    0,1972-01-29,VQC00671348
,,,    0,    0,1972-01-30,VQC00671348
,,,    0,    0,1972-01-31,VQC00671348
,  194,   23,    0,    0,1972-02-01,VQC00671348
,,,    0,    0,1972-02-02,VQC00671348
,,,    0,    0,1972-02-03,VQC00671348
,,,    0,    0,1972-02-04,VQC00671348
,,,    0,    0,1972-02-05,VQC00671348
  222,  183,   38,    0,    0,1972-02-06,VQC00671348
  239,  194,    5,    0,    0,1972-02-07,VQC00671348
  250,  206,    0,    0,    0,1972-02-08,VQC00671348
  256,  194,    0,    0,    0,1972-02-09,VQC00671348
  256,  194,    8,    0,    0,1972-02-10,VQC00671348
  250,  200,    0,    0,    0,1972-02-11,VQC00671348
  250,  194,   18,    0,    0,1972-02-12,VQC00671348
  244,  189,   15,    0,    0,1972-02-13,VQC00671348
  256,  189,   13,    0,    0,1972-02-14,VQC00671348
  267,  200,    0,    0,    0,1972-02-15,VQC00671348
  256,  194,    0,    0,    0,1972-02-16,VQC00671348
  256,  200,    0,    0,    0,1972-02-17,VQC00671348
  261,  194,    0,    0,    0,1972-02-18,VQC00671348
  250,  200,    0,    0,    0,1972-02-19,VQC00671348
  261,  189,    0,    0,    0,1972-02-20,VQC00671348
  267,  194,    0,    0,    0,1972-02-21,VQC00671348
  250,  183,  117,    0,    0,1972-02-22,VQC00671348
  256,  183,   76,    0,    0,1972-02-23,VQC00671348
  244,  194,   15,    0,    0,1972-02-24,VQC00671348
  250,  194,   18,    0,    0,1972-02-25,VQC00671348
  239,  194,   99,    0,    0,1972-02-26,VQC00671348
  222,  189,  361,    0,    0,1972-02-27,VQC00671348
  250,  200,    0,    0,    0,1972-02-28,VQC00671348
  250,  200,    8,    0,    0,1972-02-29,VQC00671348
  250,  194,   99,    0,    0,1972-03-01,VQC00671348
  222,  189,  594,    0,    0,1972-03-02,VQC00671348
  233,  206,   43,    0,    0,1972-03-03,VQC00671348
  250,  206,    0,    0,    0,1972-03-04,VQC00671348
  250,  200,    5,    0,    0,1972-03-05,VQC00671348
  250,  200,    0,    0,    0,1972-03-06,VQC00671348
  256,  200,    0,    0,    0,1972-03-07,VQC00671348
  250,  194,    0,    0,    0,1972-03-08,VQC00671348
  256,  194,    0,    0,    0,1972-03-09,VQC00671348
  250,  183,    0,    0,    0,1972-03-10,VQC00671348
  256,  189,    0,    0,    0,1972-03-11,VQC00671348
  250,  172,   79,    0,    0,1972-03-12,VQC00671348
  228,  178,   46,    0,    0,1972-03-13,VQC00671348
  228,  183,   25,    0,    0,1972-03-14,VQC00671348
  233,  172,   15,    0,    0,1972-03-15,VQC00671348
  239,  183,    5,    0,    0,1972-03-16,VQC00671348
  250,  189,    0,    0,    0,1972-03-17,VQC00671348
  261,  200,    0,    0,    0,1972-03-18,VQC00671348
  261,  211,   25,    0,    0,1972-03-19,VQC00671348
  261,  206,   30,    0,    0,1972-03-20,VQC00671348
  256,  200,    0,    0,    0,1972-03-21,VQC00671348
  244,  189,   89,    0,    0,1972-03-22,VQC00671348
  244,  183,   23,    0,    0,1972-03-23,VQC00671348
  233,  200,   15,    0,    0,1972-03-24,VQC00671348
  256,  194,    0,    0,    0,1972-03-25,VQC00671348
  261,  206,    0,    0,    0,1972-03-26,VQC00671348
  267,  206,    0,    0,    0,1972-03-27,VQC00671348
  272,  200,   51,    0,    0,1972-03-28,VQC00671348
  267,  206,    0,    0,    0,1972-03-29,VQC00671348
  283,  206,    0,    0,    0,1972-03-30,VQC00671348
  267,  217,    0,    0,    0,1972-03-31,VQC00671348
  272,  222,    0,    0,    0,1972-04-01,VQC00671348
  267,  217,    0,    0,    0,1972-04-02,VQC00671348
  278,  217,    0,    0,    0,1972-04-03,VQC00671348
  261,  206,    0,    0,    0,1972-04-04,VQC00671348
  267,  200,    0,    0,    0,1972-04-05,VQC00671348
  261,  200,    0,    0,    0,1972-04-06,VQC00671348
  261,  206,    0,    0,    0,1972-04-07,VQC00671348
  272,  211,    0,    0,    0,1972-04-08,VQC00671348
  278,  211,    0,    0,    0,1972-04-09,VQC00671348
  278,  211,    5,    0,    0,1972-04-10,VQC00671348
  250,  189,  340,    0,    0,1972-04-11,VQC00671348
  250,  194,   66,    0,    0,1972-04-12,VQC00671348
  250,  206,   13,    0,    0,1972-04-13,VQC00671348
  256,  217,    0,    0,    0,1972-04-14,VQC00671348
  261,  211,    0,    0,    0,1972-04-15,VQC00671348
  256,  206,    0,    0,    0,1972-04-16,VQC00671348
  261,  200,    0,    0,    0,1972-04-17,VQC00671348
  272,  206,    0,    0,    0,1972-04-18,VQC00671348
  272,  200,    5,    0,    0,1972-04-19,VQC00671348
  261,  206,    0,    0,    0,1972-04-20,VQC00671348
,,    0,    0,    0,1972-04-21,VQC00671348
,,    8,    0,    0,1972-04-22,VQC00671348
,,    0,    0,    0,1972-04-23,VQC00671348
  267,  206,    0,    0,    0,1972-04-24,VQC00671348
  267,  194,   43,    0,    0,1972-04-25,VQC00671348
  261,  200,   13,    0,    0,1972-04-26,VQC00671348
  267,  200,   38,    0,    0,1972-04-27,VQC00671348
  256,  211,    8,    0,    0,1972-04-28,VQC00671348
  272,  211,    0,    0,    0,1972-04-29,VQC00671348
  278,  211,    0,    0,    0,1972-04-30,VQC00671348
  261,  211,    8,    0,    0,1972-05-01,VQC00671348
  261,  217,   13,    0,    0,1972-05-02,VQC00671348
  267,  206,    8,    0,    0,1972-05-03,VQC00671348
  267,  211,   10,    0,    0,1972-05-04,VQC00671348
  261,  200,   13,    0,    0,1972-05-05,VQC00671348
  250,  194,   66,    0,    0,1972-05-06,VQC00671348
  267,  206,    0,    0,    0,1972-05-07,VQC00671348
  278,  211,    0,    0,    0,1972-05-08,VQC00671348
  278,  211,    0,    0,    0,1972-05-09,VQC00671348
  272,  211,    0,    0,    0,1972-05-10,VQC00671348
  272,  211,    0,    0,    0,1972-05-11,VQC00671348
  278,  194,    0,    0,    0,1972-05-12,VQC00671348
  267,  200,    0,    0,    0,1972-05-13,VQC00671348
  283,  211,    0,    0,    0,1972-05-14,VQC00671348
  278,  211,   30,    0,    0,1972-05-15,VQC00671348
  239,  200,  142,    0,    0,1972-05-16,VQC00671348
  261,  194,   23,    0,    0,1972-05-17,VQC00671348
  256,  200,    8,    0,    0,1972-05-18,VQC00671348
  272,  211,    0,    0,    0,1972-05-19,VQC00671348
  267,  222,   15,    0,    0,1972-05-20,VQC00671348
  278,  222,    0,    0,    0,1972-05-21,VQC00671348
  272,  222,    0,    0,    0,1972-05-22,VQC00671348
  278,  222,    8,    0,    0,1972-05-23,VQC00671348
  272,  211,   25,    0,    0,1972-05-24,VQC00671348
,,,    0,    0,1972-05-25,VQC00671348
,,,    0,    0,1972-05-26,VQC00671348
