TMAX,TMIN,PRCP,SNOW,SNWD,DATE,STATION
  278,  211,    0,    0,    0,1951-03-01,VQW00011624
  278,  211,    0,    0,    0,1951-03-02,VQW00011624
  267,  211,    0,    0,    0,1951-03-03,VQW00011624
  289,  211,    0,    0,    0,1951-03-04,VQW00011624
  278,  211,    0,    0,    0,1951-03-05,VQW00011624
  272,  206,    8,    0,    0,1951-03-06,VQW00011624
  278,  206,    8,    0,    0,1951-03-07,VQW00011624
  278,  200,    0,    0,    0,1951-03-08,VQW00011624
  278,  183,    0,    0,    0,1951-03-09,VQW00011624
  278,  178,    0,    0,    0,1951-03-10,VQW00011624
  283,  167,    0,    0,    0,1951-03-11,VQW00011624
  278,  172,    0,    0,    0,1951-03-12,VQW00011624
  283,  172,    0,    0,    0,1951-03-13,VQW00011624
  278,  178,    0,    0,    0,1951-03-14,VQW00011624
  294,  206,    0,    0,    0,1951-03-15,VQW00011624
  294,  217,    0,    0,    0,1951-03-16,VQW00011624
  289,  206,    0,    0,    0,1951-03-17,VQW00011624
  289,  211,    0,    0,    0,1951-03-18,VQW00011624
  289,  217,    0,    0,    0,1951-03-19,VQW00011624
  278,  217,    0,    0,    0,1951-03-20,VQW00011624
  278,  217,    0,    0,    0,1951-03-21,VQW00011624
  294,  217,    0,    0,    0,1951-03-22,VQW00011624
  289,  206,    0,    0,    0,1951-03-23,VQW00011624
  283,  211,    0,    0,    0,1951-03-24,VQW00011624
  294,  217,    0,    0,    0,1951-03-25,VQW00011624
  289,  211,   15,    0,    0,1951-03-26,VQW00011624
  278,  206,    0,    0,    0,1951-03-27,VQW00011624
  278,  206,    0,    0,    0,1951-03-28,VQW00011624
  289,  211,   13,    0,    0,1951-03-29,VQW00011624
  283,  217,    0,    0,    0,1951-03-30,VQW00011624
  278,  206,    0,    0,    0,1951-03-31,VQW00011624
  283,  211,    0,    0,    0,1951-04-01,VQW00011624
  294,  206,    0,    0,    0,1951-04-02,VQW00011624
  294,  217,    0,    0,    0,1951-04-03,VQW00011624
  300,  228,    0,    0,    0,1951-04-04,VQW00011624
  294,  222,    0,    0,    0,1951-04-05,VQW00011624
  300,  228,    0,    0,    0,1951-04-06,VQW00011624
  294,  217,    0,    0,    0,1951-04-07,VQW00011624
  300,  228,    0,    0,    0,1951-04-08,VQW00011624
  300,  228,    0,    0,    0,1951-04-09,VQW00011624
  306,  244,    0,    0,    0,1951-04-10,VQW00011624
  306,  239,    0,    0,    0,1951-04-11,VQW00011624
  311,  239,    0,    0,    0,1951-04-12,VQW00011624
  311,  239,    0,    0,    0,1951-04-13,VQW00011624
  311,  239,    0,    0,    0,1951-04-14,VQW00011624
  311,  228,    0,    0,    0,1951-04-15,VQW00011624
  306,  233,    0,    0,    0,1951-04-16,VQW00011624
  311,  228,    0,    0,    0,1951-04-17,VQW00011624
  267,  228,  102,    0,    0,1951-04-18,VQW00011624
  317,  239,    0,    0,    0,1951-04-19,VQW00011624
  311,  233,    0,    0,    0,1951-04-20,VQW00011624
  306,  222,    0,    0,    0,1951-04-21,VQW00011624
  306,  228,    0,    0,    0,1951-04-22,VQW00011624
  317,  233,   13,    0,    0,1951-04-23,VQW00011624
  317,  239,    0,    0,    0,1951-04-24,VQW00011624
  311,  233,   97,    0,    0,1951-04-25,VQW00011624
  289,  217,  142,    0,    0,1951-04-26,VQW00011624
  311,  233,   10,    0,    0,1951-04-27,VQW00011624
  300,  239,    0,    0,    0,1951-04-28,VQW00011624
  294,  239,    0,    0,    0,1951-04-29,VQW00011624
  294,  222,   43,    0,    0,1951-04-30,VQW00011624
  306,  222,    0,    0,    0,1951-05-01,VQW00011624
  294,  233,   18,    0,    0,1951-05-02,VQW00011624
  311,  228,    0,    0,    0,1951-05-03,VQW00011624
  311,  244,    0,    0,    0,1951-05-04,VQW00011624
  311,  244,    0,    0,    0,1951-05-05,VQW00011624
  311,  250,    0,    0,    0,1951-05-06,VQW00011624
  311,  244,    0,    0,    0,1951-05-07,VQW00011624
  317,  244,    0,    0,    0,1951-05-08,VQW00011624
  311,  239,    8,    0,    0,1951-05-09,VQW00011624
  311,  233,   25,    0,    0,1951-05-10,VQW00011624
  300,  233,    8,    0,    0,1951-05-11,VQW00011624
  317,  244,    0,    0,    0,1951-05-12,VQW00011624
  306,  239,   13,    0,    0,1951-05-13,VQW00011624
  311,  233,    0,    0,    0,1951-05-14,VQW00011624
  306,  228,    0,    0,    0,1951-05-15,VQW00011624
  261,  222,  721,    0,    0,1951-05-16,VQW00011624
  306,  233,   46,    0,    0,1951-05-17,VQW00011624
  300,  217,    8,    0,    0,1951-05-18,VQW00011624
  306,  256,    0,    0,    0,1951-05-19,VQW00011624
