TMAX,TMIN,PRCP,SNOW,SNWD,DATE,STATION
  322,  244,   38,    0,    0,1955-04-01,AQC00914873
  317,  222,  165,    0,    0,1955-04-02,AQC00914873
  311,  228,  417,    0,    0,1955-04-03,AQC00914873
  311,  233,  119,    0,    0,1955-04-04,AQC00914873
  300,  217,  272,    0,    0,1955-04-05,AQC00914873
  294,  211,   10,    0,    0,1955-04-06,AQC00914873
  306,  211,   86,    0,    0,1955-04-07,AQC00914873
  311,  222,   13,    0,    0,1955-04-08,AQC00914873
  317,  222,    0,    0,    0,1955-04-09,AQC00914873
  311,  217,   25,    0,    0,1955-04-10,AQC00914873
  311,  222,   71,    0,    0,1955-04-11,AQC00914873
  311,  217,    0,    0,    0,1955-04-12,AQC00914873
  306,  206,   36,    0,    0,1955-04-13,AQC00914873
  322,  211,    0,    0,    0,1955-04-14,AQC00914873
  311,  217,    0,    0,    0,1955-04-15,AQC00914873
  317,  244,   18,    0,    0,1955-04-16,AQC00914873
  278,  228,  653,    0,    0,1955-04-17,AQC00914873
  267,  217,  130,    0,    0,1955-04-18,AQC00914873
  289,  211,  533,    0,    0,1955-04-19,AQC00914873
  300,  211,   41,    0,    0,1955-04-20,AQC00914873
  311,  211,   76,    0,    0,1955-04-21,AQC00914873
  317,  206,    3,    0,    0,1955-04-22,AQC00914873
  311,  217,    0,    0,    0,1955-04-23,AQC00914873
  311,  233,    5,    0,    0,1955-04-24,AQC00914873
  289,  228,  216,    0,    0,1955-04-25,AQC00914873
  294,  228,   41,    0,    0,1955-04-26,AQC00914873
  306,  233,   18,    0,    0,1955-04-27,AQC00914873
  300,  244,    8,    0,    0,1955-04-28,AQC00914873
  306,  244,    0,    0,    0,1955-04-29,AQC00914873
  300,  217,    8,    0,    0,1955-04-30,AQC00914873
  317,  222,   23,    0,    0,1955-05-01,AQC00914873
  311,  228,   36,    0,    0,1955-05-02,AQC00914873
  311,  206,    0,    0,    0,1955-05-03,AQC00914873
  311,  228,    0,    0,    0,1955-05-04,AQC00914873
  311,  233,  127,    0,    0,1955-05-05,AQC00914873
  294,  228,  648,    0,    0,1955-05-06,AQC00914873
  278,  222,  673,    0,    0,1955-05-07,AQC00914873
  250,  211, 1168,    0,    0,1955-05-08,AQC00914873
  278,  211,  241,    0,    0,1955-05-09,AQC00914873
  306,  244,   81,    0,    0,1955-05-10,AQC00914873
  300,  239,  145,    0,    0,1955-05-11,AQC00914873
  300,  233,   76,    0,    0,1955-05-12,AQC00914873
  300,  250,  132,    0,    0,1955-05-13,AQC00914873
  267,  228,   25,    0,    0,1955-05-14,AQC00914873
  294,  217,    0,    0,    0,1955-05-15,AQC00914873
  311,  211,   71,    0,    0,1955-05-16,AQC00914873
  300,  206,  216,    0,    0,1955-05-17,AQC00914873
  311,  206,    0,    0,    0,1955-05-18,AQC00914873
  294,  206,   13,    0,    0,1955-05-19,AQC00914873
  283,  222,  351,    0,    0,1955-05-20,AQC00914873
  294,  228,  460,    0,    0,1955-05-21,AQC00914873
  283,  228,  173,    0,    0,1955-05-22,AQC00914873
  300,  211,  279,    0,    0,1955-05-23,AQC00914873
  311,  206,    0,    0,    0,1955-05-24,AQC00914873
  300,  200,    0,    0,    0,1955-05-25,AQC00914873
  311,  244,    0,    0,    0,1955-05-26,AQC00914873
  311,  233,    0,    0,    0,1955-05-27,AQC00914873
  300,  233,   10,    0,    0,1955-05-28,AQC00914873
  306,  222,   99,    0,    0,1955-05-29,AQC00914873
  311,  239,   18,    0,    0,1955-05-30,AQC00914873
  306,  239,   10,    0,    0,1955-05-31,AQC00914873
  311,  200,    0,    0,    0,1955-06-01,AQC00914873
  311,  206,    0,    0,    0,1955-06-02,AQC00914873
  300,  222,    3,    0,    0,1955-06-03,AQC00914873
  300,  250,    8,    0,    0,1955-06-04,AQC00914873
  300,  250,    0,    0,    0,1955-06-05,AQC00914873
  306,  244,    0,    0,    0,1955-06-06,AQC00914873
