TMAX,TMIN,PRCP,SNOW,SNWD,DATE,STATION
  100,  -35,    8,    0,    0,1983-11-01,CA00109G775
  110,  -10,   16,    0,    0,1983-11-02,CA00109G775
  130,   45,   10,    0,    0,1983-11-03,CA00109G775
   95,  -10,    6,    0,    0,1983-11-04,CA00109G775
   55,  -40,   10,    0,    0,1983-11-05,CA00109G775
   70,    0,    0,    0,    0,1983-11-06,CA00109G775
   35,  -20,    0,    0,    0,1983-11-07,CA00109G775
   30,  -20,   28,   28,    0,1983-11-08,CA00109G775
   55,  -40,    0,    0,    0,1983-11-09,CA00109G775
   85,  -20,,    0,    0,1983-11-10,CA00109G775
  115,  -40,    0,    0,    0,1983-11-11,CA00109G775
   75,   -5,    0,    0,    0,1983-11-12,CA00109G775
   65,  -20,    0,    0,    0,1983-11-13,CA00109G775
   55,  -10,   40,    0,    0,1983-11-14,CA00109G775
   90,   25,    4,    0,    0,1983-11-15,CA00109G775
   70,   35,   24,    0,    0,1983-11-16,CA00109G775
   95,  -15,   18,    0,    0,1983-11-17,CA00109G775
   40,   20,   18,    0,    0,1983-11-18,CA00109G775
    0,  -70,    0,    0,    0,1983-11-19,CA00109G775
   20,  -45,    0,    0,    0,1983-11-20,CA00109G775
  -40,  -95,    0,    0,,1983-11-21,CA00109G775
  -10,  -70,    2,    2,,1983-11-22,CA00109G775
   20,  -40,    0,    0,,1983-11-23,CA00109G775
  -10,  -55,    0,    0,,1983-11-24,CA00109G775
  -10,  -35,,,,1983-11-25,CA00109G775
    5,  -50,   46,   46,   80,1983-11-26,CA00109G775
  -15, -100,    0,    0,  110,1983-11-27,CA00109G775
  -40,  -60,    0,    0,,1983-11-28,CA00109G775
  -45,  -60,    0,    0,   90,1983-11-29,CA00109G775
  -40, -100,    0,    0,,1983-11-30,CA00109G775
  -80, -210,    0,    0,   90,1983-12-01,CA00109G775
  -60, -140,   48,   48,   90,1983-12-02,CA00109G775
  -60, -105,    0,    0,  130,1983-12-03,CA00109G775
  -65,  -80,    2,    2,  120,1983-12-04,CA00109G775
  -65,  -85,   10,   10,  120,1983-12-05,CA00109G775
  -80, -120,    0,    0,  120,1983-12-06,CA00109G775
 -105, -165,    8,    8,  120,1983-12-07,CA00109G775
 -135, -180,   70,   70,  120,1983-12-08,CA00109G775
 -105, -175,   20,   20,  180,1983-12-09,CA00109G775
  -15, -120,    0,    0,  180,1983-12-10,CA00109G775
  -10, -120,    0,    0,  180,1983-12-11,CA00109G775
   -5,  -45,   30,   30,  180,1983-12-12,CA00109G775
   10,  -30,    3,    3,  190,1983-12-13,CA00109G775
  -60, -100,   36,   36,  190,1983-12-14,CA00109G775
  -45,  -95,   30,   30,  210,1983-12-15,CA00109G775
 -195, -280,    0,    0,  220,1983-12-16,CA00109G775
 -205, -340,    0,    0,  220,1983-12-17,CA00109G775
 -205, -295,    0,    0,  220,1983-12-18,CA00109G775
 -220, -285,    0,    0,  200,1983-12-19,CA00109G775
 -270, -340,    0,    0,  200,1983-12-20,CA00109G775
 -230, -350,    0,    0,  200,1983-12-21,CA00109G775
, -340,    0,    0,  200,1983-12-22,CA00109G775
 -225, -330,    0,    0,  200,1983-12-23,CA00109G775
 -250, -360,    0,    0,  200,1983-12-24,CA00109G775
 -130, -330,   28,   28,  200,1983-12-25,CA00109G775
 -130, -200,   30,   30,  230,1983-12-26,CA00109G775
 -155, -290,    0,    0,  240,1983-12-27,CA00109G775
 -160, -280,    0,    0,  240,1983-12-28,CA00109G775
 -110, -295,   40,   40,  240,1983-12-29,CA00109G775
   10, -190,   30,   30,  260,1983-12-30,CA00109G775
   20,  -90,   88,   88,  280,1983-12-31,CA00109G775
   30,    0,,,  350,1984-01-01,CA00109G775
   60,  -45,    0,    0,,1984-01-02,CA00109G775
   55,  -20,,    0,  280,1984-01-03,CA00109G775
   85,  -20,    0,    0,  240,1984-01-04,CA00109G775
   20,  -50,   38,   38,  240,1984-01-05,CA00109G775
    0,  -25,   62,   62,  270,1984-01-06,CA00109G775
  -30,  -50,  138,  138,  330,1984-01-07,CA00109G775
  -30,  -80,    0,    0,  430,1984-01-08,CA00109G775
   20,  -60,,,,1984-01-09,CA00109G775
   20,    0,   10,    0,,1984-01-10,CA00109G775
   30,  -20,   10,    0,  380,1984-01-11,CA00109G775
  -10,  -80,    0,    0,  380,1984-01-12,CA00109G775
  -80,  -90,    0,    0,  380,1984-01-13,CA00109G775
  -85, -105,    0,    0,  360,1984-01-14,CA00109G775
 -110, -185,    0,    0,,1984-01-15,CA00109G775
  -95, -210,    0,    0,  360,1984-01-16,CA00109G775
 -140, -265,    0,    0,  360,1984-01-17,CA00109G775
 -190, -295,    0,    0,,1984-01-18,CA00109G775
 -110, -220,    0,    0,,1984-01-19,CA00109G775
  -70, -155,   40,   40,  340,1984-01-20,CA00109G775
  -15, -100,   53,   53,  390,1984-01-21,CA00109G775
   20,  -45,    0,    0,  420,1984-01-22,CA00109G775
   70,  -50,    0,    0,,1984-01-23,CA00109G775
   60,  -70,    0,    0,  400,1984-01-24,CA00109G775
   60,  -60,   66,   66,  390,1984-01-25,CA00109G775
   45,  -70,   70,   60,  460,1984-01-26,CA00109G775
   55,    0,,    0,  400,1984-01-27,CA00109G775
   55,   10,   80,    0,  380,1984-01-28,CA00109G775
   20, -105,    0,    0,  370,1984-01-29,CA00109G775
   30,  -30,    0,    0,  370,1984-01-30,CA00109G775
   25,  -25,    0,    0,  370,1984-01-31,CA00109G775
   70,  -85,    0,    0,  370,1984-02-01,CA00109G775
   45,  -40,    0,    0,  360,1984-02-02,CA00109G775
   70,  -60,    0,    0,  360,1984-02-03,CA00109G775
   70,  -30,    0,    0,  360,1984-02-04,CA00109G775
   75,  -25,    0,    0,  350,1984-02-05,CA00109G775
   95,    5,    0,    0,  350,1984-02-06,CA00109G775
   50,    5,    0,    0,  340,1984-02-07,CA00109G775
   90,    0,    0,    0,,1984-02-08,CA00109G775
   60,  -10,   10,    0,,1984-02-09,CA00109G775
   60,    0,    0,    0,  280,1984-02-10,CA00109G775
,,,    0,,1984-02-11,CA00109G775
   70,,    0,    0,,1984-02-12,CA00109G775
,,    0,    0,,1984-02-13,CA00109G775
   50,  -50,   30,   30,,1984-02-14,CA00109G775
   45,,    0,    0,,1984-02-15,CA00109G775
   25,  -90,    0,    0,,1984-02-16,CA00109G775
   10,  -85,    0,    0,  300,1984-02-17,CA00109G775
   80,  -20,   10,   10,  300,1984-02-18,CA00109G775
   90,  -10,    0,    0,  280,1984-02-19,CA00109G775
   90,   10,    0,    0,  230,1984-02-20,CA00109G775
   60,  -80,   10,   10,  230,1984-02-21,CA00109G775
