TMAX,TMIN,PRCP,SNOW,SNWD,DATE,STATION
  311,  178,    0,    0,    0,1946-09-01,USC00413565
  306,  222,    0,    0,    0,1946-09-02,USC00413565
  317,  222,    0,    0,    0,1946-09-03,USC00413565
  333,  211,    0,    0,    0,1946-09-04,USC00413565
  333,  217,    0,    0,    0,1946-09-05,USC00413565
  328,  222,    0,    0,    0,1946-09-06,USC00413565
  322,  217,    0,    0,    0,1946-09-07,USC00413565
  317,  172,    0,    0,    0,1946-09-08,USC00413565
  333,  206,    0,    0,    0,1946-09-09,USC00413565
  344,  217,    0,    0,    0,1946-09-10,USC00413565
  344,  228,    0,    0,    0,1946-09-11,USC00413565
  311,  211,    0,    0,    0,1946-09-12,USC00413565
  272,  178,    0,    0,    0,1946-09-13,USC00413565
  272,  167,    0,    0,    0,1946-09-14,USC00413565
  306,  150,    0,    0,    0,1946-09-15,USC00413565
  256,  172,    0,    0,    0,1946-09-16,USC00413565
  261,  161,    0,    0,    0,1946-09-17,USC00413565
  256,  189,    0,    0,    0,1946-09-18,USC00413565
  300,  194,    0,    0,    0,1946-09-19,USC00413565
  306,  194,    3,    0,    0,1946-09-20,USC00413565
  317,  183,    0,    0,    0,1946-09-21,USC00413565
  300,  211,    0,    0,    0,1946-09-22,USC00413565
  217,  167,    0,    0,    0,1946-09-23,USC00413565
  278,  161,    0,    0,    0,1946-09-24,USC00413565
  294,  194,   46,    0,    0,1946-09-25,USC00413565
  267,  189,  157,    0,    0,1946-09-26,USC00413565
  233,  200,   38,    0,    0,1946-09-27,USC00413565
  294,  194,  264,    0,    0,1946-09-28,USC00413565
  261,  189,   20,    0,    0,1946-09-29,USC00413565
  239,  133,    0,    0,    0,1946-09-30,USC00413565
,,    0,    0,    0,1946-10-01,USC00413565
,,    0,    0,    0,1946-10-02,USC00413565
,,    0,    0,    0,1946-10-03,USC00413565
,,    0,    0,    0,1946-10-04,USC00413565
,,    0,    0,    0,1946-10-05,USC00413565
,,    0,    0,    0,1946-10-06,USC00413565
,,    0,    0,    0,1946-10-07,USC00413565
,,    0,    0,    0,1946-10-08,USC00413565
,,    0,    0,    0,1946-10-09,USC00413565
,,   58,    0,    0,1946-10-10,USC00413565
,,  122,    0,    0,1946-10-11,USC00413565
,,    0,    0,    0,1946-10-12,USC00413565
,,    0,    0,    0,1946-10-13,USC00413565
,,    0,    0,    0,1946-10-14,USC00413565
,,    0,    0,    0,1946-10-15,USC00413565
,,    0,    0,    0,1946-10-16,USC00413565
,,    0,    0,    0,1946-10-17,USC00413565
,,    0,    0,    0,1946-10-18,USC00413565
,,    0,    0,    0,1946-10-19,USC00413565
,,  231,    0,    0,1946-10-20,USC00413565
,,    0,    0,    0,1946-10-21,USC00413565
,,    0,    0,    0,1946-10-22,USC00413565
,,    0,    0,    0,1946-10-23,USC00413565
,,    0,    0,    0,1946-10-24,USC00413565
,,   94,    0,    0,1946-10-25,USC00413565
,,    0,    0,    0,1946-10-26,USC00413565
,,    0,    0,    0,1946-10-27,USC00413565
,,    0,    0,    0,1946-10-28,USC00413565
,,    0,    0,    0,1946-10-29,USC00413565
,,    0,    0,    0,1946-10-30,USC00413565
,,    0,    0,    0,1946-10-31,USC00413565
,,    0,    0,    0,1946-11-01,USC00413565
,,   66,    0,    0,1946-11-02,USC00413565
,,  371,    0,    0,1946-11-03,USC00413565
,,  699,    0,    0,1946-11-04,USC00413565
,,  338,    0,    0,1946-11-05,USC00413565
,,  310,    0,    0,1946-11-06,USC00413565
,,  170,    0,    0,1946-11-07,USC00413565
,,    0,    0,    0,1946-11-08,USC00413565
,,    0,    0,    0,1946-11-09,USC00413565
,,  325,    0,    0,1946-11-10,USC00413565
,,    0,    0,    0,1946-11-11,USC00413565
,,    0,    0,    0,1946-11-12,USC00413565
,,    0,    0,    0,1946-11-13,USC00413565
,,    0,    0,    0,1946-11-14,USC00413565
,,    0,    0,    0,1946-11-15,USC00413565
,,  351,    0,    0,1946-11-16,USC00413565
,,    0,    0,    0,1946-11-17,USC00413565
,,    0,    0,    0,1946-11-18,USC00413565
,,    0,    0,    0,1946-11-19,USC00413565
,,    0,    0,    0,1946-11-20,USC00413565
,,    0,    0,    0,1946-11-21,USC00413565
,,    0,    0,    0,1946-11-22,USC00413565
,,    0,    0,    0,1946-11-23,USC00413565
,,    0,    0,    0,1946-11-24,USC00413565
,,    0,    0,    0,1946-11-25,USC00413565
,,  508,    0,    0,1946-11-26,USC00413565
,,    0,    0,    0,1946-11-27,USC00413565
,,    0,    0,    0,1946-11-28,USC00413565
,,    0,    0,    0,1946-11-29,USC00413565
,,    0,    0,    0,1946-11-30,USC00413565
,,    0,    0,    0,1946-12-01,USC00413565
,,    0,    0,    0,1946-12-02,USC00413565
,,    0,    0,    0,1946-12-03,USC00413565
,,    0,    0,    0,1946-12-04,USC00413565
,,    0,    0,    0,1946-12-05,USC00413565
,,    0,    0,    0,1946-12-06,USC00413565
,,    0,    0,    0,1946-12-07,USC00413565
,,    0,    0,    0,1946-12-08,USC00413565
,,   18,    0,    0,1946-12-09,USC00413565
,,    0,    0,    0,1946-12-10,USC00413565
,,    0,    0,    0,1946-12-11,USC00413565
,,  320,    0,    0,1946-12-12,USC00413565
,,    0,    0,    0,1946-12-13,USC00413565
,,    0,    0,    0,1946-12-14,USC00413565
,,    0,    0,    0,1946-12-15,USC00413565
,,    0,    0,    0,1946-12-16,USC00413565
,,    0,    0,    0,1946-12-17,USC00413565
,,    0,    0,    0,1946-12-18,USC00413565
,,    0,    0,    0,1946-12-19,USC00413565
,,   81,    0,    0,1946-12-20,USC00413565
,,    0,    0,    0,1946-12-21,USC00413565
,,    0,    0,    0,1946-12-22,USC00413565
,,    0,    0,    0,1946-12-23,USC00413565
,,    0,    0,    0,1946-12-24,USC00413565
,,    0,    0,    0,1946-12-25,USC00413565
