PRCP,DATE,STATION
    0,1977-01-01,AJ000037605
    0,1977-01-02,AJ000037605
    0,1977-01-03,AJ000037605
    0,1977-01-04,AJ000037605
    0,1977-01-05,AJ000037605
    0,1977-01-06,AJ000037605
   15,1977-01-07,AJ000037605
   37,1977-01-08,AJ000037605
    0,1977-01-09,AJ000037605
    0,1977-01-10,AJ000037605
    0,1977-01-11,AJ000037605
   16,1977-01-12,AJ000037605
    0,1977-01-13,AJ000037605
    0,1977-01-14,AJ000037605
    0,1977-01-15,AJ000037605
   32,1977-01-16,AJ000037605
   12,1977-01-17,AJ000037605
    0,1977-01-18,AJ000037605
    8,1977-01-19,AJ000037605
   24,1977-01-20,AJ000037605
    3,1977-01-21,AJ000037605
    0,1977-01-22,AJ000037605
    0,1977-01-23,AJ000037605
    0,1977-01-24,AJ000037605
    0,1977-01-25,AJ000037605
    0,1977-01-26,AJ000037605
    0,1977-01-27,AJ000037605
    0,1977-01-28,AJ000037605
    9,1977-01-29,AJ000037605
    0,1977-01-30,AJ000037605
    0,1977-01-31,AJ000037605
    6,1977-02-01,AJ000037605
    0,1977-02-02,AJ000037605
    0,1977-02-03,AJ000037605
    0,1977-02-04,AJ000037605
    0,1977-02-05,AJ000037605
    4,1977-02-06,AJ000037605
   49,1977-02-07,AJ000037605
    9,1977-02-08,AJ000037605
   20,1977-02-09,AJ000037605
    0,1977-02-10,AJ000037605
    0,1977-02-11,AJ000037605
    0,1977-02-12,AJ000037605
    0,1977-02-13,AJ000037605
    0,1977-02-14,AJ000037605
    0,1977-02-15,AJ000037605
    0,1977-02-16,AJ000037605
    0,1977-02-17,AJ000037605
    0,1977-02-18,AJ000037605
    0,1977-02-19,AJ000037605
    0,1977-02-20,AJ000037605
    0,1977-02-21,AJ000037605
    0,1977-02-22,AJ000037605
    0,1977-02-23,AJ000037605
   12,1977-02-24,AJ000037605
    0,1977-02-25,AJ000037605
    0,1977-02-26,AJ000037605
    0,1977-02-27,AJ000037605
    0,1977-02-28,AJ000037605
    0,1977-03-01,AJ000037605
    0,1977-03-02,AJ000037605
   13,1977-03-03,AJ000037605
   19,1977-03-04,AJ000037605
    3,1977-03-05,AJ000037605
    0,1977-03-06,AJ000037605
   30,1977-03-07,AJ000037605
