PRCP,DATE,STATION
    0,1959-07-01,USC00223429
    0,1959-07-02,USC00223429
    0,1959-07-03,USC00223429
    0,1959-07-04,USC00223429
    0,1959-07-05,USC00223429
   51,1959-07-06,USC00223429
    0,1959-07-07,USC00223429
    0,1959-07-08,USC00223429
    0,1959-07-09,USC00223429
    0,1959-07-10,USC00223429
    0,1959-07-11,USC00223429
    0,1959-07-12,USC00223429
    0,1959-07-13,USC00223429
    0,1959-07-14,USC00223429
    0,1959-07-15,USC00223429
    0,1959-07-16,USC00223429
  257,1959-07-17,USC00223429
    0,1959-07-18,USC00223429
  267,1959-07-19,USC00223429
    0,1959-07-20,USC00223429
   89,1959-07-21,USC00223429
   23,1959-07-22,USC00223429
    5,1959-07-23,USC00223429
    0,1959-07-24,USC00223429
   43,1959-07-25,USC00223429
   20,1959-07-26,USC00223429
    0,1959-07-27,USC00223429
    0,1959-07-28,USC00223429
    0,1959-07-29,USC00223429
    0,1959-07-30,USC00223429
    0,1959-07-31,USC00223429
    0,1959-08-01,USC00223429
   56,1959-08-02,USC00223429
    0,1959-08-03,USC00223429
    0,1959-08-04,USC00223429
    0,1959-08-05,USC00223429
    0,1959-08-06,USC00223429
    0,1959-08-07,USC00223429
   81,1959-08-08,USC00223429
    0,1959-08-09,USC00223429
    0,1959-08-10,USC00223429
    0,1959-08-11,USC00223429
    0,1959-08-12,USC00223429
    0,1959-08-13,USC00223429
    0,1959-08-14,USC00223429
    0,1959-08-15,USC00223429
    0,1959-08-16,USC00223429
    0,1959-08-17,USC00223429
    0,1959-08-18,USC00223429
    0,1959-08-19,USC00223429
  312,1959-08-20,USC00223429
    0,1959-08-21,USC00223429
   15,1959-08-22,USC00223429
    0,1959-08-23,USC00223429
    0,1959-08-24,USC00223429
    0,1959-08-25,USC00223429
    0,1959-08-26,USC00223429
    0,1959-08-27,USC00223429
    0,1959-08-28,USC00223429
    0,1959-08-29,USC00223429
    0,1959-08-30,USC00223429
    0,1959-08-31,USC00223429
  152,1959-09-01,USC00223429
   25,1959-09-02,USC00223429
    0,1959-09-03,USC00223429
    0,1959-09-04,USC00223429
   66,1959-09-05,USC00223429
    0,1959-09-06,USC00223429
  452,1959-09-07,USC00223429
    0,1959-09-08,USC00223429
    0,1959-09-09,USC00223429
    5,1959-09-10,USC00223429
    0,1959-09-11,USC00223429
    0,1959-09-12,USC00223429
    5,1959-09-13,USC00223429
    5,1959-09-14,USC00223429
    0,1959-09-15,USC00223429
    0,1959-09-16,USC00223429
    0,1959-09-17,USC00223429
    0,1959-09-18,USC00223429
    0,1959-09-19,USC00223429
    0,1959-09-20,USC00223429
    0,1959-09-21,USC00223429
    0,1959-09-22,USC00223429
    0,1959-09-23,USC00223429
    0,1959-09-24,USC00223429
    0,1959-09-25,USC00223429
    0,1959-09-26,USC00223429
   64,1959-09-27,USC00223429
    0,1959-09-28,USC00223429
  168,1959-09-29,USC00223429
    0,1959-09-30,USC00223429
    0,1959-10-01,USC00223429
    0,1959-10-02,USC00223429
    0,1959-10-03,USC00223429
    0,1959-10-04,USC00223429
    0,1959-10-05,USC00223429
  218,1959-10-06,USC00223429
    0,1959-10-07,USC00223429
  152,1959-10-08,USC00223429
   25,1959-10-09,USC00223429
    0,1959-10-10,USC00223429
    3,1959-10-11,USC00223429
    0,1959-10-12,USC00223429
    0,1959-10-13,USC00223429
  191,1959-10-14,USC00223429
    0,1959-10-15,USC00223429
    0,1959-10-16,USC00223429
    0,1959-10-17,USC00223429
    0,1959-10-18,USC00223429
    0,1959-10-19,USC00223429
    0,1959-10-20,USC00223429
    8,1959-10-21,USC00223429
    0,1959-10-22,USC00223429
    5,1959-10-23,USC00223429
   23,1959-10-24,USC00223429
    0,1959-10-25,USC00223429
    0,1959-10-26,USC00223429
    0,1959-10-27,USC00223429
    0,1959-10-28,USC00223429
   58,1959-10-29,USC00223429
   10,1959-10-30,USC00223429
    5,1959-10-31,USC00223429
    3,1959-11-01,USC00223429
    0,1959-11-02,USC00223429
    0,1959-11-03,USC00223429
    0,1959-11-04,USC00223429
  185,1959-11-05,USC00223429
    0,1959-11-06,USC00223429
    0,1959-11-07,USC00223429
    0,1959-11-08,USC00223429
    0,1959-11-09,USC00223429
    0,1959-11-10,USC00223429
    0,1959-11-11,USC00223429
    0,1959-11-12,USC00223429
    0,1959-11-13,USC00223429
   79,1959-11-14,USC00223429
    0,1959-11-15,USC00223429
   38,1959-11-16,USC00223429
    0,1959-11-17,USC00223429
    0,1959-11-18,USC00223429
    0,1959-11-19,USC00223429
    0,1959-11-20,USC00223429
    0,1959-11-21,USC00223429
    0,1959-11-22,USC00223429
  170,1959-11-23,USC00223429
   56,1959-11-24,USC00223429
    0,1959-11-25,USC00223429
    0,1959-11-26,USC00223429
  180,1959-11-27,USC00223429
    0,1959-11-28,USC00223429
    0,1959-11-29,USC00223429
    0,1959-11-30,USC00223429
    0,1959-12-01,USC00223429
  102,1959-12-02,USC00223429
    0,1959-12-03,USC00223429
    0,1959-12-04,USC00223429
    0,1959-12-05,USC00223429
   23,1959-12-06,USC00223429
    0,1959-12-07,USC00223429
    0,1959-12-08,USC00223429
    0,1959-12-09,USC00223429
    0,1959-12-10,USC00223429
  102,1959-12-11,USC00223429
  432,1959-12-12,USC00223429
    0,1959-12-13,USC00223429
    0,1959-12-14,USC00223429
    0,1959-12-15,USC00223429
    0,1959-12-16,USC00223429
   89,1959-12-17,USC00223429
  279,1959-12-18,USC00223429
  229,1959-12-19,USC00223429
    0,1959-12-20,USC00223429
    0,1959-12-21,USC00223429
    0,1959-12-22,USC00223429
    0,1959-12-23,USC00223429
    0,1959-12-24,USC00223429
    0,1959-12-25,USC00223429
   18,1959-12-26,USC00223429
    3,1959-12-27,USC00223429
