PRCP,SNOW,SNWD,DATE,STATION
    5,,,1940-02-16,USC00223939
  384,,,1940-02-17,USC00223939
   25,,,1940-02-18,USC00223939
    0,,,1940-02-19,USC00223939
  239,,,1940-02-25,USC00223939
    0,,,1940-02-28,USC00223939
    0,,,1940-03-01,USC00223939
    0,,,1940-03-02,USC00223939
   46,,,1940-03-03,USC00223939
    0,,,1940-03-04,USC00223939
    0,,,1940-03-05,USC00223939
    0,,,1940-03-06,USC00223939
    0,,,1940-03-07,USC00223939
    0,,,1940-03-08,USC00223939
    0,,,1940-03-09,USC00223939
    0,,,1940-03-10,USC00223939
    0,,,1940-03-11,USC00223939
   74,,,1940-03-12,USC00223939
  168,,,1940-03-13,USC00223939
  249,,,1940-03-14,USC00223939
    0,,,1940-03-15,USC00223939
    0,,,1940-03-16,USC00223939
    0,,,1940-03-17,USC00223939
    0,,,1940-03-18,USC00223939
    0,,,1940-03-19,USC00223939
    0,,,1940-03-20,USC00223939
    0,,,1940-03-21,USC00223939
    0,,,1940-03-22,USC00223939
    0,,,1940-03-23,USC00223939
    0,,,1940-03-24,USC00223939
    8,,,1940-03-25,USC00223939
    0,,,1940-03-26,USC00223939
    0,,,1940-03-27,USC00223939
  150,,,1940-03-28,USC00223939
    0,,,1940-03-29,USC00223939
  279,,,1940-03-30,USC00223939
    0,,,1940-03-31,USC00223939
    0,,,1940-04-01,USC00223939
    0,,,1940-04-02,USC00223939
    0,,,1940-04-03,USC00223939
    0,,,1940-04-04,USC00223939
  193,,,1940-04-05,USC00223939
    0,,,1940-04-06,USC00223939
  135,,,1940-04-07,USC00223939
    0,,,1940-04-08,USC00223939
    0,,,1940-04-09,USC00223939
    0,,,1940-04-10,USC00223939
    0,,,1940-04-11,USC00223939
  229,,,1940-04-12,USC00223939
    0,,,1940-04-13,USC00223939
    0,,,1940-04-14,USC00223939
    0,,,1940-04-15,USC00223939
    0,,,1940-04-16,USC00223939
    0,,,1940-04-17,USC00223939
   61,,,1940-04-18,USC00223939
  564,,,1940-04-19,USC00223939
    8,,,1940-04-20,USC00223939
    0,,,1940-04-21,USC00223939
    0,,,1940-04-22,USC00223939
    0,,,1940-04-23,USC00223939
    8,,,1940-04-24,USC00223939
   25,,,1940-04-25,USC00223939
    0,,,1940-04-26,USC00223939
    0,,,1940-04-27,USC00223939
    0,,,1940-04-28,USC00223939
   13,,,1940-04-29,USC00223939
  277,,,1940-04-30,USC00223939
 1438,,,1940-05-01,USC00223939
    0,,,1940-05-02,USC00223939
    0,,,1940-05-03,USC00223939
    0,,,1940-05-04,USC00223939
    0,,,1940-05-05,USC00223939
    0,,,1940-05-06,USC00223939
    0,,,1940-05-07,USC00223939
    0,,,1940-05-08,USC00223939
    0,,,1940-05-09,USC00223939
    5,,,1940-05-10,USC00223939
    0,,,1940-05-11,USC00223939
    0,,,1940-05-12,USC00223939
    0,,,1940-05-13,USC00223939
    0,,,1940-05-14,USC00223939
    0,,,1940-05-15,USC00223939
    0,,,1940-05-16,USC00223939
    0,,,1940-05-17,USC00223939
    0,,,1940-05-18,USC00223939
    0,,,1940-05-19,USC00223939
    0,,,1940-05-20,USC00223939
    0,,,1940-05-21,USC00223939
    0,,,1940-05-22,USC00223939
    0,,,1940-05-23,USC00223939
   36,,,1940-05-24,USC00223939
    0,,,1940-05-25,USC00223939
    0,,,1940-05-26,USC00223939
    0,,,1940-05-27,USC00223939
    0,,,1940-05-28,USC00223939
  620,,,1940-05-29,USC00223939
    0,,,1940-05-30,USC00223939
    0,,,1940-05-31,USC00223939
    0,,,1940-06-01,USC00223939
    0,,,1940-06-02,USC00223939
    0,,,1940-06-03,USC00223939
    0,,,1940-06-04,USC00223939
   66,,,1940-06-05,USC00223939
    8,,,1940-06-06,USC00223939
    0,,,1940-06-07,USC00223939
   13,,,1940-06-08,USC00223939
  508,,,1940-06-09,USC00223939
