TMAX,TMIN,PRCP,SNOW,SNWD,DATE,STATION
   50,  -25,    0,    0,    0,1989-11-01,CA00109QJ3G
   80,    5,   18,    0,    0,1989-11-02,CA00109QJ3G
   40,   20,,,    0,1989-11-03,CA00109QJ3G
   55,    5,    2,    0,    0,1989-11-04,CA00109QJ3G
   80,   -5,   24,    0,    0,1989-11-05,CA00109QJ3G
   25,  -15,   16,   16,    0,1989-11-06,CA00109QJ3G
   20,  -20,,,   10,1989-11-07,CA00109QJ3G
   35,    0,,,    0,1989-11-08,CA00109QJ3G
   90,    0,  158,    0,    0,1989-11-09,CA00109QJ3G
   40,  -15,    6,    6,    0,1989-11-10,CA00109QJ3G
   25,  -55,    0,    0,    0,1989-11-11,CA00109QJ3G
    0,  -85,    0,    0,    0,1989-11-12,CA00109QJ3G
   10,  -85,   24,   24,    0,1989-11-13,CA00109QJ3G
  -20,  -50,    0,    0,   20,1989-11-14,CA00109QJ3G
   -5, -120,   28,   28,   20,1989-11-15,CA00109QJ3G
   25,  -25,    0,    0,   50,1989-11-16,CA00109QJ3G
   20,  -30,   38,   38,   30,1989-11-17,CA00109QJ3G
   55,    0,,,   40,1989-11-18,CA00109QJ3G
   25,  -35,    8,    0,   20,1989-11-19,CA00109QJ3G
  -20,  -75,   86,   86,   10,1989-11-20,CA00109QJ3G
  -25,  -85,    0,    0,   80,1989-11-21,CA00109QJ3G
  -10, -100,    0,    0,   70,1989-11-22,CA00109QJ3G
    0,  -90,   68,   68,   70,1989-11-23,CA00109QJ3G
    0,  -40,   10,   10,  110,1989-11-24,CA00109QJ3G
  -15,  -60,    0,    0,  110,1989-11-25,CA00109QJ3G
  -20,  -85,    0,    0,  100,1989-11-26,CA00109QJ3G
    5, -115,    0,    0,   90,1989-11-27,CA00109QJ3G
   35,  -55,    0,    0,   90,1989-11-28,CA00109QJ3G
   60,  -40,    0,    0,   80,1989-11-29,CA00109QJ3G
   35,  -50,    0,    0,   80,1989-11-30,CA00109QJ3G
   20,  -60,    0,    0,   80,1989-12-01,CA00109QJ3G
   40,    0,    0,    0,   70,1989-12-02,CA00109QJ3G
   45,    0,   56,    0,   70,1989-12-03,CA00109QJ3G
   45,  -15,    0,    0,   50,1989-12-04,CA00109QJ3G
   35,  -30,   20,   20,   50,1989-12-05,CA00109QJ3G
   10,  -50,    0,    0,   70,1989-12-06,CA00109QJ3G
   -5,  -40,  120,  120,   70,1989-12-07,CA00109QJ3G
   10,  -60,    0,    0,  170,1989-12-08,CA00109QJ3G
  -15,  -50,   28,   28,  170,1989-12-09,CA00109QJ3G
  -80, -170,    0,    0,  180,1989-12-10,CA00109QJ3G
  -45, -180,   16,   16,  170,1989-12-11,CA00109QJ3G
  -35,  -65,   54,   54,  160,1989-12-12,CA00109QJ3G
  -10,  -55,   10,   10,  200,1989-12-13,CA00109QJ3G
   15,  -35,    0,    0,  200,1989-12-14,CA00109QJ3G
    0,  -55,    0,    0,  170,1989-12-15,CA00109QJ3G
  -30,  -60,   12,   12,  170,1989-12-16,CA00109QJ3G
  -40,  -90,    0,    0,  180,1989-12-17,CA00109QJ3G
  -85, -180,   34,   34,  180,1989-12-18,CA00109QJ3G
  -85, -140,  150,  150,  200,1989-12-19,CA00109QJ3G
 -155, -210,    0,    0,  300,1989-12-20,CA00109QJ3G
  -50, -200,   12,   12,  290,1989-12-21,CA00109QJ3G
  -25, -100,   14,   14,  300,1989-12-22,CA00109QJ3G
   10,  -40,    8,    8,  280,1989-12-23,CA00109QJ3G
   30,  -15,    0,    0,  280,1989-12-24,CA00109QJ3G
   20,    0,   38,    0,  270,1989-12-25,CA00109QJ3G
   45,    0,    0,    0,  240,1989-12-26,CA00109QJ3G
   30,    0,   18,    8,  240,1989-12-27,CA00109QJ3G
   30,  -10,    0,    0,  230,1989-12-28,CA00109QJ3G
   10,  -30,   28,   28,  230,1989-12-29,CA00109QJ3G
   30,  -20,    0,    0,  250,1989-12-30,CA00109QJ3G
   25,  -30,    4,    4,  240,1989-12-31,CA00109QJ3G
    0,  -25,   46,   46,  230,1990-01-01,CA00109QJ3G
  -35,  -70,    0,    0,  270,1990-01-02,CA00109QJ3G
    0,  -55,    0,    0,  270,1990-01-03,CA00109QJ3G
   15,  -45,    2,    2,  270,1990-01-04,CA00109QJ3G
   25,  -60,   42,   16,  270,1990-01-05,CA00109QJ3G
   30,   -5,   56,   56,  280,1990-01-06,CA00109QJ3G
   25,    0,    4,    4,  330,1990-01-07,CA00109QJ3G
   20,  -25,   18,    2,  300,1990-01-08,CA00109QJ3G
   20,  -45,   18,   18,  300,1990-01-09,CA00109QJ3G
  -30,  -75,    2,    2,  320,1990-01-10,CA00109QJ3G
  -50, -155,    0,    0,  320,1990-01-11,CA00109QJ3G
    0,  -95,    0,    0,  320,1990-01-12,CA00109QJ3G
   15,  -25,   34,   34,  310,1990-01-13,CA00109QJ3G
   10,  -15,    0,    0,  340,1990-01-14,CA00109QJ3G
  -10,  -40,   18,   18,  340,1990-01-15,CA00109QJ3G
  -20,  -70,    0,    0,  350,1990-01-16,CA00109QJ3G
  -50, -115,    0,    0,  340,1990-01-17,CA00109QJ3G
  -40, -155,    0,    0,  340,1990-01-18,CA00109QJ3G
  -30, -140,    0,    0,  330,1990-01-19,CA00109QJ3G
  -20,  -85,   68,   68,  330,1990-01-20,CA00109QJ3G
    5,  -35,    0,    0,  400,1990-01-21,CA00109QJ3G
   10,  -35,   22,   22,  400,1990-01-22,CA00109QJ3G
    0,  -45,    0,    0,  410,1990-01-23,CA00109QJ3G
    0, -105,   78,   78,  400,1990-01-24,CA00109QJ3G
   20,  -25,   76,   76,  460,1990-01-25,CA00109QJ3G
  -15, -110,    6,    6,  500,1990-01-26,CA00109QJ3G
  -20,  -75,    0,    0,  490,1990-01-27,CA00109QJ3G
  -15,  -90,   32,   32,  480,1990-01-28,CA00109QJ3G
 -105, -180,   10,   10,  460,1990-01-29,CA00109QJ3G
 -190, -235,    6,    6,  460,1990-01-30,CA00109QJ3G
 -160, -345,    0,    0,  460,1990-01-31,CA00109QJ3G
  -60, -215,    4,    4,  460,1990-02-01,CA00109QJ3G
   10, -145,   56,   56,  460,1990-02-02,CA00109QJ3G
   20,  -30,   65,   65,  500,1990-02-03,CA00109QJ3G
   -5, -100,   38,   38,  530,1990-02-04,CA00109QJ3G
