TMAX,TMIN,PRCP,SNOW,SNWD,DATE,STATION
,,   13,    0,    0,1915-04-01,USC00413622
,,    0,    0,    0,1915-04-02,USC00413622
,,    0,    0,    0,1915-04-03,USC00413622
,,    0,    0,    0,1915-04-04,USC00413622
,,    0,    0,    0,1915-04-05,USC00413622
,,    0,    0,    0,1915-04-06,USC00413622
,,    0,    0,    0,1915-04-07,USC00413622
,,    0,    0,    0,1915-04-08,USC00413622
,,    0,    0,    0,1915-04-09,USC00413622
,,   10,    0,    0,1915-04-10,USC00413622
,,  244,    0,    0,1915-04-11,USC00413622
,,    0,    0,    0,1915-04-12,USC00413622
,,    0,    0,    0,1915-04-13,USC00413622
,,    0,    0,    0,1915-04-14,USC00413622
,,    0,    0,    0,1915-04-15,USC00413622
,,    0,    0,    0,1915-04-16,USC00413622
,,    0,    0,    0,1915-04-17,USC00413622
,,   81,    0,    0,1915-04-18,USC00413622
,,  330,    0,    0,1915-04-19,USC00413622
,,  267,    0,    0,1915-04-20,USC00413622
,,    0,    0,    0,1915-04-21,USC00413622
,,    0,    0,    0,1915-04-22,USC00413622
,,  526,    0,    0,1915-04-23,USC00413622
,,  104,    0,    0,1915-04-24,USC00413622
,,  119,    0,    0,1915-04-25,USC00413622
,,   20,    0,    0,1915-04-26,USC00413622
,,    0,    0,    0,1915-04-27,USC00413622
,,    0,    0,    0,1915-04-28,USC00413622
,,    0,    0,    0,1915-04-29,USC00413622
,,    0,    0,    0,1915-04-30,USC00413622
,,    0,    0,    0,1915-09-01,USC00413622
,,    0,    0,    0,1915-09-02,USC00413622
,,    0,    0,    0,1915-09-03,USC00413622
,,    0,    0,    0,1915-09-04,USC00413622
,,    0,    0,    0,1915-09-05,USC00413622
,,   13,    0,    0,1915-09-06,USC00413622
,,   97,    0,    0,1915-09-07,USC00413622
,,    0,    0,    0,1915-09-08,USC00413622
,,    0,    0,    0,1915-09-09,USC00413622
,,    0,    0,    0,1915-09-10,USC00413622
,,    0,    0,    0,1915-09-11,USC00413622
,,    0,    0,    0,1915-09-12,USC00413622
,,    0,    0,    0,1915-09-13,USC00413622
,,    0,    0,    0,1915-09-14,USC00413622
,,   51,    0,    0,1915-09-15,USC00413622
,,  114,    0,    0,1915-09-16,USC00413622
,,    0,    0,    0,1915-09-17,USC00413622
,,    0,    0,    0,1915-09-18,USC00413622
,,    8,    0,    0,1915-09-19,USC00413622
,,    0,    0,    0,1915-09-20,USC00413622
