TMAX,TMIN,PRCP,SNWD,DATE,STATION
,,,,1973-01-13,AF000040930
,,,,1973-03-26,AF000040930
,,,,1973-05-21,AF000040930
,,,,1973-06-11,AF000040930
,,,,1973-08-29,AF000040930
,,,,1973-10-10,AF000040930
,,,,1973-10-31,AF000040930
,,,,1973-11-08,AF000040930
,,,,1973-11-15,AF000040930
,,,,1973-11-18,AF000040930
,,,,1973-11-20,AF000040930
,,,,1973-11-25,AF000040930
    0,,,,1973-11-27,AF000040930
,,,,1973-12-06,AF000040930
,,,,1973-12-09,AF000040930
,,,,1973-12-10,AF000040930
,,,,1973-12-12,AF000040930
,,,,1973-12-13,AF000040930
,,,,1973-12-16,AF000040930
,,,,1973-12-23,AF000040930
,,,,1973-12-27,AF000040930
,,,,1974-01-11,AF000040930
,,,,1974-01-15,AF000040930
,,,,1974-01-16,AF000040930
,,,,1974-01-19,AF000040930
 -100,,,,1974-01-30,AF000040930
,,,,1974-01-31,AF000040930
,,,,1974-02-04,AF000040930
,,,,1974-02-05,AF000040930
,,,,1974-02-06,AF000040930
,,,,1974-02-07,AF000040930
,,,,1974-02-08,AF000040930
,,,,1974-02-09,AF000040930
,,,,1974-02-13,AF000040930
,,,,1974-02-16,AF000040930
, -140,,,1974-02-18,AF000040930
,,,,1974-02-19,AF000040930
,,,,1974-02-20,AF000040930
,,,,1974-02-21,AF000040930
,,,,1974-02-22,AF000040930
  -70,,,,1974-02-23,AF000040930
,,,,1974-02-24,AF000040930
,,,,1974-02-25,AF000040930
,,,,1974-02-26,AF000040930
,,,,1974-02-28,AF000040930
,,,,1974-03-01,AF000040930
,,,,1974-03-02,AF000040930
,,,,1974-03-03,AF000040930
,,,,1974-03-04,AF000040930
,,,,1974-03-06,AF000040930
, -150,,,1974-03-07,AF000040930
,,,,1974-03-08,AF000040930
,,,,1974-03-11,AF000040930
,,,,1974-03-12,AF000040930
,,,,1974-03-13,AF000040930
,,,,1974-03-14,AF000040930
,,,,1974-03-16,AF000040930
,,,,1974-03-17,AF000040930
,,,,1974-03-18,AF000040930
,,,,1974-03-21,AF000040930
,,,,1974-03-22,AF000040930
,,,,1974-03-25,AF000040930
,  -10,,,1974-03-26,AF000040930
,,,,1974-03-27,AF000040930
,,,,1974-03-28,AF000040930
,,,,1974-03-29,AF000040930
,,,,1974-03-31,AF000040930
,,,,1974-04-02,AF000040930
,,,,1974-04-05,AF000040930
,,,,1974-04-06,AF000040930
,  -30,,,1974-04-07,AF000040930
,,,,1974-04-19,AF000040930
,,,,1974-04-20,AF000040930
,,,,1974-04-21,AF000040930
,,,,1974-04-24,AF000040930
,,,,1974-04-25,AF000040930
  110,    0,,,1974-04-26,AF000040930
   70,,,,1974-04-27,AF000040930
,,,,1974-04-29,AF000040930
,,,,1974-05-01,AF000040930
,,,,1974-05-04,AF000040930
   90,  -10,,,1974-05-05,AF000040930
,,,,1974-05-07,AF000040930
,,,,1974-05-08,AF000040930
,,,,1974-05-11,AF000040930
,,,,1974-05-12,AF000040930
,,,,1974-05-13,AF000040930
,,,,1974-05-16,AF000040930
,,,,1974-05-17,AF000040930
,  -10,,,1974-05-19,AF000040930
,,,,1974-05-21,AF000040930
,,,,1974-05-24,AF000040930
,,,,1974-05-25,AF000040930
,,,,1974-05-26,AF000040930
,,,,1974-05-27,AF000040930
,,,,1974-05-28,AF000040930
,,,,1974-05-29,AF000040930
,,,,1974-06-01,AF000040930
,,,,1974-06-04,AF000040930
  100,,,,1974-06-11,AF000040930
,   10,,,1974-06-12,AF000040930
,,,,1974-06-13,AF000040930
,,,,1974-06-14,AF000040930
,,,,1974-06-15,AF000040930
,,,,1974-06-16,AF000040930
,,,,1974-06-17,AF000040930
,   40,,,1974-06-18,AF000040930
,,,,1974-06-20,AF000040930
,,,,1974-06-24,AF000040930
,,,,1974-06-25,AF000040930
,,,,1974-06-29,AF000040930
,,,,1974-07-02,AF000040930
,,,,1974-07-04,AF000040930
,,,,1974-07-07,AF000040930
,,,,1974-07-08,AF000040930
,,,,1974-07-09,AF000040930
,,,,1974-07-16,AF000040930
,,,,1974-07-19,AF000040930
