TMAX,TMIN,PRCP,SNWD,DATE,STATION
,,,,1973-01-02,AFM00040990
,,,,1973-01-03,AFM00040990
,,,,1973-01-04,AFM00040990
,,,,1973-01-05,AFM00040990
,,,,1973-01-06,AFM00040990
,,,,1973-01-08,AFM00040990
,,,,1973-01-10,AFM00040990
,,,,1973-01-13,AFM00040990
,,,,1973-01-14,AFM00040990
,,,,1973-01-15,AFM00040990
,,,,1973-01-16,AFM00040990
,,,,1973-01-17,AFM00040990
,,,,1973-01-18,AFM00040990
,,,,1973-01-19,AFM00040990
,,,,1973-01-20,AFM00040990
,,,,1973-01-21,AFM00040990
,,,,1973-01-24,AFM00040990
,,,,1973-01-25,AFM00040990
,,,,1973-01-26,AFM00040990
,,,,1973-01-27,AFM00040990
,,,,1973-01-28,AFM00040990
,,,,1973-01-31,AFM00040990
,,,,1973-02-04,AFM00040990
,,,,1973-02-05,AFM00040990
,,,,1973-02-07,AFM00040990
,,,,1973-02-08,AFM00040990
,,,,1973-02-10,AFM00040990
,,,,1973-02-11,AFM00040990
,,,,1973-02-12,AFM00040990
,,,,1973-02-13,AFM00040990
,   10,,,1973-02-14,AFM00040990
,,,,1973-02-15,AFM00040990
,,,,1973-02-16,AFM00040990
,,,,1973-02-17,AFM00040990
,,,,1973-02-18,AFM00040990
,,,,1973-02-19,AFM00040990
,,,,1973-02-20,AFM00040990
,,,,1973-02-21,AFM00040990
,,,,1973-02-23,AFM00040990
,,,,1973-02-26,AFM00040990
,,,,1973-02-27,AFM00040990
,,,,1973-02-28,AFM00040990
,,,,1973-03-01,AFM00040990
,,,,1973-03-03,AFM00040990
,,,,1973-03-06,AFM00040990
,,,,1973-03-07,AFM00040990
,,,,1973-03-08,AFM00040990
,,,,1973-03-09,AFM00040990
,,,,1973-03-10,AFM00040990
,  -60,,,1973-03-11,AFM00040990
,,,,1973-03-12,AFM00040990
,,,,1973-03-13,AFM00040990
,,,,1973-03-14,AFM00040990
,,,,1973-03-15,AFM00040990
,,,,1973-03-17,AFM00040990
,,,,1973-03-18,AFM00040990
,,,,1973-03-19,AFM00040990
,,,,1973-03-21,AFM00040990
,,,,1973-03-22,AFM00040990
,,,,1973-03-23,AFM00040990
,,,,1973-03-24,AFM00040990
,,,,1973-03-25,AFM00040990
,,,,1973-03-26,AFM00040990
,,,,1973-03-28,AFM00040990
,,,,1973-03-30,AFM00040990
,,,,1973-03-31,AFM00040990
,,,,1973-04-01,AFM00040990
,,,,1973-04-02,AFM00040990
,,,,1973-04-04,AFM00040990
,,,,1973-04-05,AFM00040990
  220,,,,1973-04-06,AFM00040990
,,,,1973-04-07,AFM00040990
,,,,1973-04-08,AFM00040990
,,,,1973-04-09,AFM00040990
,,,,1973-04-10,AFM00040990
,,,,1973-04-11,AFM00040990
,,,,1973-04-12,AFM00040990
,,,,1973-04-13,AFM00040990
,,,,1973-04-14,AFM00040990
,,,,1973-04-15,AFM00040990
,,,,1973-04-16,AFM00040990
,,,,1973-04-17,AFM00040990
,,,,1973-04-20,AFM00040990
,,,,1973-04-21,AFM00040990
,,,,1973-04-23,AFM00040990
,,,,1973-04-24,AFM00040990
,,,,1973-04-27,AFM00040990
,,,,1973-04-28,AFM00040990
,,,,1973-04-29,AFM00040990
,,,,1973-04-30,AFM00040990
,,,,1973-05-01,AFM00040990
,,,,1973-05-02,AFM00040990
,,,,1973-05-03,AFM00040990
,,,,1973-05-04,AFM00040990
,,,,1973-05-05,AFM00040990
,,,,1973-05-07,AFM00040990
,,,,1973-05-08,AFM00040990
,,,,1973-05-09,AFM00040990
,,,,1973-05-10,AFM00040990
,,,,1973-05-11,AFM00040990
,,,,1973-05-12,AFM00040990
,,,,1973-05-13,AFM00040990
,,,,1973-05-15,AFM00040990
,,,,1973-05-16,AFM00040990
,,,,1973-05-17,AFM00040990
,  150,,,1973-05-19,AFM00040990
,,,,1973-05-20,AFM00040990
,,,,1973-05-21,AFM00040990
,  140,,,1973-05-22,AFM00040990
,,,,1973-05-25,AFM00040990
,,,,1973-05-28,AFM00040990
,,,,1973-05-29,AFM00040990
,  170,,,1973-05-30,AFM00040990
,,,,1973-05-31,AFM00040990
,  170,,,1973-06-01,AFM00040990
,,,,1973-06-02,AFM00040990
  410,  180,,,1973-06-03,AFM00040990
,,,,1973-06-04,AFM00040990
  400,  180,,,1973-06-05,AFM00040990
,  170,,,1973-06-06,AFM00040990
,,,,1973-06-09,AFM00040990
,,,,1973-06-10,AFM00040990
,  260,,,1973-06-11,AFM00040990
,  240,,,1973-06-12,AFM00040990
,,,,1973-06-13,AFM00040990
,,,,1973-06-14,AFM00040990
  430,,,,1973-06-18,AFM00040990
,,,,1973-06-19,AFM00040990
  400,,,,1973-06-22,AFM00040990
,,,,1973-06-23,AFM00040990
  400,,,,1973-06-24,AFM00040990
,,,,1973-06-25,AFM00040990
,  230,,,1973-06-26,AFM00040990
  400,  220,,,1973-06-27,AFM00040990
  420,,,,1973-06-29,AFM00040990
  420,,,,1973-06-30,AFM00040990
,,,,1973-07-02,AFM00040990
,,,,1973-07-04,AFM00040990
,,,,1973-07-06,AFM00040990
,,,,1973-07-07,AFM00040990
,,,,1973-07-08,AFM00040990
,  240,,,1973-07-09,AFM00040990
,,,,1973-07-10,AFM00040990
,,,,1973-07-12,AFM00040990
,,,,1973-07-13,AFM00040990
,,,,1973-07-14,AFM00040990
,,,,1973-07-16,AFM00040990
,,,,1973-07-21,AFM00040990
,,,,1973-07-23,AFM00040990
,,,,1973-07-24,AFM00040990
,  260,,,1973-07-25,AFM00040990
,,,,1973-07-26,AFM00040990
,,,,1973-07-27,AFM00040990
  400,,,,1973-07-29,AFM00040990
,  200,,,1973-08-01,AFM00040990
,,,,1973-08-02,AFM00040990
,  260,,,1973-08-03,AFM00040990
,,,,1973-08-04,AFM00040990
,,,,1973-08-05,AFM00040990
,,,,1973-08-06,AFM00040990
,,,,1973-08-08,AFM00040990
,,,,1973-08-09,AFM00040990
,,,,1973-08-10,AFM00040990
,,,,1973-08-11,AFM00040990
,,,,1973-08-13,AFM00040990
,,,,1973-08-14,AFM00040990
,,,,1973-08-16,AFM00040990
,,,,1973-08-17,AFM00040990
  380,,,,1973-08-18,AFM00040990
,,,,1973-08-22,AFM00040990
,  180,,,1973-08-24,AFM00040990
,,,,1973-08-26,AFM00040990
,,,,1973-08-27,AFM00040990
,,,,1973-08-28,AFM00040990
,,,,1973-08-29,AFM00040990
,,,,1973-08-30,AFM00040990
,  180,,,1973-08-31,AFM00040990
  360,,,,1973-09-01,AFM00040990
,,,,1973-09-02,AFM00040990
,  170,,,1973-09-03,AFM00040990
,,,,1973-09-04,AFM00040990
,,,,1973-09-05,AFM00040990
,,,,1973-09-06,AFM00040990
,,,,1973-09-07,AFM00040990
,  170,,,1973-09-08,AFM00040990
,,,,1973-09-11,AFM00040990
  350,,,,1973-09-12,AFM00040990
,,,,1973-09-13,AFM00040990
  350,,,,1973-09-15,AFM00040990
,,,,1973-09-16,AFM00040990
,,,,1973-09-17,AFM00040990
,,,,1973-09-18,AFM00040990
  370,,,,1973-09-21,AFM00040990
,,,,1973-09-22,AFM00040990
  320,,,,1973-09-23,AFM00040990
,  130,,,1973-09-25,AFM00040990
  330,,,,1973-09-27,AFM00040990
,,,,1973-09-28,AFM00040990
,,,,1973-09-30,AFM00040990
,,,,1973-10-01,AFM00040990
,,,,1973-10-02,AFM00040990
  250,,,,1973-10-03,AFM00040990
,,,,1973-10-04,AFM00040990
,,,,1973-10-05,AFM00040990
,,,,1973-10-06,AFM00040990
,,,,1973-10-08,AFM00040990
,,,,1973-10-10,AFM00040990
