TMAX,TMIN,PRCP,DATE,STATION
,,  119,1978-09-07,MXN00032112
  217,  128,    0,1978-09-08,MXN00032112
  228,  117,   33,1978-09-09,MXN00032112
  228,  106,   33,1978-09-10,MXN00032112
  250,  117,  198,1978-09-11,MXN00032112
  239,  117,   38,1978-09-12,MXN00032112
  239,  111,    0,1978-09-13,MXN00032112
  250,  128,  224,1978-09-14,MXN00032112
  250,  117,   79,1978-09-15,MXN00032112
  256,  117,    8,1978-09-16,MXN00032112
  239,  128,  130,1978-09-17,MXN00032112
  250,  122,    0,1978-09-18,MXN00032112
  239,  111,   18,1978-09-19,MXN00032112
  250,  100,    0,1978-09-20,MXN00032112
  256,  111,    0,1978-09-21,MXN00032112
  261,  117,   13,1978-09-22,MXN00032112
  256,  128,  150,1978-09-23,MXN00032112
  278,  117,  323,1978-09-24,MXN00032112
  300,  133,    0,1978-09-25,MXN00032112
  261,  139,    0,1978-09-26,MXN00032112
  250,  117,   53,1978-09-27,MXN00032112
  256,  117,  198,1978-09-28,MXN00032112
  250,  111,   23,1978-09-29,MXN00032112
  228,  106,  150,1978-09-30,MXN00032112
  239,  128,  188,1978-10-01,MXN00032112
  239,  106,    0,1978-10-02,MXN00032112
  250,  106,   13,1978-10-03,MXN00032112
  239,  106,    0,1978-10-04,MXN00032112
  239,  100,  460,1978-10-05,MXN00032112
  239,  106,  150,1978-10-06,MXN00032112
  239,  106,   13,1978-10-07,MXN00032112
  239,  117,   79,1978-10-08,MXN00032112
  250,  117,    0,1978-10-09,MXN00032112
  250,  100,    0,1978-10-10,MXN00032112
  250,  100,    0,1978-10-11,MXN00032112
  239,  100,    0,1978-10-12,MXN00032112
  250,   89,    0,1978-10-13,MXN00032112
  239,   89,    0,1978-10-14,MXN00032112
  239,   89,  130,1978-10-15,MXN00032112
  250,   67,    0,1978-10-16,MXN00032112
  239,   56,    0,1978-10-17,MXN00032112
  250,   67,    0,1978-10-18,MXN00032112
  250,   67,    0,1978-10-19,MXN00032112
  250,   56,    0,1978-10-20,MXN00032112
  228,   56,    0,1978-10-21,MXN00032112
  239,   56,    0,1978-10-22,MXN00032112
  239,   56,    0,1978-10-23,MXN00032112
  228,   67,    0,1978-10-24,MXN00032112
  239,   78,    0,1978-10-25,MXN00032112
  239,   78,    0,1978-10-26,MXN00032112
  228,   89,    0,1978-10-27,MXN00032112
  239,   56,    0,1978-10-28,MXN00032112
  239,   89,    0,1978-10-29,MXN00032112
  239,   89,    0,1978-10-30,MXN00032112
  250,   89,    0,1978-10-31,MXN00032112
  250,  100,    0,1978-11-01,MXN00032112
  256,   67,    0,1978-11-02,MXN00032112
  239,   78,    0,1978-11-03,MXN00032112
  256,   78,    0,1978-11-04,MXN00032112
  228,   67,    0,1978-11-05,MXN00032112
  217,   50,    0,1978-11-06,MXN00032112
  228,   56,    0,1978-11-07,MXN00032112
  206,   67,    0,1978-11-08,MXN00032112
  228,   78,    0,1978-11-09,MXN00032112
  239,   56,    0,1978-11-10,MXN00032112
  217,   89,    0,1978-11-11,MXN00032112
  206,  100,    0,1978-11-12,MXN00032112
  250,   78,    0,1978-11-13,MXN00032112
  239,  100,    0,1978-11-14,MXN00032112
  228,   78,    0,1978-11-15,MXN00032112
  206,   56,    0,1978-11-16,MXN00032112
  250,   89,    0,1978-11-17,MXN00032112
  217,  100,    0,1978-11-18,MXN00032112
  250,   89,    0,1978-11-19,MXN00032112
  228,  100,    0,1978-11-20,MXN00032112
  250,   89,    0,1978-11-21,MXN00032112
  217,  106,    0,1978-11-22,MXN00032112
  250,  100,    0,1978-11-23,MXN00032112
  228,   89,    0,1978-11-24,MXN00032112
  206,   89,    0,1978-11-25,MXN00032112
  200,   78,    0,1978-11-26,MXN00032112
  217,   56,    0,1978-11-27,MXN00032112
  206,   56,    0,1978-11-28,MXN00032112
  228,   67,    0,1978-11-29,MXN00032112
  228,   89,    0,1978-11-30,MXN00032112
  256,   67,    0,1978-12-01,MXN00032112
  239,   78,    0,1978-12-02,MXN00032112
  217,   56,    0,1978-12-03,MXN00032112
  228,   39,    0,1978-12-04,MXN00032112
  250,   50,    0,1978-12-05,MXN00032112
  239,   67,    0,1978-12-06,MXN00032112
  239,   50,    0,1978-12-07,MXN00032112
  217,   56,    0,1978-12-08,MXN00032112
  206,   50,    0,1978-12-09,MXN00032112
  217,   39,    0,1978-12-10,MXN00032112
  239,   28,    0,1978-12-11,MXN00032112
  256,   50,    0,1978-12-12,MXN00032112
  250,   56,    0,1978-12-13,MXN00032112
  228,   61,    0,1978-12-14,MXN00032112
  206,   56,    0,1978-12-15,MXN00032112
  200,   39,    0,1978-12-16,MXN00032112
  217,   17,    0,1978-12-17,MXN00032112
  233,   28,    0,1978-12-18,MXN00032112
  250,   50,    0,1978-12-19,MXN00032112
  256,   50,    0,1978-12-20,MXN00032112
  239,   67,    0,1978-12-21,MXN00032112
  228,   56,    0,1978-12-22,MXN00032112
  206,   56,    0,1978-12-23,MXN00032112
  200,   39,    0,1978-12-24,MXN00032112
  217,   28,    0,1978-12-25,MXN00032112
  217,   28,    0,1978-12-26,MXN00032112
  239,   39,    0,1978-12-27,MXN00032112
  256,   50,    0,1978-12-28,MXN00032112
  250,   56,    0,1978-12-29,MXN00032112
  256,   50,    0,1978-12-30,MXN00032112
  256,   50,    0,1978-12-31,MXN00032112
  256,   78,    0,1979-01-01,MXN00032112
  256,   78,    0,1979-01-02,MXN00032112
  256,   78,    0,1979-01-03,MXN00032112
  256,   78,    0,1979-01-04,MXN00032112
  250,   78,    0,1979-01-05,MXN00032112
  256,   56,    0,1979-01-06,MXN00032112
  250,   50,    0,1979-01-07,MXN00032112
  250,   56,    0,1979-01-08,MXN00032112
  256,   56,    0,1979-01-09,MXN00032112
  228,   56,    0,1979-01-10,MXN00032112
  250,   17,    0,1979-01-11,MXN00032112
  250,   50,    0,1979-01-12,MXN00032112
  250,   50,    0,1979-01-13,MXN00032112
  250,   50,    0,1979-01-14,MXN00032112
  228,   39,    0,1979-01-15,MXN00032112
  256,   39,    0,1979-01-16,MXN00032112
  250,   39,    0,1979-01-17,MXN00032112
  250,   39,    0,1979-01-18,MXN00032112
  256,   39,    0,1979-01-19,MXN00032112
  250,   67,    0,1979-01-20,MXN00032112
  250,   56,    0,1979-01-21,MXN00032112
  256,   39,    0,1979-01-22,MXN00032112
  250,   28,    0,1979-01-23,MXN00032112
  250,   56,   33,1979-01-24,MXN00032112
  250,   39,   28,1979-01-25,MXN00032112
  250,   78,    0,1979-01-26,MXN00032112
  250,   39,    0,1979-01-27,MXN00032112
  256,   39,    0,1979-01-28,MXN00032112
  250,   56,    0,1979-01-29,MXN00032112
  256,   39,    0,1979-01-30,MXN00032112
  250,   39,    0,1979-01-31,MXN00032112
  250,   39,    0,1979-02-01,MXN00032112
  250,   50,    0,1979-02-02,MXN00032112
  228,   39,    0,1979-02-03,MXN00032112
  250,   39,    0,1979-02-04,MXN00032112
  256,   50,   33,1979-02-05,MXN00032112
  250,   67,   33,1979-02-06,MXN00032112
  217,   39,    0,1979-02-07,MXN00032112
  250,    6,    0,1979-02-08,MXN00032112
  250,   17,    0,1979-02-09,MXN00032112
  250,   39,    0,1979-02-10,MXN00032112
  250,   56,    0,1979-02-11,MXN00032112
  228,   67,    0,1979-02-12,MXN00032112
  250,   50,    0,1979-02-13,MXN00032112
  250,   56,    0,1979-02-14,MXN00032112
  256,   56,    0,1979-02-15,MXN00032112
  250,   50,    0,1979-02-16,MXN00032112
  239,   39,    0,1979-02-17,MXN00032112
  228,   56,    0,1979-02-18,MXN00032112
  228,   56,    0,1979-02-19,MXN00032112
  256,   50,    0,1979-02-20,MXN00032112
  239,   67,    0,1979-02-21,MXN00032112
  250,   56,    0,1979-02-22,MXN00032112
  250,   50,    0,1979-02-23,MXN00032112
  250,   67,    0,1979-02-24,MXN00032112
  250,   78,    0,1979-02-25,MXN00032112
  244,   67,    0,1979-02-26,MXN00032112
  228,   56,    0,1979-02-27,MXN00032112
  239,   50,    0,1979-02-28,MXN00032112
  250,   56,    0,1979-03-01,MXN00032112
  250,   50,    0,1979-03-02,MXN00032112
  256,   56,    0,1979-03-03,MXN00032112
  250,   67,    0,1979-03-04,MXN00032112
  228,   78,    0,1979-03-05,MXN00032112
  217,   67,    0,1979-03-06,MXN00032112
  211,   39,    0,1979-03-07,MXN00032112
  228,   33,    0,1979-03-08,MXN00032112
  250,   50,    0,1979-03-09,MXN00032112
  256,   61,    0,1979-03-10,MXN00032112
  261,   67,    0,1979-03-11,MXN00032112
  261,   78,    0,1979-03-12,MXN00032112
  261,   83,    0,1979-03-13,MXN00032112
  267,   89,    0,1979-03-14,MXN00032112
  267,  100,    0,1979-03-15,MXN00032112
  278,  106,    0,1979-03-16,MXN00032112
  267,  111,    0,1979-03-17,MXN00032112
  267,  100,    0,1979-03-18,MXN00032112
  261,  100,    0,1979-03-19,MXN00032112
  278,   94,    0,1979-03-20,MXN00032112
  267,  100,    0,1979-03-21,MXN00032112
  278,  106,    0,1979-03-22,MXN00032112
  261,  117,    0,1979-03-23,MXN00032112
  267,  106,    0,1979-03-24,MXN00032112
  278,  111,    0,1979-03-25,MXN00032112
  294,  117,    0,1979-03-26,MXN00032112
  267,  128,    0,1979-03-27,MXN00032112
  250,  117,    0,1979-03-28,MXN00032112
  278,  100,    0,1979-03-29,MXN00032112
  289,  111,    0,1979-03-30,MXN00032112
  300,  100,    0,1979-03-31,MXN00032112
  283,   94,    0,1979-04-01,MXN00032112
  278,   94,    0,1979-04-02,MXN00032112
  289,  100,    0,1979-04-03,MXN00032112
  272,  111,    0,1979-04-04,MXN00032112
  267,   94,    0,1979-04-05,MXN00032112
  283,   89,    0,1979-04-06,MXN00032112
  256,  111,    0,1979-04-07,MXN00032112
  272,   78,    0,1979-04-08,MXN00032112
  250,  100,    0,1979-04-09,MXN00032112
  244,   89,    0,1979-04-10,MXN00032112
  267,   89,    0,1979-04-11,MXN00032112
  278,  100,    0,1979-04-12,MXN00032112
  294,  106,    0,1979-04-13,MXN00032112
  283,  117,    0,1979-04-14,MXN00032112
  272,  128,    0,1979-04-15,MXN00032112
  278,  111,    0,1979-04-16,MXN00032112
  272,  111,    0,1979-04-17,MXN00032112
  289,  100,    0,1979-04-18,MXN00032112
  300,  100,    0,1979-04-19,MXN00032112
  289,  117,    0,1979-04-20,MXN00032112
  294,  106,    0,1979-04-21,MXN00032112
  289,  117,    0,1979-04-22,MXN00032112
  267,  106,    0,1979-04-23,MXN00032112
  294,  100,    0,1979-04-24,MXN00032112
  300,  106,    0,1979-04-25,MXN00032112
  311,  122,    0,1979-04-26,MXN00032112
  294,  128,    0,1979-04-27,MXN00032112
  300,  106,    0,1979-04-28,MXN00032112
  294,  111,    0,1979-04-29,MXN00032112
  289,  100,    0,1979-04-30,MXN00032112
  289,  117,    0,1979-05-01,MXN00032112
  294,  106,    0,1979-05-02,MXN00032112
  289,  100,    0,1979-05-03,MXN00032112
  294,  117,    0,1979-05-04,MXN00032112
  289,  128,    0,1979-05-05,MXN00032112
  294,   89,    0,1979-05-06,MXN00032112
  289,  106,    0,1979-05-07,MXN00032112
  289,  117,    0,1979-05-08,MXN00032112
  289,   83,    0,1979-05-09,MXN00032112
  294,   89,    0,1979-05-10,MXN00032112
  294,  111,    0,1979-05-11,MXN00032112
  294,  128,    0,1979-05-12,MXN00032112
  289,  150,    0,1979-05-13,MXN00032112
  278,  133,    0,1979-05-14,MXN00032112
  289,  156,    0,1979-05-15,MXN00032112
  300,  128,    0,1979-05-16,MXN00032112
  300,  139,    0,1979-05-17,MXN00032112
  300,  128,    0,1979-05-18,MXN00032112
  289,  128,    0,1979-05-19,MXN00032112
  283,  117,    0,1979-05-20,MXN00032112
  289,  122,    0,1979-05-21,MXN00032112
  300,  106,    0,1979-05-22,MXN00032112
  300,  128,    0,1979-05-23,MXN00032112
  300,  128,    0,1979-05-24,MXN00032112
