TMAX,TMIN,DATE,STATION
  253,   63,1951-07-01,ZI000067865
  252,   83,1951-07-02,ZI000067865
  257,   60,1951-07-03,ZI000067865
  252,   62,1951-07-04,ZI000067865
  240,   77,1951-07-05,ZI000067865
  222,   39,1951-07-06,ZI000067865
  204,   89,1951-07-07,ZI000067865
  206,   57,1951-07-08,ZI000067865
  203,   92,1951-07-09,ZI000067865
  198,   72,1951-07-10,ZI000067865
  211,   36,1951-07-11,ZI000067865
  208,   53,1951-07-12,ZI000067865
  220,   52,1951-07-13,ZI000067865
  244,   13,1951-07-14,ZI000067865
  255,    6,1951-07-15,ZI000067865
  257,   31,1951-07-16,ZI000067865
  232,   72,1951-07-17,ZI000067865
  164,   80,1951-07-18,ZI000067865
  179,  100,1951-07-19,ZI000067865
  228,   42,1951-07-20,ZI000067865
  232,    6,1951-07-21,ZI000067865
  219,   43,1951-07-22,ZI000067865
  219,   39,1951-07-23,ZI000067865
  244,    7,1951-07-24,ZI000067865
  271,   22,1951-07-25,ZI000067865
  188,   43,1951-07-26,ZI000067865
  219,   36,1951-07-27,ZI000067865
  229,   49,1951-07-28,ZI000067865
  235,   44,1951-07-29,ZI000067865
  244,   26,1951-07-30,ZI000067865
  217,   36,1951-07-31,ZI000067865
  245,   72,1951-08-01,ZI000067865
  251,   44,1951-08-02,ZI000067865
  209,   67,1951-08-03,ZI000067865
  231,   72,1951-08-04,ZI000067865
  233,   57,1951-08-05,ZI000067865
  167,  116,1951-08-06,ZI000067865
  157,   63,1951-08-07,ZI000067865
  206,   57,1951-08-08,ZI000067865
  223,   33,1951-08-09,ZI000067865
  247,   73,1951-08-10,ZI000067865
  271,   45,1951-08-11,ZI000067865
  274,   91,1951-08-12,ZI000067865
  239,  121,1951-08-13,ZI000067865
  233,   88,1951-08-14,ZI000067865
  256,   53,1951-08-15,ZI000067865
  289,   57,1951-08-16,ZI000067865
  296,   77,1951-08-17,ZI000067865
  292,   83,1951-08-18,ZI000067865
  308,  100,1951-08-19,ZI000067865
  285,  147,1951-08-20,ZI000067865
  281,  121,1951-08-21,ZI000067865
  264,  111,1951-08-22,ZI000067865
  266,   69,1951-08-23,ZI000067865
  263,   77,1951-08-24,ZI000067865
  253,  110,1951-08-25,ZI000067865
  230,  106,1951-08-26,ZI000067865
  242,  107,1951-08-27,ZI000067865
  249,   96,1951-08-28,ZI000067865
  249,  106,1951-08-29,ZI000067865
  269,  103,1951-08-30,ZI000067865
  287,  142,1951-08-31,ZI000067865
  234,  150,1951-09-01,ZI000067865
  242,  107,1951-09-02,ZI000067865
  271,   97,1951-09-03,ZI000067865
  303,   97,1951-09-04,ZI000067865
  307,   83,1951-09-05,ZI000067865
