"country","NorthernHemisphereCountriesCountryStatus","NorthernHemisphereCountriesProportionInNorthernHemisphere"
"India","Country","Fully"
"China","Country","Fully"
"United States","Country","Fully"
"Indonesia","Country","Partly"
"Pakistan","Country","Fully"
"Nigeria","Country","Fully"
"Brazil","Country","Partly"
"Bangladesh","Country","Fully"
"Russia","Country","Fully"
"Ethiopia","Country","Fully"
"Mexico","Country","Fully"
"Japan","Country","Fully"
"Philippines","Country","Fully"
"Egypt","Country","Fully"
"DR Congo","Country","Partly"
"Vietnam","Country","Fully"
"Iran","Country","Fully"
"Turkey","Country","Fully"
"Germany","Country","Fully"
"Thailand","Country","Fully"
"United Kingdom","Country","Fully"
"France","Country","Fully"
"Italy","Country","Fully"
"Kenya","Country","Mostly"
"Myanmar","Country","Fully"
"Colombia","Country","Mostly"
"South Korea","Country","Fully"
"Uganda","Country","Mostly"
"Sudan","Country","Fully"
"Spain","Country","Fully"
"Iraq","Country","Fully"
"Algeria","Country","Fully"
"Afghanistan","Country","Fully"
"Poland","Country","Fully"
"Canada","Country","Fully"
"Morocco","Country","Fully"
"Ukraine","Country","Fully"
"Saudi Arabia","Country","Fully"
"Uzbekistan","Country","Fully"
"Yemen","Country","Fully"
"Ghana","Country","Fully"
"Malaysia","Country","Fully"
"Nepal","Country","Fully"
"Ivory Coast","Country","Fully"
"Venezuela","Country","Fully"
"Cameroon","Country","Fully"
"Niger","Country","Fully"
"North Korea","Country","Fully"
"Mali","Country","Fully"
"Taiwan","Territory","Fully"
"Burkina Faso","Country","Fully"
"Sri Lanka","Country","Fully"
"Kazakhstan","Country","Fully"
"Romania","Country","Fully"
"Chad","Country","Fully"
"Somalia","Country","Mostly"
"Ecuador","Country","Partly"
"Guatemala","Country","Fully"
"Senegal","Country","Fully"
"Netherlands","Country","Fully"
"Cambodia","Country","Fully"
"Guinea","Country","Fully"
"Benin","Country","Fully"
"Tunisia","Country","Fully"
"Haiti","Country","Fully"
"Belgium","Country","Fully"
"Dominican Republic","Country","Fully"
"Jordan","Country","Fully"
"South Sudan","Country","Fully"
"Honduras","Country","Fully"
"Sweden","Country","Fully"
"Czech Republic","Country","Fully"
"Azerbaijan","Country","Fully"
"Tajikistan","Country","Fully"
"Greece","Country","Fully"
"Portugal","Country","Fully"
"Hungary","Country","Fully"
